"YEAR","REGION","GENDER","GRADE","ENROLLMENT"
"2018-2019",07,"FEMALE","Early Education",159
"2018-2019",07,"MALE","Early Education",402
"2018-2019",07,"FEMALE","Pre-kindergarten",3703
"2018-2019",07,"MALE","Pre-kindergarten",3929
"2018-2019",07,"FEMALE","Kindergarten",5777
"2018-2019",07,"MALE","Kindergarten",6230
"2018-2019",07,"FEMALE","Grade 1",6125
"2018-2019",07,"MALE","Grade 1",6343
"2018-2019",07,"FEMALE","Grade 2",5874
"2018-2019",07,"MALE","Grade 2",6349
"2018-2019",07,"FEMALE","Grade 3",6088
"2018-2019",07,"MALE","Grade 3",6438
"2018-2019",07,"FEMALE","Grade 4",6216
"2018-2019",07,"MALE","Grade 4",6604
"2018-2019",07,"FEMALE","Grade 5",6462
"2018-2019",07,"MALE","Grade 5",6698
"2018-2019",07,"FEMALE","Grade 6",6655
"2018-2019",07,"MALE","Grade 6",6901
"2018-2019",07,"FEMALE","Grade 7",6403
"2018-2019",07,"MALE","Grade 7",6857
"2018-2019",07,"FEMALE","Grade 8",6500
"2018-2019",07,"MALE","Grade 8",6946
"2018-2019",07,"FEMALE","Grade 9",6616
"2018-2019",07,"MALE","Grade 9",7074
"2018-2019",07,"FEMALE","Grade 10",6284
"2018-2019",07,"MALE","Grade 10",6619
"2018-2019",07,"FEMALE","Grade 11",6077
"2018-2019",07,"MALE","Grade 11",6138
"2018-2019",07,"FEMALE","Grade 12",5625
"2018-2019",07,"MALE","Grade 12",5704
"2018-2019",08,"FEMALE","Early Education",110
"2018-2019",08,"MALE","Early Education",147
"2018-2019",08,"FEMALE","Pre-kindergarten",1716
"2018-2019",08,"MALE","Pre-kindergarten",1719
"2018-2019",08,"FEMALE","Kindergarten",1961
"2018-2019",08,"MALE","Kindergarten",2107
"2018-2019",08,"FEMALE","Grade 1",2037
"2018-2019",08,"MALE","Grade 1",2067
"2018-2019",08,"FEMALE","Grade 2",1904
"2018-2019",08,"MALE","Grade 2",2029
"2018-2019",08,"FEMALE","Grade 3",1939
"2018-2019",08,"MALE","Grade 3",2049
"2018-2019",08,"FEMALE","Grade 4",2031
"2018-2019",08,"MALE","Grade 4",2087
"2018-2019",08,"FEMALE","Grade 5",2072
"2018-2019",08,"MALE","Grade 5",2190
"2018-2019",08,"FEMALE","Grade 6",2089
"2018-2019",08,"MALE","Grade 6",2156
"2018-2019",08,"FEMALE","Grade 7",1997
"2018-2019",08,"MALE","Grade 7",2086
"2018-2019",08,"FEMALE","Grade 8",2071
"2018-2019",08,"MALE","Grade 8",2036
"2018-2019",08,"FEMALE","Grade 9",2067
"2018-2019",08,"MALE","Grade 9",2220
"2018-2019",08,"FEMALE","Grade 10",1903
"2018-2019",08,"MALE","Grade 10",1971
"2018-2019",08,"FEMALE","Grade 11",1824
"2018-2019",08,"MALE","Grade 11",1927
"2018-2019",08,"FEMALE","Grade 12",1706
"2018-2019",08,"MALE","Grade 12",1895
"2018-2019",09,"FEMALE","Early Education",66
"2018-2019",09,"MALE","Early Education",129
"2018-2019",09,"FEMALE","Pre-kindergarten",984
"2018-2019",09,"MALE","Pre-kindergarten",1026
