"YEAR","REGION","COUNTY NAME","GRADE","ENROLLMENT"
"2019-2020",14,"JONES COUNTY","Grade 9",219
"2019-2020",14,"JONES COUNTY","Grade 10",180
"2019-2020",14,"JONES COUNTY","Grade 11",185
"2019-2020",14,"JONES COUNTY","Grade 12",171
"2019-2020",03,"KARNES COUNTY","Early Education",14
"2019-2020",20,"KARNES COUNTY","Early Education",1
"2019-2020",03,"KARNES COUNTY","Pre-kindergarten",118
"2019-2020",03,"KARNES COUNTY","Kindergarten",160
"2019-2020",20,"KARNES COUNTY","Kindergarten",39
"2019-2020",03,"KARNES COUNTY","Grade 1",131
"2019-2020",20,"KARNES COUNTY","Grade 1",25
"2019-2020",03,"KARNES COUNTY","Grade 2",148
"2019-2020",20,"KARNES COUNTY","Grade 2",33
"2019-2020",03,"KARNES COUNTY","Grade 3",156
"2019-2020",20,"KARNES COUNTY","Grade 3",23
"2019-2020",03,"KARNES COUNTY","Grade 4",131
"2019-2020",20,"KARNES COUNTY","Grade 4",31
"2019-2020",03,"KARNES COUNTY","Grade 5",140
"2019-2020",20,"KARNES COUNTY","Grade 5",29
"2019-2020",03,"KARNES COUNTY","Grade 6",158
"2019-2020",20,"KARNES COUNTY","Grade 6",31
"2019-2020",03,"KARNES COUNTY","Grade 7",164
"2019-2020",20,"KARNES COUNTY","Grade 7",25
"2019-2020",03,"KARNES COUNTY","Grade 8",159
"2019-2020",20,"KARNES COUNTY","Grade 8",33
"2019-2020",03,"KARNES COUNTY","Grade 9",164
"2019-2020",20,"KARNES COUNTY","Grade 9",22
"2019-2020",03,"KARNES COUNTY","Grade 10",148
"2019-2020",20,"KARNES COUNTY","Grade 10",37
"2019-2020",03,"KARNES COUNTY","Grade 11",148
"2019-2020",20,"KARNES COUNTY","Grade 11",25
"2019-2020",03,"KARNES COUNTY","Grade 12",137
"2019-2020",20,"KARNES COUNTY","Grade 12",30
"2019-2020",10,"KAUFMAN COUNTY","Early Education",123
"2019-2020",10,"KAUFMAN COUNTY","Pre-kindergarten",1222
"2019-2020",10,"KAUFMAN COUNTY","Kindergarten",2210
"2019-2020",10,"KAUFMAN COUNTY","Grade 1",2220
"2019-2020",10,"KAUFMAN COUNTY","Grade 2",2293
"2019-2020",10,"KAUFMAN COUNTY","Grade 3",2231
"2019-2020",10,"KAUFMAN COUNTY","Grade 4",2331
"2019-2020",10,"KAUFMAN COUNTY","Grade 5",2466
"2019-2020",10,"KAUFMAN COUNTY","Grade 6",2607
"2019-2020",10,"KAUFMAN COUNTY","Grade 7",2569
"2019-2020",10,"KAUFMAN COUNTY","Grade 8",2483
"2019-2020",10,"KAUFMAN COUNTY","Grade 9",2568
"2019-2020",10,"KAUFMAN COUNTY","Grade 10",2294
"2019-2020",10,"KAUFMAN COUNTY","Grade 11",2200
"2019-2020",10,"KAUFMAN COUNTY","Grade 12",2018
"2019-2020",13,"KENDALL COUNTY","Early Education",3
"2019-2020",20,"KENDALL COUNTY","Early Education",80
"2019-2020",13,"KENDALL COUNTY","Pre-kindergarten",43
"2019-2020",20,"KENDALL COUNTY","Pre-kindergarten",96
"2019-2020",13,"KENDALL COUNTY","Kindergarten",73
"2019-2020",20,"KENDALL COUNTY","Kindergarten",664
"2019-2020",13,"KENDALL COUNTY","Grade 1",60
"2019-2020",20,"KENDALL COUNTY","Grade 1",660
"2019-2020",13,"KENDALL COUNTY","Grade 2",72
"2019-2020",20,"KENDALL COUNTY","Grade 2",734
"2019-2020",13,"KENDALL COUNTY","Grade 3",72
"2019-2020",20,"KENDALL COUNTY","Grade 3",664
"2019-2020",13,"KENDALL COUNTY","Grade 4",84
"2019-2020",20,"KENDALL COUNTY","Grade 4",720
"2019-2020",13,"KENDALL COUNTY","Grade 5",72
"2019-2020",20,"KENDALL COUNTY","Grade 5",800
"2019-2020",13,"KENDALL COUNTY","Grade 6",93
"2019-2020",20,"KENDALL COUNTY","Grade 6",775
"2019-2020",13,"KENDALL COUNTY","Grade 7",91
"2019-2020",20,"KENDALL COUNTY","Grade 7",728
"2019-2020",13,"KENDALL COUNTY","Grade 8",74
"2019-2020",20,"KENDALL COUNTY","Grade 8",770
"2019-2020",13,"KENDALL COUNTY","Grade 9",101
"2019-2020",20,"KENDALL COUNTY","Grade 9",835
"2019-2020",13,"KENDALL COUNTY","Grade 10",74
"2019-2020",20,"KENDALL COUNTY","Grade 10",812
"2019-2020",13,"KENDALL COUNTY","Grade 11",91
"2019-2020",20,"KENDALL COUNTY","Grade 11",694
"2019-2020",13,"KENDALL COUNTY","Grade 12",85
"2019-2020",20,"KENDALL COUNTY","Grade 12",637
"2019-2020",02,"KENEDY COUNTY","Pre-kindergarten",11
"2019-2020",02,"KENEDY COUNTY","Kindergarten",8
"2019-2020",02,"KENEDY COUNTY","Grade 1",12
"2019-2020",02,"KENEDY COUNTY","Grade 2",8
"2019-2020",02,"KENEDY COUNTY","Grade 3",8
"2019-2020",02,"KENEDY COUNTY","Grade 4",9
"2019-2020",02,"KENEDY COUNTY","Grade 5",9
"2019-2020",02,"KENEDY COUNTY","Grade 6",8
"2019-2020",17,"KENT COUNTY","Early Education",1
"2019-2020",17,"KENT COUNTY","Pre-kindergarten",10
"2019-2020",17,"KENT COUNTY","Kindergarten",13
"2019-2020",17,"KENT COUNTY","Grade 1",14
"2019-2020",17,"KENT COUNTY","Grade 2",11
"2019-2020",17,"KENT COUNTY","Grade 3",16
"2019-2020",17,"KENT COUNTY","Grade 4",10
"2019-2020",17,"KENT COUNTY","Grade 5",10
"2019-2020",17,"KENT COUNTY","Grade 6",15
"2019-2020",17,"KENT COUNTY","Grade 7",9
"2019-2020",17,"KENT COUNTY","Grade 8",12
"2019-2020",17,"KENT COUNTY","Grade 9",11
"2019-2020",17,"KENT COUNTY","Grade 10",9
"2019-2020",17,"KENT COUNTY","Grade 11",13
"2019-2020",17,"KENT COUNTY","Grade 12",15
"2019-2020",20,"KERR COUNTY","Early Education",14
"2019-2020",20,"KERR COUNTY","Pre-kindergarten",365
"2019-2020",20,"KERR COUNTY","Kindergarten",499
"2019-2020",20,"KERR COUNTY","Grade 1",490
"2019-2020",20,"KERR COUNTY","Grade 2",458
"2019-2020",20,"KERR COUNTY","Grade 3",475
"2019-2020",20,"KERR COUNTY","Grade 4",506
"2019-2020",20,"KERR COUNTY","Grade 5",472
"2019-2020",20,"KERR COUNTY","Grade 6",542
"2019-2020",20,"KERR COUNTY","Grade 7",535
"2019-2020",20,"KERR COUNTY","Grade 8",539
"2019-2020",20,"KERR COUNTY","Grade 9",530
"2019-2020",20,"KERR COUNTY","Grade 10",498
"2019-2020",20,"KERR COUNTY","Grade 11",399
"2019-2020",20,"KERR COUNTY","Grade 12",482
"2019-2020",15,"KIMBLE COUNTY","Pre-kindergarten",34
"2019-2020",15,"KIMBLE COUNTY","Kindergarten",48
"2019-2020",15,"KIMBLE COUNTY","Grade 1",42
"2019-2020",15,"KIMBLE COUNTY","Grade 2",38
"2019-2020",15,"KIMBLE COUNTY","Grade 3",35
"2019-2020",15,"KIMBLE COUNTY","Grade 4",44
"2019-2020",15,"KIMBLE COUNTY","Grade 5",47
"2019-2020",15,"KIMBLE COUNTY","Grade 6",45
"2019-2020",15,"KIMBLE COUNTY","Grade 7",56
"2019-2020",15,"KIMBLE COUNTY","Grade 8",32
"2019-2020",15,"KIMBLE COUNTY","Grade 9",48
"2019-2020",15,"KIMBLE COUNTY","Grade 10",47
"2019-2020",15,"KIMBLE COUNTY","Grade 11",33
"2019-2020",15,"KIMBLE COUNTY","Grade 12",35
"2019-2020",17,"KING COUNTY","Pre-kindergarten",7
"2019-2020",17,"KING COUNTY","Kindergarten",9
"2019-2020",17,"KING COUNTY","Grade 1",5
"2019-2020",17,"KING COUNTY","Grade 2",9
"2019-2020",17,"KING COUNTY","Grade 3",11
"2019-2020",17,"KING COUNTY","Grade 4",7
"2019-2020",17,"KING COUNTY","Grade 5",9
"2019-2020",17,"KING COUNTY","Grade 6",10
"2019-2020",17,"KING COUNTY","Grade 7",7
"2019-2020",17,"KING COUNTY","Grade 8",5
"2019-2020",17,"KING COUNTY","Grade 9",5
"2019-2020",17,"KING COUNTY","Grade 10",7
"2019-2020",17,"KING COUNTY","Grade 11",9
"2019-2020",17,"KING COUNTY","Grade 12",7
"2019-2020",20,"KINNEY COUNTY","Early Education",1
"2019-2020",20,"KINNEY COUNTY","Pre-kindergarten",30
"2019-2020",20,"KINNEY COUNTY","Kindergarten",37
"2019-2020",20,"KINNEY COUNTY","Grade 1",40
"2019-2020",20,"KINNEY COUNTY","Grade 2",39
"2019-2020",20,"KINNEY COUNTY","Grade 3",35
"2019-2020",20,"KINNEY COUNTY","Grade 4",40
"2019-2020",20,"KINNEY COUNTY","Grade 5",47
"2019-2020",20,"KINNEY COUNTY","Grade 6",49
"2019-2020",20,"KINNEY COUNTY","Grade 7",37
"2019-2020",20,"KINNEY COUNTY","Grade 8",51
"2019-2020",20,"KINNEY COUNTY","Grade 9",41
"2019-2020",20,"KINNEY COUNTY","Grade 10",38
"2019-2020",20,"KINNEY COUNTY","Grade 11",40
"2019-2020",20,"KINNEY COUNTY","Grade 12",47
"2019-2020",02,"KLEBERG COUNTY","Early Education",12
"2019-2020",02,"KLEBERG COUNTY","Pre-kindergarten",322
"2019-2020",02,"KLEBERG COUNTY","Kindergarten",352
"2019-2020",02,"KLEBERG COUNTY","Grade 1",371
"2019-2020",02,"KLEBERG COUNTY","Grade 2",359
"2019-2020",02,"KLEBERG COUNTY","Grade 3",321
"2019-2020",02,"KLEBERG COUNTY","Grade 4",377
"2019-2020",02,"KLEBERG COUNTY","Grade 5",378
"2019-2020",02,"KLEBERG COUNTY","Grade 6",361
"2019-2020",02,"KLEBERG COUNTY","Grade 7",351
"2019-2020",02,"KLEBERG COUNTY","Grade 8",362
"2019-2020",02,"KLEBERG COUNTY","Grade 9",425
"2019-2020",02,"KLEBERG COUNTY","Grade 10",346
"2019-2020",02,"KLEBERG COUNTY","Grade 11",326
"2019-2020",02,"KLEBERG COUNTY","Grade 12",349
"2019-2020",09,"KNOX COUNTY","Early Education",31
"2019-2020",09,"KNOX COUNTY","Pre-kindergarten",52
"2019-2020",09,"KNOX COUNTY","Kindergarten",52
"2019-2020",09,"KNOX COUNTY","Grade 1",52
"2019-2020",09,"KNOX COUNTY","Grade 2",61
"2019-2020",09,"KNOX COUNTY","Grade 3",56
"2019-2020",09,"KNOX COUNTY","Grade 4",64
"2019-2020",09,"KNOX COUNTY","Grade 5",57
"2019-2020",09,"KNOX COUNTY","Grade 6",62
"2019-2020",09,"KNOX COUNTY","Grade 7",65
"2019-2020",09,"KNOX COUNTY","Grade 8",40
"2019-2020",09,"KNOX COUNTY","Grade 9",50
"2019-2020",09,"KNOX COUNTY","Grade 10",43
"2019-2020",09,"KNOX COUNTY","Grade 11",56
"2019-2020",09,"KNOX COUNTY","Grade 12",48
"2019-2020",20,"LA SALLE COUNTY","Early Education",5
"2019-2020",20,"LA SALLE COUNTY","Pre-kindergarten",75
"2019-2020",20,"LA SALLE COUNTY","Kindergarten",96
"2019-2020",20,"LA SALLE COUNTY","Grade 1",94
"2019-2020",20,"LA SALLE COUNTY","Grade 2",88
"2019-2020",20,"LA SALLE COUNTY","Grade 3",86
"2019-2020",20,"LA SALLE COUNTY","Grade 4",107
"2019-2020",20,"LA SALLE COUNTY","Grade 5",105
"2019-2020",20,"LA SALLE COUNTY","Grade 6",90
"2019-2020",20,"LA SALLE COUNTY","Grade 7",100
"2019-2020",20,"LA SALLE COUNTY","Grade 8",99
"2019-2020",20,"LA SALLE COUNTY","Grade 9",98
"2019-2020",20,"LA SALLE COUNTY","Grade 10",112
"2019-2020",20,"LA SALLE COUNTY","Grade 11",86
"2019-2020",20,"LA SALLE COUNTY","Grade 12",80
"2019-2020",08,"LAMAR COUNTY","Early Education",25
"2019-2020",08,"LAMAR COUNTY","Pre-kindergarten",502
"2019-2020",08,"LAMAR COUNTY","Kindergarten",688
"2019-2020",08,"LAMAR COUNTY","Grade 1",642
"2019-2020",08,"LAMAR COUNTY","Grade 2",639
"2019-2020",08,"LAMAR COUNTY","Grade 3",624
"2019-2020",08,"LAMAR COUNTY","Grade 4",629
"2019-2020",08,"LAMAR COUNTY","Grade 5",610
"2019-2020",08,"LAMAR COUNTY","Grade 6",658
"2019-2020",08,"LAMAR COUNTY","Grade 7",657
"2019-2020",08,"LAMAR COUNTY","Grade 8",617
"2019-2020",08,"LAMAR COUNTY","Grade 9",672
"2019-2020",08,"LAMAR COUNTY","Grade 10",590
"2019-2020",08,"LAMAR COUNTY","Grade 11",534
"2019-2020",08,"LAMAR COUNTY","Grade 12",526
"2019-2020",17,"LAMB COUNTY","Early Education",10
"2019-2020",17,"LAMB COUNTY","Pre-kindergarten",153
"2019-2020",17,"LAMB COUNTY","Kindergarten",174
"2019-2020",17,"LAMB COUNTY","Grade 1",208
"2019-2020",17,"LAMB COUNTY","Grade 2",218
"2019-2020",17,"LAMB COUNTY","Grade 3",195
"2019-2020",17,"LAMB COUNTY","Grade 4",220
"2019-2020",17,"LAMB COUNTY","Grade 5",225
"2019-2020",17,"LAMB COUNTY","Grade 6",220
"2019-2020",17,"LAMB COUNTY","Grade 7",204
"2019-2020",17,"LAMB COUNTY","Grade 8",227
"2019-2020",17,"LAMB COUNTY","Grade 9",195
"2019-2020",17,"LAMB COUNTY","Grade 10",199
"2019-2020",17,"LAMB COUNTY","Grade 11",201
"2019-2020",17,"LAMB COUNTY","Grade 12",200
"2019-2020",12,"LAMPASAS COUNTY","Early Education",16
"2019-2020",12,"LAMPASAS COUNTY","Pre-kindergarten",111
"2019-2020",12,"LAMPASAS COUNTY","Kindergarten",254
"2019-2020",12,"LAMPASAS COUNTY","Grade 1",276
"2019-2020",12,"LAMPASAS COUNTY","Grade 2",274
"2019-2020",12,"LAMPASAS COUNTY","Grade 3",278
"2019-2020",12,"LAMPASAS COUNTY","Grade 4",292
"2019-2020",12,"LAMPASAS COUNTY","Grade 5",270
"2019-2020",12,"LAMPASAS COUNTY","Grade 6",315
"2019-2020",12,"LAMPASAS COUNTY","Grade 7",276
"2019-2020",12,"LAMPASAS COUNTY","Grade 8",284
"2019-2020",12,"LAMPASAS COUNTY","Grade 9",300
"2019-2020",12,"LAMPASAS COUNTY","Grade 10",284
"2019-2020",12,"LAMPASAS COUNTY","Grade 11",280
"2019-2020",12,"LAMPASAS COUNTY","Grade 12",252
"2019-2020",03,"LAVACA COUNTY","Early Education",12
"2019-2020",03,"LAVACA COUNTY","Pre-kindergarten",124
"2019-2020",03,"LAVACA COUNTY","Kindergarten",176
"2019-2020",03,"LAVACA COUNTY","Grade 1",174
"2019-2020",03,"LAVACA COUNTY","Grade 2",170
"2019-2020",03,"LAVACA COUNTY","Grade 3",158
"2019-2020",03,"LAVACA COUNTY","Grade 4",178
"2019-2020",03,"LAVACA COUNTY","Grade 5",182
"2019-2020",03,"LAVACA COUNTY","Grade 6",213
"2019-2020",03,"LAVACA COUNTY","Grade 7",219
"2019-2020",03,"LAVACA COUNTY","Grade 8",197
"2019-2020",03,"LAVACA COUNTY","Grade 9",156
"2019-2020",03,"LAVACA COUNTY","Grade 10",145
"2019-2020",03,"LAVACA COUNTY","Grade 11",178
"2019-2020",03,"LAVACA COUNTY","Grade 12",169
"2019-2020",13,"LEE COUNTY","Early Education",19
"2019-2020",13,"LEE COUNTY","Pre-kindergarten",112
"2019-2020",13,"LEE COUNTY","Kindergarten",218
"2019-2020",13,"LEE COUNTY","Grade 1",215
"2019-2020",13,"LEE COUNTY","Grade 2",206
"2019-2020",13,"LEE COUNTY","Grade 3",182
"2019-2020",13,"LEE COUNTY","Grade 4",214
"2019-2020",13,"LEE COUNTY","Grade 5",251
"2019-2020",13,"LEE COUNTY","Grade 6",255
"2019-2020",13,"LEE COUNTY","Grade 7",251
"2019-2020",13,"LEE COUNTY","Grade 8",246
"2019-2020",13,"LEE COUNTY","Grade 9",277
"2019-2020",13,"LEE COUNTY","Grade 10",244
"2019-2020",13,"LEE COUNTY","Grade 11",237
"2019-2020",13,"LEE COUNTY","Grade 12",208
"2019-2020",06,"LEON COUNTY","Early Education",31
"2019-2020",06,"LEON COUNTY","Pre-kindergarten",161
"2019-2020",06,"LEON COUNTY","Kindergarten",208
"2019-2020",06,"LEON COUNTY","Grade 1",215
"2019-2020",06,"LEON COUNTY","Grade 2",241
"2019-2020",06,"LEON COUNTY","Grade 3",197
"2019-2020",06,"LEON COUNTY","Grade 4",245
"2019-2020",06,"LEON COUNTY","Grade 5",223
"2019-2020",06,"LEON COUNTY","Grade 6",232
"2019-2020",06,"LEON COUNTY","Grade 7",210
"2019-2020",06,"LEON COUNTY","Grade 8",239
"2019-2020",06,"LEON COUNTY","Grade 9",255
"2019-2020",06,"LEON COUNTY","Grade 10",242
"2019-2020",06,"LEON COUNTY","Grade 11",215
"2019-2020",06,"LEON COUNTY","Grade 12",196
"2019-2020",04,"LIBERTY COUNTY","Early Education",77
"2019-2020",05,"LIBERTY COUNTY","Early Education",17
"2019-2020",04,"LIBERTY COUNTY","Pre-kindergarten",664
"2019-2020",05,"LIBERTY COUNTY","Pre-kindergarten",147
"2019-2020",04,"LIBERTY COUNTY","Kindergarten",1216
"2019-2020",05,"LIBERTY COUNTY","Kindergarten",207
"2019-2020",04,"LIBERTY COUNTY","Grade 1",1253
"2019-2020",05,"LIBERTY COUNTY","Grade 1",232
"2019-2020",04,"LIBERTY COUNTY","Grade 2",1188
"2019-2020",05,"LIBERTY COUNTY","Grade 2",179
"2019-2020",04,"LIBERTY COUNTY","Grade 3",1243
"2019-2020",05,"LIBERTY COUNTY","Grade 3",207
"2019-2020",04,"LIBERTY COUNTY","Grade 4",1289
"2019-2020",05,"LIBERTY COUNTY","Grade 4",202
"2019-2020",04,"LIBERTY COUNTY","Grade 5",1393
"2019-2020",05,"LIBERTY COUNTY","Grade 5",208
"2019-2020",04,"LIBERTY COUNTY","Grade 6",1360
"2019-2020",05,"LIBERTY COUNTY","Grade 6",211
"2019-2020",04,"LIBERTY COUNTY","Grade 7",1340
"2019-2020",05,"LIBERTY COUNTY","Grade 7",203
"2019-2020",04,"LIBERTY COUNTY","Grade 8",1212
"2019-2020",05,"LIBERTY COUNTY","Grade 8",195
"2019-2020",04,"LIBERTY COUNTY","Grade 9",1273
"2019-2020",05,"LIBERTY COUNTY","Grade 9",234
"2019-2020",04,"LIBERTY COUNTY","Grade 10",1133
"2019-2020",05,"LIBERTY COUNTY","Grade 10",198
"2019-2020",04,"LIBERTY COUNTY","Grade 11",1053
"2019-2020",05,"LIBERTY COUNTY","Grade 11",179
"2019-2020",04,"LIBERTY COUNTY","Grade 12",929
"2019-2020",05,"LIBERTY COUNTY","Grade 12",165
"2019-2020",12,"LIMESTONE COUNTY","Early Education",27
"2019-2020",12,"LIMESTONE COUNTY","Pre-kindergarten",175
"2019-2020",12,"LIMESTONE COUNTY","Kindergarten",285
"2019-2020",12,"LIMESTONE COUNTY","Grade 1",268
"2019-2020",12,"LIMESTONE COUNTY","Grade 2",271
"2019-2020",12,"LIMESTONE COUNTY","Grade 3",261
"2019-2020",12,"LIMESTONE COUNTY","Grade 4",287
"2019-2020",12,"LIMESTONE COUNTY","Grade 5",297
"2019-2020",12,"LIMESTONE COUNTY","Grade 6",293
"2019-2020",12,"LIMESTONE COUNTY","Grade 7",262
"2019-2020",12,"LIMESTONE COUNTY","Grade 8",283
"2019-2020",12,"LIMESTONE COUNTY","Grade 9",288
"2019-2020",12,"LIMESTONE COUNTY","Grade 10",266
"2019-2020",12,"LIMESTONE COUNTY","Grade 11",277
"2019-2020",12,"LIMESTONE COUNTY","Grade 12",239
"2019-2020",16,"LIPSCOMB COUNTY","Early Education",1
"2019-2020",16,"LIPSCOMB COUNTY","Pre-kindergarten",43
"2019-2020",16,"LIPSCOMB COUNTY","Kindergarten",64
"2019-2020",16,"LIPSCOMB COUNTY","Grade 1",56
"2019-2020",16,"LIPSCOMB COUNTY","Grade 2",42
"2019-2020",16,"LIPSCOMB COUNTY","Grade 3",54
"2019-2020",16,"LIPSCOMB COUNTY","Grade 4",58
"2019-2020",16,"LIPSCOMB COUNTY","Grade 5",51
"2019-2020",16,"LIPSCOMB COUNTY","Grade 6",53
"2019-2020",16,"LIPSCOMB COUNTY","Grade 7",52
"2019-2020",16,"LIPSCOMB COUNTY","Grade 8",53
"2019-2020",16,"LIPSCOMB COUNTY","Grade 9",63
"2019-2020",16,"LIPSCOMB COUNTY","Grade 10",62
"2019-2020",16,"LIPSCOMB COUNTY","Grade 11",33
"2019-2020",16,"LIPSCOMB COUNTY","Grade 12",47
"2019-2020",02,"LIVE OAK COUNTY","Early Education",40
"2019-2020",02,"LIVE OAK COUNTY","Pre-kindergarten",68
"2019-2020",02,"LIVE OAK COUNTY","Kindergarten",134
"2019-2020",02,"LIVE OAK COUNTY","Grade 1",129
"2019-2020",02,"LIVE OAK COUNTY","Grade 2",114
"2019-2020",02,"LIVE OAK COUNTY","Grade 3",127
"2019-2020",02,"LIVE OAK COUNTY","Grade 4",118
"2019-2020",02,"LIVE OAK COUNTY","Grade 5",131
"2019-2020",02,"LIVE OAK COUNTY","Grade 6",157
"2019-2020",02,"LIVE OAK COUNTY","Grade 7",122
"2019-2020",02,"LIVE OAK COUNTY","Grade 8",121
"2019-2020",02,"LIVE OAK COUNTY","Grade 9",143
"2019-2020",02,"LIVE OAK COUNTY","Grade 10",128
"2019-2020",02,"LIVE OAK COUNTY","Grade 11",121
"2019-2020",02,"LIVE OAK COUNTY","Grade 12",136
"2019-2020",13,"LLANO COUNTY","Early Education",16
"2019-2020",13,"LLANO COUNTY","Pre-kindergarten",91
"2019-2020",13,"LLANO COUNTY","Kindergarten",133
"2019-2020",13,"LLANO COUNTY","Grade 1",121
"2019-2020",13,"LLANO COUNTY","Grade 2",118
"2019-2020",13,"LLANO COUNTY","Grade 3",123
"2019-2020",13,"LLANO COUNTY","Grade 4",129
"2019-2020",13,"LLANO COUNTY","Grade 5",138
"2019-2020",13,"LLANO COUNTY","Grade 6",131
"2019-2020",13,"LLANO COUNTY","Grade 7",134
"2019-2020",13,"LLANO COUNTY","Grade 8",143
"2019-2020",13,"LLANO COUNTY","Grade 9",170
"2019-2020",13,"LLANO COUNTY","Grade 10",110
"2019-2020",13,"LLANO COUNTY","Grade 11",102
"2019-2020",13,"LLANO COUNTY","Grade 12",119
"2019-2020",17,"LUBBOCK COUNTY","Early Education",230
"2019-2020",17,"LUBBOCK COUNTY","Pre-kindergarten",2314
"2019-2020",17,"LUBBOCK COUNTY","Kindergarten",3868
"2019-2020",17,"LUBBOCK COUNTY","Grade 1",3763
"2019-2020",17,"LUBBOCK COUNTY","Grade 2",3673
"2019-2020",17,"LUBBOCK COUNTY","Grade 3",3683
"2019-2020",17,"LUBBOCK COUNTY","Grade 4",3929
"2019-2020",17,"LUBBOCK COUNTY","Grade 5",3970
"2019-2020",17,"LUBBOCK COUNTY","Grade 6",4011
"2019-2020",17,"LUBBOCK COUNTY","Grade 7",4080
"2019-2020",17,"LUBBOCK COUNTY","Grade 8",3630
"2019-2020",17,"LUBBOCK COUNTY","Grade 9",3872
"2019-2020",17,"LUBBOCK COUNTY","Grade 10",3529
"2019-2020",17,"LUBBOCK COUNTY","Grade 11",3339
"2019-2020",17,"LUBBOCK COUNTY","Grade 12",3139
"2019-2020",17,"LYNN COUNTY","Early Education",2
"2019-2020",17,"LYNN COUNTY","Pre-kindergarten",90
"2019-2020",17,"LYNN COUNTY","Kindergarten",121
"2019-2020",17,"LYNN COUNTY","Grade 1",106
"2019-2020",17,"LYNN COUNTY","Grade 2",120
"2019-2020",17,"LYNN COUNTY","Grade 3",107
"2019-2020",17,"LYNN COUNTY","Grade 4",108
"2019-2020",17,"LYNN COUNTY","Grade 5",137
"2019-2020",17,"LYNN COUNTY","Grade 6",121
"2019-2020",17,"LYNN COUNTY","Grade 7",160
"2019-2020",17,"LYNN COUNTY","Grade 8",112
"2019-2020",17,"LYNN COUNTY","Grade 9",118
"2019-2020",17,"LYNN COUNTY","Grade 10",98
"2019-2020",17,"LYNN COUNTY","Grade 11",108
"2019-2020",17,"LYNN COUNTY","Grade 12",87
"2019-2020",06,"MADISON COUNTY","Early Education",8
"2019-2020",06,"MADISON COUNTY","Pre-kindergarten",200
"2019-2020",06,"MADISON COUNTY","Kindergarten",184
"2019-2020",06,"MADISON COUNTY","Grade 1",203
"2019-2020",06,"MADISON COUNTY","Grade 2",181
"2019-2020",06,"MADISON COUNTY","Grade 3",182
"2019-2020",06,"MADISON COUNTY","Grade 4",184
"2019-2020",06,"MADISON COUNTY","Grade 5",206
"2019-2020",06,"MADISON COUNTY","Grade 6",199
"2019-2020",06,"MADISON COUNTY","Grade 7",195
"2019-2020",06,"MADISON COUNTY","Grade 8",212
"2019-2020",06,"MADISON COUNTY","Grade 9",205
"2019-2020",06,"MADISON COUNTY","Grade 10",173
"2019-2020",06,"MADISON COUNTY","Grade 11",187
"2019-2020",06,"MADISON COUNTY","Grade 12",190
"2019-2020",08,"MARION COUNTY","Early Education",1
"2019-2020",08,"MARION COUNTY","Pre-kindergarten",77
"2019-2020",08,"MARION COUNTY","Kindergarten",69
"2019-2020",08,"MARION COUNTY","Grade 1",86
"2019-2020",08,"MARION COUNTY","Grade 2",93
"2019-2020",08,"MARION COUNTY","Grade 3",79
"2019-2020",08,"MARION COUNTY","Grade 4",96
"2019-2020",08,"MARION COUNTY","Grade 5",100
"2019-2020",08,"MARION COUNTY","Grade 6",102
"2019-2020",08,"MARION COUNTY","Grade 7",102
"2019-2020",08,"MARION COUNTY","Grade 8",87
"2019-2020",08,"MARION COUNTY","Grade 9",106
"2019-2020",08,"MARION COUNTY","Grade 10",91
"2019-2020",08,"MARION COUNTY","Grade 11",87
"2019-2020",08,"MARION COUNTY","Grade 12",95
"2019-2020",18,"MARTIN COUNTY","Early Education",7
"2019-2020",18,"MARTIN COUNTY","Pre-kindergarten",67
"2019-2020",18,"MARTIN COUNTY","Kindergarten",117
"2019-2020",18,"MARTIN COUNTY","Grade 1",114
"2019-2020",18,"MARTIN COUNTY","Grade 2",102
"2019-2020",18,"MARTIN COUNTY","Grade 3",101
"2019-2020",18,"MARTIN COUNTY","Grade 4",94
"2019-2020",18,"MARTIN COUNTY","Grade 5",123
"2019-2020",18,"MARTIN COUNTY","Grade 6",106
"2019-2020",18,"MARTIN COUNTY","Grade 7",108
"2019-2020",18,"MARTIN COUNTY","Grade 8",98
"2019-2020",18,"MARTIN COUNTY","Grade 9",107
"2019-2020",18,"MARTIN COUNTY","Grade 10",90
"2019-2020",18,"MARTIN COUNTY","Grade 11",74
"2019-2020",18,"MARTIN COUNTY","Grade 12",68
"2019-2020",15,"MASON COUNTY","Early Education",2
"2019-2020",15,"MASON COUNTY","Pre-kindergarten",44
"2019-2020",15,"MASON COUNTY","Kindergarten",63
"2019-2020",15,"MASON COUNTY","Grade 1",49
"2019-2020",15,"MASON COUNTY","Grade 2",61
"2019-2020",15,"MASON COUNTY","Grade 3",56
"2019-2020",15,"MASON COUNTY","Grade 4",36
"2019-2020",15,"MASON COUNTY","Grade 5",50
"2019-2020",15,"MASON COUNTY","Grade 6",62
"2019-2020",15,"MASON COUNTY","Grade 7",47
"2019-2020",15,"MASON COUNTY","Grade 8",64
"2019-2020",15,"MASON COUNTY","Grade 9",66
"2019-2020",15,"MASON COUNTY","Grade 10",62
"2019-2020",15,"MASON COUNTY","Grade 11",51
"2019-2020",15,"MASON COUNTY","Grade 12",44
"2019-2020",03,"MATAGORDA COUNTY","Early Education",48
"2019-2020",03,"MATAGORDA COUNTY","Pre-kindergarten",363
"2019-2020",03,"MATAGORDA COUNTY","Kindergarten",551
