System ID, System Name, Total, Grade PK,Grade KK, Grade 01,Grade 02,Grade 03,Grade 04,Grade 05,Grade 06,Grade 07,Grade 08,Grade 09,Grade 10,Grade 11,Grade 12
703,Montgomery County,1577,59,89,83,78,82,91,74,89,102,108,169,224,180,149
704,Morgan County,3284,97,232,260,207,260,216,255,241,231,287,253,251,244,250
705,Murray County,7621,335,615,617,615,575,546,555,554,548,606,521,583,459,492
706,Muscogee County,32128,1176,2691,2761,2480,2445,2312,2262,2305,2426,2274,2516,2318,2151,2011
7991893,,184,2,8,7,7,10,12,12,9,11,17,21,15,15,38
7991895,,108,9,0,2,7,4,2,7,5,9,11,9,9,10,24
7991894,,115,1,4,5,8,1,7,1,8,5,11,15,17,10,22
707,Newton County,19522,678,1462,1522,1504,1499,1474,1500,1479,1496,1563,1654,1447,1178,1066
708,Oconee County,6781,53,436,475,500,523,467,510,556,571,549,580,528,560,473
709,Oglethorpe County,2260,35,153,166,160,170,161,163,184,173,186,194,190,173,152
710,Paulding County,28434,160,2007,2093,2124,2184,2106,2308,2173,2306,2336,2564,2250,1984,1839
711,Peach County,3767,23,321,287,311,302,277,275,332,309,305,303,279,233,210
784,Pelham City,1506,87,117,115,115,111,91,79,105,90,115,140,129,93,119
712,Pickens County,4340,26,314,340,320,313,296,356,366,397,319,379,367,288,259
713,Pierce County,3729,142,273,274,289,274,274,264,277,293,284,349,267,244,225
714,Pike County,3412,100,195,201,220,248,245,268,246,302,291,301,320,228,247
715,Polk County,7709,344,693,609,606,588,576,549,600,556,576,655,485,466,406
716,Pulaski County,1399,90,134,100,104,98,85,86,105,116,92,114,96,96,83
717,Putnam County,2795,111,279,230,238,208,202,199,220,197,228,243,169,133,138
718,Quitman County,332,23,19,22,27,23,25,30,28,27,28,23,19,19,19
719,Rabun County,2271,94,174,184,140,168,193,140,166,178,172,193,166,172,131
720,Randolph County,1119,148,76,65,98,60,66,53,63,70,75,93,90,80,82
721,Richmond County,31997,1264,2747,2820,2612,2382,2355,2358,2426,2324,2309,2572,2216,1931,1681
722,Rockdale County,16047,316,1290,1156,1131,1132,1156,1144,1176,1254,1261,1394,1805,735,1097
785,Rome City,6047,211,516,550,510,460,461,444,419,490,433,455,432,367,299
625,Savannah-Chatham County,37445,1555,3659,3425,3253,3150,2855,2875,2809,2646,2587,3197,2253,1817,1364
723,Schley County,1377,70,101,83,114,101,105,90,106,106,132,102,102,91,74
724,Screven County,2364,103,192,189,196,179,132,187,166,168,195,184,171,164,138
725,Seminole County,1674,70,127,143,109,114,115,124,125,138,132,150,126,100,101
786,Social Circle City,1706,67,120,122,109,129,125,118,115,144,150,126,124,137,120
7830410,State Charter Schools II- Atlanta Heights Charter School,690,0,99,88,87,83,81,69,67,64,52,0,0,0,0
7830610,State Charter Schools II- Coweta Charter Academy,572,0,117,92,83,88,80,70,42,0,0,0,0,0,0
7830310,State Charter Schools II- Fulton Leadership Academy,264,0,0,0,0,0,0,0,64,68,62,70,0,0,0
7830110,State Charter Schools II- Ivy Preparatory Academy at Gwinnett,359,0,0,0,0,0,0,0,105,98,118,17,11,10,0
7830210,State Charter Schools II- Pataula Charter Academy,418,0,44,34,44,42,42,45,46,39,44,38,0,0,0
7830103,State Charter Schools II- Statesboro STEAM Academy,156,0,0,0,0,0,0,0,25,24,23,20,22,20,22
7820212,State Charter Schools- Cherokee Charter Academy,1099,0,117,137,121,116,117,120,115,120,100,36,0,0,0
7820412,State Charter Schools- Georgia Connections Academy,2994,0,111,124,146,160,152,176,221,278,310,377,416,332,191
7820119,State Charter Schools- Graduation Achievement Center Charter High School,1741,0,0,0,0,0,0,0,0,0,0,286,474,440,541
7820312,State Charter Schools- Heritage Preparatory Academy School,204,0,0,0,0,0,0,0,69,70,65,0,0,0,0
7820612,State Charter Schools- Ivy Preparatory Academy  Inc,339,0,34,46,48,48,24,26,27,46,40,0,0,0,0
7820512,State Charter Schools- Ivy Preparatory Young Men's Leadership Academy  Inc.,330,0,31,40,49,46,25,23,25,49,42,0,0,0,0
7820108,State Charter Schools- Mountain Education Charter High School,1143,0,0,0,0,0,0,0,0,0,0,205,233,245,460
7820110,State Charter Schools- Odyssey Charter School,13300,0,648,820,840,955,961,1052,1232,1534,1745,1355,1153,676,329
7820112,State Charter Schools- Scholars Academy Charter School,238,0,46,47,44,41,35,25,0,0,0,0,0,0,0
727,Stephens County,4022,118,343,352,308,293,276,304,294,315,320,314,304,256,225
728,Stewart County,542,42,46,48,50,30,42,40,40,36,38,39,29,39,23
729,Sumter County,4906,272,448,397,376,389,350,341,359,323,365,400,356,278,252
730,Talbot County,524,22,35,42,30,38,36,35,45,42,42,44,48,38,27
731,Taliaferro County,202,15,18,17,18,19,11,16,13,12,10,12,17,13,11
732,Tattnall County,3679,219,321,302,299,257,273,286,253,270,254,319,224,234,168
733,Taylor County,1523,91,122,102,96,103,94,118,112,108,123,127,116,106,105
734,Telfair County,1726,113,144,123,132,122,114,126,136,132,153,133,105,83,110
735,Terrell County,1487,88,121,109,117,119,99,99,116,117,106,121,93,95,87
736,Thomas County,5556,295,379,406,379,379,360,384,404,455,471,493,451,363,337
745,Thomaston-Upson County,4365,153,273,338,359,294,304,313,352,341,360,387,355,279,257
789,Thomasville City,3035,214,268,269,226,243,222,191,215,219,193,269,190,168,148
737,Tift County,7867,330,626,645,679,605,570,532,614,567,600,543,607,509,440
738,Toombs County,3071,186,218,251,220,224,227,204,217,238,255,239,218,193,181
739,Towns County,1082,11,77,66,79,68,70,77,85,87,96,110,83,89,84
740,Treutlen County,1191,71,90,91,109,72,102,81,81,88,88,88,94,71,65
791,Trion City,1400,88,112,104,102,87,95,90,99,108,90,104,119,101,101
741,Troup County,12677,537,1140,1025,981,943,878,897,893,952,918,1134,854,777,748
742,Turner County,1497,112,105,119,106,106,101,102,117,101,125,115,112,83,93
743,Twiggs County,912,39,80,67,66,81,41,70,71,57,81,69,71,75,44
744,Union County,2678,7,212,230,199,198,199,190,209,229,222,242,210,195,136
792,Valdosta City,8012,216,810,800,713,611,639,549,573,549,584,632,526,470,340
793,Vidalia City,2664,159,199,207,200,206,184,175,189,213,182,214,193,174,169
746,Walker County,9169,305,748,764,675,667,682,685,652,716,711,811,644,552,557
747,Walton County,13694,448,1068,996,1042,1035,1087,987,1064,1058,1068,1218,951,878,794
748,Ware County,6016,335,565,520,476,473,441,383,433,445,431,428,433,322,331
749,Warren County,675,46,61,69,52,55,49,65,44,46,47,46,36,27,32
750,Washington County,3102,88,279,277,259,241,243,213,206,228,213,236,206,215,198
751,Wayne County,5459,319,475,461,398,406,411,404,420,400,391,448,345,286,295
752,Webster County,416,22,26,22,40,32,28,25,32,43,26,33,26,36,25
753,Wheeler County,1043,68,78,78,75,71,95,88,80,72,75,78,51,73,61
754,White County,3889,27,319,288,290,314,301,293,307,302,305,319,296,265,263
755,Whitfield County,13259,296,1064,1031,1012,1018,1021,979,1033,1030,998,1187,1009,814,767
756,Wilcox County,1221,71,84,95,105,88,85,88,87,69,107,105,87,81,69
757,Wilkes County,1665,100,125,125,117,112,121,129,109,130,135,132,122,110,98
758,Wilkinson County,1566,107,107,130,138,113,106,112,106,107,128,107,100,95,110
759,Worth County,3403,159,289,286,264,224,233,227,244,261,274,280,242,214,206
 ,State-Wide Total,1723439,45427,136658,137101,133002,131113,129329,128520,129445,131952,131249,148520,128021,110102,103000
