"Year","Region","Grade Level Name","Gender Name","Gender Count"
"2016-2017",09,"Grade  4","Male",1428
"2016-2017",09,"Grade  5","Female",1355
"2016-2017",09,"Grade  5","Male",1482
"2016-2017",09,"Grade  6","Female",1293
"2016-2017",09,"Grade  6","Male",1433
"2016-2017",09,"Grade  7","Female",1387
"2016-2017",09,"Grade  7","Male",1356
"2016-2017",09,"Grade  8","Female",1308
"2016-2017",09,"Grade  8","Male",1338
"2016-2017",09,"Grade  9","Female",1371
"2016-2017",09,"Grade  9","Male",1480
"2016-2017",09,"Grade 10","Female",1293
"2016-2017",09,"Grade 10","Male",1365
"2016-2017",09,"Grade 11","Female",1291
"2016-2017",09,"Grade 11","Male",1307
"2016-2017",09,"Grade 12","Female",1150
"2016-2017",09,"Grade 12","Male",1238
"2016-2017",10,"Early Education","Female",1198
"2016-2017",10,"Early Education","Male",2767
"2016-2017",10,"Pre-kindergarten","Female",15586
"2016-2017",10,"Pre-kindergarten","Male",15753
"2016-2017",10,"Kindergarten","Female",28675
"2016-2017",10,"Kindergarten","Male",30143
"2016-2017",10,"Grade  1","Female",30307
"2016-2017",10,"Grade  1","Male",31756
"2016-2017",10,"Grade  2","Female",31762
"2016-2017",10,"Grade  2","Male",32930
"2016-2017",10,"Grade  3","Female",32338
"2016-2017",10,"Grade  3","Male",33757
"2016-2017",10,"Grade  4","Female",32047
"2016-2017",10,"Grade  4","Male",33825
"2016-2017",10,"Grade  5","Female",31493
"2016-2017",10,"Grade  5","Male",32796
"2016-2017",10,"Grade  6","Female",31078
"2016-2017",10,"Grade  6","Male",32497
"2016-2017",10,"Grade  7","Female",30562
"2016-2017",10,"Grade  7","Male",32144
"2016-2017",10,"Grade  8","Female",30265
"2016-2017",10,"Grade  8","Male",31365
"2016-2017",10,"Grade  9","Female",32473
"2016-2017",10,"Grade  9","Male",35308
"2016-2017",10,"Grade 10","Female",30594
"2016-2017",10,"Grade 10","Male",32098
"2016-2017",10,"Grade 11","Female",28555
"2016-2017",10,"Grade 11","Male",29286
"2016-2017",10,"Grade 12","Female",26155
"2016-2017",10,"Grade 12","Male",25383
"2016-2017",11,"Early Education","Female",736
"2016-2017",11,"Early Education","Male",1682
"2016-2017",11,"Pre-kindergarten","Female",10218
"2016-2017",11,"Pre-kindergarten","Male",10330
"2016-2017",11,"Kindergarten","Female",19454
"2016-2017",11,"Kindergarten","Male",20604
"2016-2017",11,"Grade  1","Female",20321
"2016-2017",11,"Grade  1","Male",21609
"2016-2017",11,"Grade  2","Female",21246
"2016-2017",11,"Grade  2","Male",22348
"2016-2017",11,"Grade  3","Female",21683
"2016-2017",11,"Grade  3","Male",22837
"2016-2017",11,"Grade  4","Female",21428
"2016-2017",11,"Grade  4","Male",23177
"2016-2017",11,"Grade  5","Female",21639
"2016-2017",11,"Grade  5","Male",22648
"2016-2017",11,"Grade  6","Female",21056
"2016-2017",11,"Grade  6","Male",22552
"2016-2017",11,"Grade  7","Female",21189
"2016-2017",11,"Grade  7","Male",22331
"2016-2017",11,"Grade  8","Female",21083
"2016-2017",11,"Grade  8","Male",22374
"2016-2017",11,"Grade  9","Female",23499
"2016-2017",11,"Grade  9","Male",25623
"2016-2017",11,"Grade 10","Female",22274
"2016-2017",11,"Grade 10","Male",23116
"2016-2017",11,"Grade 11","Female",21035
"2016-2017",11,"Grade 11","Male",21163
"2016-2017",11,"Grade 12","Female",19128
"2016-2017",11,"Grade 12","Male",19105
"2016-2017",12,"Early Education","Female",172
"2016-2017",12,"Early Education","Male",369
"2016-2017",12,"Pre-kindergarten","Female",4362
"2016-2017",12,"Pre-kindergarten","Male",4422
"2016-2017",12,"Kindergarten","Female",6100
"2016-2017",12,"Kindergarten","Male",6393
"2016-2017",12,"Grade  1","Female",6432
"2016-2017",12,"Grade  1","Male",6913
"2016-2017",12,"Grade  2","Female",6575
"2016-2017",12,"Grade  2","Male",6894
"2016-2017",12,"Grade  3","Female",6504
"2016-2017",12,"Grade  3","Male",6923
"2016-2017",12,"Grade  4","Female",6400
"2016-2017",12,"Grade  4","Male",6995
"2016-2017",12,"Grade  5","Female",6218
"2016-2017",12,"Grade  5","Male",6695
"2016-2017",12,"Grade  6","Female",6197
"2016-2017",12,"Grade  6","Male",6635
"2016-2017",12,"Grade  7","Female",6116
"2016-2017",12,"Grade  7","Male",6392
"2016-2017",12,"Grade  8","Female",6261
"2016-2017",12,"Grade  8","Male",6446
"2016-2017",12,"Grade  9","Female",6346
"2016-2017",12,"Grade  9","Male",7102
"2016-2017",12,"Grade 10","Female",5992
"2016-2017",12,"Grade 10","Male",6222
"2016-2017",12,"Grade 11","Female",5403
"2016-2017",12,"Grade 11","Male",5553
"2016-2017",12,"Grade 12","Female",4924
"2016-2017",12,"Grade 12","Male",5073
"2016-2017",13,"Early Education","Female",597
"2016-2017",13,"Early Education","Male",1392
"2016-2017",13,"Pre-kindergarten","Female",6771
"2016-2017",13,"Pre-kindergarten","Male",6849
"2016-2017",13,"Kindergarten","Female",13357
"2016-2017",13,"Kindergarten","Male",14234
"2016-2017",13,"Grade  1","Female",13815
"2016-2017",13,"Grade  1","Male",14661
"2016-2017",13,"Grade  2","Female",14331
"2016-2017",13,"Grade  2","Male",15108
"2016-2017",13,"Grade  3","Female",14779
