"YEAR","REGION","COUNTY NAME","DISTRICT","DISTRICT NAME","CHARTER STATUS","GRADE","ENROLLMENT"
"2019-2020",10,"DALLAS COUNTY",057810,"ACADEMY OF DALLAS","OPEN ENROLLMENT CHARTER","Grade 2",25
"2019-2020",10,"DALLAS COUNTY",057810,"ACADEMY OF DALLAS","OPEN ENROLLMENT CHARTER","Grade 3",22
"2019-2020",10,"DALLAS COUNTY",057810,"ACADEMY OF DALLAS","OPEN ENROLLMENT CHARTER","Grade 4",28
"2019-2020",10,"DALLAS COUNTY",057810,"ACADEMY OF DALLAS","OPEN ENROLLMENT CHARTER","Grade 5",33
"2019-2020",10,"DALLAS COUNTY",057810,"ACADEMY OF DALLAS","OPEN ENROLLMENT CHARTER","Grade 6",42
"2019-2020",10,"DALLAS COUNTY",057810,"ACADEMY OF DALLAS","OPEN ENROLLMENT CHARTER","Grade 7",52
"2019-2020",10,"DALLAS COUNTY",057810,"ACADEMY OF DALLAS","OPEN ENROLLMENT CHARTER","Grade 8",38
"2019-2020",04,"HARRIS COUNTY",101849,"ACCELERATED INTERMEDIATE ACADEMY","OPEN ENROLLMENT CHARTER","Pre-kindergarten",28
"2019-2020",04,"HARRIS COUNTY",101849,"ACCELERATED INTERMEDIATE ACADEMY","OPEN ENROLLMENT CHARTER","Kindergarten",38
"2019-2020",04,"HARRIS COUNTY",101849,"ACCELERATED INTERMEDIATE ACADEMY","OPEN ENROLLMENT CHARTER","Grade 1",24
"2019-2020",04,"HARRIS COUNTY",101849,"ACCELERATED INTERMEDIATE ACADEMY","OPEN ENROLLMENT CHARTER","Grade 2",41
"2019-2020",04,"HARRIS COUNTY",101849,"ACCELERATED INTERMEDIATE ACADEMY","OPEN ENROLLMENT CHARTER","Grade 3",33
"2019-2020",04,"HARRIS COUNTY",101849,"ACCELERATED INTERMEDIATE ACADEMY","OPEN ENROLLMENT CHARTER","Grade 4",32
"2019-2020",04,"HARRIS COUNTY",101849,"ACCELERATED INTERMEDIATE ACADEMY","OPEN ENROLLMENT CHARTER","Grade 5",27
"2019-2020",04,"HARRIS COUNTY",101849,"ACCELERATED INTERMEDIATE ACADEMY","OPEN ENROLLMENT CHARTER","Grade 6","<20"
"2019-2020",04,"HARRIS COUNTY",101849,"ACCELERATED INTERMEDIATE ACADEMY","OPEN ENROLLMENT CHARTER","Grade 7","<10"
"2019-2020",16,"OLDHAM COUNTY",180903,"ADRIAN ISD","TRADITIONAL ISD/CSD","Pre-kindergarten","<10"
"2019-2020",16,"OLDHAM COUNTY",180903,"ADRIAN ISD","TRADITIONAL ISD/CSD","Kindergarten","<10"
"2019-2020",16,"OLDHAM COUNTY",180903,"ADRIAN ISD","TRADITIONAL ISD/CSD","Grade 1","<10"
"2019-2020",16,"OLDHAM COUNTY",180903,"ADRIAN ISD","TRADITIONAL ISD/CSD","Grade 2","<10"
"2019-2020",16,"OLDHAM COUNTY",180903,"ADRIAN ISD","TRADITIONAL ISD/CSD","Grade 3","<10"
"2019-2020",16,"OLDHAM COUNTY",180903,"ADRIAN ISD","TRADITIONAL ISD/CSD","Grade 4","<10"
"2019-2020",16,"OLDHAM COUNTY",180903,"ADRIAN ISD","TRADITIONAL ISD/CSD","Grade 5","<10"
"2019-2020",16,"OLDHAM COUNTY",180903,"ADRIAN ISD","TRADITIONAL ISD/CSD","Grade 6",11
"2019-2020",16,"OLDHAM COUNTY",180903,"ADRIAN ISD","TRADITIONAL ISD/CSD","Grade 7",14
"2019-2020",16,"OLDHAM COUNTY",180903,"ADRIAN ISD","TRADITIONAL ISD/CSD","Grade 8",12
"2019-2020",16,"OLDHAM COUNTY",180903,"ADRIAN ISD","TRADITIONAL ISD/CSD","Grade 9",10
"2019-2020",16,"OLDHAM COUNTY",180903,"ADRIAN ISD","TRADITIONAL ISD/CSD","Grade 10",10
"2019-2020",16,"OLDHAM COUNTY",180903,"ADRIAN ISD","TRADITIONAL ISD/CSD","Grade 11",14
"2019-2020",16,"OLDHAM COUNTY",180903,"ADRIAN ISD","TRADITIONAL ISD/CSD","Grade 12",12
"2019-2020",10,"DALLAS COUNTY",057806,"ADVANTAGE ACADEMY","OPEN ENROLLMENT CHARTER","Pre-kindergarten",138
