"YEAR","REGION","COUNTY NAME","DISTRICT","DISTRICT NAME","CHARTER STATUS","GRADE","ENROLLMENT"
"2019-2020",13,"CALDWELL COUNTY",028902,"LOCKHART ISD","TRADITIONAL ISD/CSD","Grade 12",346
"2019-2020",17,"FLOYD COUNTY",077902,"LOCKNEY ISD","TRADITIONAL ISD/CSD","Early Education","<10"
"2019-2020",17,"FLOYD COUNTY",077902,"LOCKNEY ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",26
"2019-2020",17,"FLOYD COUNTY",077902,"LOCKNEY ISD","TRADITIONAL ISD/CSD","Kindergarten","<30"
"2019-2020",17,"FLOYD COUNTY",077902,"LOCKNEY ISD","TRADITIONAL ISD/CSD","Grade 1",27
"2019-2020",17,"FLOYD COUNTY",077902,"LOCKNEY ISD","TRADITIONAL ISD/CSD","Grade 2",27
"2019-2020",17,"FLOYD COUNTY",077902,"LOCKNEY ISD","TRADITIONAL ISD/CSD","Grade 3",32
"2019-2020",17,"FLOYD COUNTY",077902,"LOCKNEY ISD","TRADITIONAL ISD/CSD","Grade 4",32
"2019-2020",17,"FLOYD COUNTY",077902,"LOCKNEY ISD","TRADITIONAL ISD/CSD","Grade 5",28
"2019-2020",17,"FLOYD COUNTY",077902,"LOCKNEY ISD","TRADITIONAL ISD/CSD","Grade 6",37
"2019-2020",17,"FLOYD COUNTY",077902,"LOCKNEY ISD","TRADITIONAL ISD/CSD","Grade 7",39
"2019-2020",17,"FLOYD COUNTY",077902,"LOCKNEY ISD","TRADITIONAL ISD/CSD","Grade 8",39
"2019-2020",17,"FLOYD COUNTY",077902,"LOCKNEY ISD","TRADITIONAL ISD/CSD","Grade 9",41
"2019-2020",17,"FLOYD COUNTY",077902,"LOCKNEY ISD","TRADITIONAL ISD/CSD","Grade 10",30
"2019-2020",17,"FLOYD COUNTY",077902,"LOCKNEY ISD","TRADITIONAL ISD/CSD","Grade 11",33
"2019-2020",17,"FLOYD COUNTY",077902,"LOCKNEY ISD","TRADITIONAL ISD/CSD","Grade 12",24
"2019-2020",15,"MCCULLOCH COUNTY",160905,"LOHN ISD","TRADITIONAL ISD/CSD","Pre-kindergarten","<10"
"2019-2020",15,"MCCULLOCH COUNTY",160905,"LOHN ISD","TRADITIONAL ISD/CSD","Kindergarten","<10"
"2019-2020",15,"MCCULLOCH COUNTY",160905,"LOHN ISD","TRADITIONAL ISD/CSD","Grade 1","<10"
"2019-2020",15,"MCCULLOCH COUNTY",160905,"LOHN ISD","TRADITIONAL ISD/CSD","Grade 2","<10"
"2019-2020",15,"MCCULLOCH COUNTY",160905,"LOHN ISD","TRADITIONAL ISD/CSD","Grade 3","<10"
"2019-2020",15,"MCCULLOCH COUNTY",160905,"LOHN ISD","TRADITIONAL ISD/CSD","Grade 4","<10"
"2019-2020",15,"MCCULLOCH COUNTY",160905,"LOHN ISD","TRADITIONAL ISD/CSD","Grade 5","<10"
"2019-2020",15,"MCCULLOCH COUNTY",160905,"LOHN ISD","TRADITIONAL ISD/CSD","Grade 6","<10"
"2019-2020",15,"MCCULLOCH COUNTY",160905,"LOHN ISD","TRADITIONAL ISD/CSD","Grade 7","<10"
"2019-2020",15,"MCCULLOCH COUNTY",160905,"LOHN ISD","TRADITIONAL ISD/CSD","Grade 8","<10"
"2019-2020",15,"MCCULLOCH COUNTY",160905,"LOHN ISD","TRADITIONAL ISD/CSD","Grade 9","<10"
"2019-2020",15,"MCCULLOCH COUNTY",160905,"LOHN ISD","TRADITIONAL ISD/CSD","Grade 10","<10"
"2019-2020",15,"MCCULLOCH COUNTY",160905,"LOHN ISD","TRADITIONAL ISD/CSD","Grade 11","<10"
"2019-2020",15,"MCCULLOCH COUNTY",160905,"LOHN ISD","TRADITIONAL ISD/CSD","Grade 12","<10"
"2019-2020",12,"LAMPASAS COUNTY",141902,"LOMETA ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",36
"2019-2020",12,"LAMPASAS COUNTY",141902,"LOMETA ISD","TRADITIONAL ISD/CSD","Kindergarten",19
"2019-2020",12,"LAMPASAS COUNTY",141902,"LOMETA ISD","TRADITIONAL ISD/CSD","Grade 1",19
"2019-2020",12,"LAMPASAS COUNTY",141902,"LOMETA ISD","TRADITIONAL ISD/CSD","Grade 2",17
"2019-2020",12,"LAMPASAS COUNTY",141902,"LOMETA ISD","TRADITIONAL ISD/CSD","Grade 3",21
"2019-2020",12,"LAMPASAS COUNTY",141902,"LOMETA ISD","TRADITIONAL ISD/CSD","Grade 4",26
"2019-2020",12,"LAMPASAS COUNTY",141902,"LOMETA ISD","TRADITIONAL ISD/CSD","Grade 5",18
"2019-2020",12,"LAMPASAS COUNTY",141902,"LOMETA ISD","TRADITIONAL ISD/CSD","Grade 6",19
"2019-2020",12,"LAMPASAS COUNTY",141902,"LOMETA ISD","TRADITIONAL ISD/CSD","Grade 7",25
"2019-2020",12,"LAMPASAS COUNTY",141902,"LOMETA ISD","TRADITIONAL ISD/CSD","Grade 8",24
"2019-2020",12,"LAMPASAS COUNTY",141902,"LOMETA ISD","TRADITIONAL ISD/CSD","Grade 9",35
"2019-2020",12,"LAMPASAS COUNTY",141902,"LOMETA ISD","TRADITIONAL ISD/CSD","Grade 10",39
"2019-2020",12,"LAMPASAS COUNTY",141902,"LOMETA ISD","TRADITIONAL ISD/CSD","Grade 11",20
"2019-2020",12,"LAMPASAS COUNTY",141902,"LOMETA ISD","TRADITIONAL ISD/CSD","Grade 12",23
"2019-2020",02,"NUECES COUNTY",178906,"LONDON ISD","TRADITIONAL ISD/CSD","Early Education","<10"
"2019-2020",02,"NUECES COUNTY",178906,"LONDON ISD","TRADITIONAL ISD/CSD","Pre-kindergarten","<40"
"2019-2020",02,"NUECES COUNTY",178906,"LONDON ISD","TRADITIONAL ISD/CSD","Kindergarten",64
"2019-2020",02,"NUECES COUNTY",178906,"LONDON ISD","TRADITIONAL ISD/CSD","Grade 1",69
"2019-2020",02,"NUECES COUNTY",178906,"LONDON ISD","TRADITIONAL ISD/CSD","Grade 2",75
"2019-2020",02,"NUECES COUNTY",178906,"LONDON ISD","TRADITIONAL ISD/CSD","Grade 3",91
"2019-2020",02,"NUECES COUNTY",178906,"LONDON ISD","TRADITIONAL ISD/CSD","Grade 4",92
"2019-2020",02,"NUECES COUNTY",178906,"LONDON ISD","TRADITIONAL ISD/CSD","Grade 5",87
"2019-2020",02,"NUECES COUNTY",178906,"LONDON ISD","TRADITIONAL ISD/CSD","Grade 6",112
"2019-2020",02,"NUECES COUNTY",178906,"LONDON ISD","TRADITIONAL ISD/CSD","Grade 7",116
"2019-2020",02,"NUECES COUNTY",178906,"LONDON ISD","TRADITIONAL ISD/CSD","Grade 8",105
"2019-2020",02,"NUECES COUNTY",178906,"LONDON ISD","TRADITIONAL ISD/CSD","Grade 9",118
"2019-2020",02,"NUECES COUNTY",178906,"LONDON ISD","TRADITIONAL ISD/CSD","Grade 10",81
"2019-2020",02,"NUECES COUNTY",178906,"LONDON ISD","TRADITIONAL ISD/CSD","Grade 11",74
"2019-2020",02,"NUECES COUNTY",178906,"LONDON ISD","TRADITIONAL ISD/CSD","Grade 12",81
"2019-2020",10,"HUNT COUNTY",116906,"LONE OAK ISD","TRADITIONAL ISD/CSD","Early Education","<10"
"2019-2020",10,"HUNT COUNTY",116906,"LONE OAK ISD","TRADITIONAL ISD/CSD","Pre-kindergarten","<30"
"2019-2020",10,"HUNT COUNTY",116906,"LONE OAK ISD","TRADITIONAL ISD/CSD","Kindergarten",66
"2019-2020",10,"HUNT COUNTY",116906,"LONE OAK ISD","TRADITIONAL ISD/CSD","Grade 1",55
"2019-2020",10,"HUNT COUNTY",116906,"LONE OAK ISD","TRADITIONAL ISD/CSD","Grade 2",66
"2019-2020",10,"HUNT COUNTY",116906,"LONE OAK ISD","TRADITIONAL ISD/CSD","Grade 3",63
"2019-2020",10,"HUNT COUNTY",116906,"LONE OAK ISD","TRADITIONAL ISD/CSD","Grade 4",78
"2019-2020",10,"HUNT COUNTY",116906,"LONE OAK ISD","TRADITIONAL ISD/CSD","Grade 5",72
"2019-2020",10,"HUNT COUNTY",116906,"LONE OAK ISD","TRADITIONAL ISD/CSD","Grade 6",91
"2019-2020",10,"HUNT COUNTY",116906,"LONE OAK ISD","TRADITIONAL ISD/CSD","Grade 7",71
"2019-2020",10,"HUNT COUNTY",116906,"LONE OAK ISD","TRADITIONAL ISD/CSD","Grade 8",80
"2019-2020",10,"HUNT COUNTY",116906,"LONE OAK ISD","TRADITIONAL ISD/CSD","Grade 9",84
"2019-2020",10,"HUNT COUNTY",116906,"LONE OAK ISD","TRADITIONAL ISD/CSD","Grade 10",81
"2019-2020",10,"HUNT COUNTY",116906,"LONE OAK ISD","TRADITIONAL ISD/CSD","Grade 11",86
"2019-2020",10,"HUNT COUNTY",116906,"LONE OAK ISD","TRADITIONAL ISD/CSD","Grade 12",72
"2019-2020",10,"COLLIN COUNTY",043802,"LONE STAR LANGUAGE ACADEMY","OPEN ENROLLMENT CHARTER","Kindergarten",49
"2019-2020",10,"COLLIN COUNTY",043802,"LONE STAR LANGUAGE ACADEMY","OPEN ENROLLMENT CHARTER","Grade 1",60
"2019-2020",10,"COLLIN COUNTY",043802,"LONE STAR LANGUAGE ACADEMY","OPEN ENROLLMENT CHARTER","Grade 2",31
"2019-2020",10,"COLLIN COUNTY",043802,"LONE STAR LANGUAGE ACADEMY","OPEN ENROLLMENT CHARTER","Grade 3",20
"2019-2020",10,"COLLIN COUNTY",043802,"LONE STAR LANGUAGE ACADEMY","OPEN ENROLLMENT CHARTER","Grade 4",17
"2019-2020",10,"COLLIN COUNTY",043802,"LONE STAR LANGUAGE ACADEMY","OPEN ENROLLMENT CHARTER","Grade 5",13
"2019-2020",07,"GREGG COUNTY",092903,"LONGVIEW ISD","TRADITIONAL ISD/CSD","Early Education",29
"2019-2020",07,"GREGG COUNTY",092903,"LONGVIEW ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",560
"2019-2020",07,"GREGG COUNTY",092903,"LONGVIEW ISD","TRADITIONAL ISD/CSD","Kindergarten",569
"2019-2020",07,"GREGG COUNTY",092903,"LONGVIEW ISD","TRADITIONAL ISD/CSD","Grade 1",665
"2019-2020",07,"GREGG COUNTY",092903,"LONGVIEW ISD","TRADITIONAL ISD/CSD","Grade 2",626
"2019-2020",07,"GREGG COUNTY",092903,"LONGVIEW ISD","TRADITIONAL ISD/CSD","Grade 3",656
"2019-2020",07,"GREGG COUNTY",092903,"LONGVIEW ISD","TRADITIONAL ISD/CSD","Grade 4",668
"2019-2020",07,"GREGG COUNTY",092903,"LONGVIEW ISD","TRADITIONAL ISD/CSD","Grade 5",647
"2019-2020",07,"GREGG COUNTY",092903,"LONGVIEW ISD","TRADITIONAL ISD/CSD","Grade 6",627
"2019-2020",07,"GREGG COUNTY",092903,"LONGVIEW ISD","TRADITIONAL ISD/CSD","Grade 7",595
"2019-2020",07,"GREGG COUNTY",092903,"LONGVIEW ISD","TRADITIONAL ISD/CSD","Grade 8",618
"2019-2020",07,"GREGG COUNTY",092903,"LONGVIEW ISD","TRADITIONAL ISD/CSD","Grade 9",610
"2019-2020",07,"GREGG COUNTY",092903,"LONGVIEW ISD","TRADITIONAL ISD/CSD","Grade 10",584
"2019-2020",07,"GREGG COUNTY",092903,"LONGVIEW ISD","TRADITIONAL ISD/CSD","Grade 11",576
"2019-2020",07,"GREGG COUNTY",092903,"LONGVIEW ISD","TRADITIONAL ISD/CSD","Grade 12",545
"2019-2020",17,"GAINES COUNTY",083902,"LOOP ISD","TRADITIONAL ISD/CSD","Pre-kindergarten","<10"
"2019-2020",17,"GAINES COUNTY",083902,"LOOP ISD","TRADITIONAL ISD/CSD","Kindergarten",11
"2019-2020",17,"GAINES COUNTY",083902,"LOOP ISD","TRADITIONAL ISD/CSD","Grade 1",13
"2019-2020",17,"GAINES COUNTY",083902,"LOOP ISD","TRADITIONAL ISD/CSD","Grade 2",17
"2019-2020",17,"GAINES COUNTY",083902,"LOOP ISD","TRADITIONAL ISD/CSD","Grade 3",11
"2019-2020",17,"GAINES COUNTY",083902,"LOOP ISD","TRADITIONAL ISD/CSD","Grade 4",11
"2019-2020",17,"GAINES COUNTY",083902,"LOOP ISD","TRADITIONAL ISD/CSD","Grade 5",12
"2019-2020",17,"GAINES COUNTY",083902,"LOOP ISD","TRADITIONAL ISD/CSD","Grade 6",12
"2019-2020",17,"GAINES COUNTY",083902,"LOOP ISD","TRADITIONAL ISD/CSD","Grade 7",21
"2019-2020",17,"GAINES COUNTY",083902,"LOOP ISD","TRADITIONAL ISD/CSD","Grade 8","<10"
"2019-2020",17,"GAINES COUNTY",083902,"LOOP ISD","TRADITIONAL ISD/CSD","Grade 9",10
"2019-2020",17,"GAINES COUNTY",083902,"LOOP ISD","TRADITIONAL ISD/CSD","Grade 10","<10"
"2019-2020",17,"GAINES COUNTY",083902,"LOOP ISD","TRADITIONAL ISD/CSD","Grade 11","<10"
"2019-2020",17,"GAINES COUNTY",083902,"LOOP ISD","TRADITIONAL ISD/CSD","Grade 12","<10"
"2019-2020",14,"MITCHELL COUNTY",168902,"LORAINE ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",11
"2019-2020",14,"MITCHELL COUNTY",168902,"LORAINE ISD","TRADITIONAL ISD/CSD","Kindergarten","<10"
"2019-2020",14,"MITCHELL COUNTY",168902,"LORAINE ISD","TRADITIONAL ISD/CSD","Grade 1",14
"2019-2020",14,"MITCHELL COUNTY",168902,"LORAINE ISD","TRADITIONAL ISD/CSD","Grade 2","<10"
"2019-2020",14,"MITCHELL COUNTY",168902,"LORAINE ISD","TRADITIONAL ISD/CSD","Grade 3",12
"2019-2020",14,"MITCHELL COUNTY",168902,"LORAINE ISD","TRADITIONAL ISD/CSD","Grade 4",14
"2019-2020",14,"MITCHELL COUNTY",168902,"LORAINE ISD","TRADITIONAL ISD/CSD","Grade 5",12
"2019-2020",14,"MITCHELL COUNTY",168902,"LORAINE ISD","TRADITIONAL ISD/CSD","Grade 6",13
"2019-2020",14,"MITCHELL COUNTY",168902,"LORAINE ISD","TRADITIONAL ISD/CSD","Grade 7",10
"2019-2020",14,"MITCHELL COUNTY",168902,"LORAINE ISD","TRADITIONAL ISD/CSD","Grade 8",10
"2019-2020",14,"MITCHELL COUNTY",168902,"LORAINE ISD","TRADITIONAL ISD/CSD","Grade 9",10
"2019-2020",14,"MITCHELL COUNTY",168902,"LORAINE ISD","TRADITIONAL ISD/CSD","Grade 10",13
"2019-2020",14,"MITCHELL COUNTY",168902,"LORAINE ISD","TRADITIONAL ISD/CSD","Grade 11","<10"
"2019-2020",14,"MITCHELL COUNTY",168902,"LORAINE ISD","TRADITIONAL ISD/CSD","Grade 12",12
"2019-2020",12,"MCLENNAN COUNTY",161907,"LORENA ISD","TRADITIONAL ISD/CSD","Early Education","<10"
"2019-2020",12,"MCLENNAN COUNTY",161907,"LORENA ISD","TRADITIONAL ISD/CSD","Pre-kindergarten","<60"
"2019-2020",12,"MCLENNAN COUNTY",161907,"LORENA ISD","TRADITIONAL ISD/CSD","Kindergarten",125
"2019-2020",12,"MCLENNAN COUNTY",161907,"LORENA ISD","TRADITIONAL ISD/CSD","Grade 1",135
"2019-2020",12,"MCLENNAN COUNTY",161907,"LORENA ISD","TRADITIONAL ISD/CSD","Grade 2",116
"2019-2020",12,"MCLENNAN COUNTY",161907,"LORENA ISD","TRADITIONAL ISD/CSD","Grade 3",109
"2019-2020",12,"MCLENNAN COUNTY",161907,"LORENA ISD","TRADITIONAL ISD/CSD","Grade 4",146
"2019-2020",12,"MCLENNAN COUNTY",161907,"LORENA ISD","TRADITIONAL ISD/CSD","Grade 5",141
"2019-2020",12,"MCLENNAN COUNTY",161907,"LORENA ISD","TRADITIONAL ISD/CSD","Grade 6",139
"2019-2020",12,"MCLENNAN COUNTY",161907,"LORENA ISD","TRADITIONAL ISD/CSD","Grade 7",145
"2019-2020",12,"MCLENNAN COUNTY",161907,"LORENA ISD","TRADITIONAL ISD/CSD","Grade 8",131
"2019-2020",12,"MCLENNAN COUNTY",161907,"LORENA ISD","TRADITIONAL ISD/CSD","Grade 9",117
"2019-2020",12,"MCLENNAN COUNTY",161907,"LORENA ISD","TRADITIONAL ISD/CSD","Grade 10",132
"2019-2020",12,"MCLENNAN COUNTY",161907,"LORENA ISD","TRADITIONAL ISD/CSD","Grade 11",130
"2019-2020",12,"MCLENNAN COUNTY",161907,"LORENA ISD","TRADITIONAL ISD/CSD","Grade 12",126
"2019-2020",17,"CROSBY COUNTY",054902,"LORENZO ISD","TRADITIONAL ISD/CSD","Early Education","<10"
"2019-2020",17,"CROSBY COUNTY",054902,"LORENZO ISD","TRADITIONAL ISD/CSD","Pre-kindergarten","<20"
"2019-2020",17,"CROSBY COUNTY",054902,"LORENZO ISD","TRADITIONAL ISD/CSD","Kindergarten",18
"2019-2020",17,"CROSBY COUNTY",054902,"LORENZO ISD","TRADITIONAL ISD/CSD","Grade 1",15
"2019-2020",17,"CROSBY COUNTY",054902,"LORENZO ISD","TRADITIONAL ISD/CSD","Grade 2",15
"2019-2020",17,"CROSBY COUNTY",054902,"LORENZO ISD","TRADITIONAL ISD/CSD","Grade 3",15
"2019-2020",17,"CROSBY COUNTY",054902,"LORENZO ISD","TRADITIONAL ISD/CSD","Grade 4",19
"2019-2020",17,"CROSBY COUNTY",054902,"LORENZO ISD","TRADITIONAL ISD/CSD","Grade 5",17
"2019-2020",17,"CROSBY COUNTY",054902,"LORENZO ISD","TRADITIONAL ISD/CSD","Grade 6",22
"2019-2020",17,"CROSBY COUNTY",054902,"LORENZO ISD","TRADITIONAL ISD/CSD","Grade 7",17
"2019-2020",17,"CROSBY COUNTY",054902,"LORENZO ISD","TRADITIONAL ISD/CSD","Grade 8",14
"2019-2020",17,"CROSBY COUNTY",054902,"LORENZO ISD","TRADITIONAL ISD/CSD","Grade 9",25
"2019-2020",17,"CROSBY COUNTY",054902,"LORENZO ISD","TRADITIONAL ISD/CSD","Grade 10",19
"2019-2020",17,"CROSBY COUNTY",054902,"LORENZO ISD","TRADITIONAL ISD/CSD","Grade 11",19
"2019-2020",17,"CROSBY COUNTY",054902,"LORENZO ISD","TRADITIONAL ISD/CSD","Grade 12",14
"2019-2020",01,"CAMERON COUNTY",031906,"LOS FRESNOS CISD","TRADITIONAL ISD/CSD","Early Education",34
"2019-2020",01,"CAMERON COUNTY",031906,"LOS FRESNOS CISD","TRADITIONAL ISD/CSD","Pre-kindergarten",511
"2019-2020",01,"CAMERON COUNTY",031906,"LOS FRESNOS CISD","TRADITIONAL ISD/CSD","Kindergarten",656
"2019-2020",01,"CAMERON COUNTY",031906,"LOS FRESNOS CISD","TRADITIONAL ISD/CSD","Grade 1",699
"2019-2020",01,"CAMERON COUNTY",031906,"LOS FRESNOS CISD","TRADITIONAL ISD/CSD","Grade 2",700
"2019-2020",01,"CAMERON COUNTY",031906,"LOS FRESNOS CISD","TRADITIONAL ISD/CSD","Grade 3",735
"2019-2020",01,"CAMERON COUNTY",031906,"LOS FRESNOS CISD","TRADITIONAL ISD/CSD","Grade 4",756
"2019-2020",01,"CAMERON COUNTY",031906,"LOS FRESNOS CISD","TRADITIONAL ISD/CSD","Grade 5",803
"2019-2020",01,"CAMERON COUNTY",031906,"LOS FRESNOS CISD","TRADITIONAL ISD/CSD","Grade 6",873
"2019-2020",01,"CAMERON COUNTY",031906,"LOS FRESNOS CISD","TRADITIONAL ISD/CSD","Grade 7",813
"2019-2020",01,"CAMERON COUNTY",031906,"LOS FRESNOS CISD","TRADITIONAL ISD/CSD","Grade 8",762
"2019-2020",01,"CAMERON COUNTY",031906,"LOS FRESNOS CISD","TRADITIONAL ISD/CSD","Grade 9",836
"2019-2020",01,"CAMERON COUNTY",031906,"LOS FRESNOS CISD","TRADITIONAL ISD/CSD","Grade 10",828
"2019-2020",01,"CAMERON COUNTY",031906,"LOS FRESNOS CISD","TRADITIONAL ISD/CSD","Grade 11",796
"2019-2020",01,"CAMERON COUNTY",031906,"LOS FRESNOS CISD","TRADITIONAL ISD/CSD","Grade 12",858
"2019-2020",03,"WHARTON COUNTY",241906,"LOUISE ISD","TRADITIONAL ISD/CSD","Early Education","<10"
"2019-2020",03,"WHARTON COUNTY",241906,"LOUISE ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",34
"2019-2020",03,"WHARTON COUNTY",241906,"LOUISE ISD","TRADITIONAL ISD/CSD","Kindergarten",37
"2019-2020",03,"WHARTON COUNTY",241906,"LOUISE ISD","TRADITIONAL ISD/CSD","Grade 1",31
"2019-2020",03,"WHARTON COUNTY",241906,"LOUISE ISD","TRADITIONAL ISD/CSD","Grade 2",31
"2019-2020",03,"WHARTON COUNTY",241906,"LOUISE ISD","TRADITIONAL ISD/CSD","Grade 3",44
"2019-2020",03,"WHARTON COUNTY",241906,"LOUISE ISD","TRADITIONAL ISD/CSD","Grade 4",42
"2019-2020",03,"WHARTON COUNTY",241906,"LOUISE ISD","TRADITIONAL ISD/CSD","Grade 5","<40"
"2019-2020",03,"WHARTON COUNTY",241906,"LOUISE ISD","TRADITIONAL ISD/CSD","Grade 6",51
"2019-2020",03,"WHARTON COUNTY",241906,"LOUISE ISD","TRADITIONAL ISD/CSD","Grade 7",38
"2019-2020",03,"WHARTON COUNTY",241906,"LOUISE ISD","TRADITIONAL ISD/CSD","Grade 8",43
"2019-2020",03,"WHARTON COUNTY",241906,"LOUISE ISD","TRADITIONAL ISD/CSD","Grade 9",41
"2019-2020",03,"WHARTON COUNTY",241906,"LOUISE ISD","TRADITIONAL ISD/CSD","Grade 10",35
"2019-2020",03,"WHARTON COUNTY",241906,"LOUISE ISD","TRADITIONAL ISD/CSD","Grade 11",33
"2019-2020",03,"WHARTON COUNTY",241906,"LOUISE ISD","TRADITIONAL ISD/CSD","Grade 12",39
"2019-2020",10,"COLLIN COUNTY",043919,"LOVEJOY ISD","TRADITIONAL ISD/CSD","Early Education",22
"2019-2020",10,"COLLIN COUNTY",043919,"LOVEJOY ISD","TRADITIONAL ISD/CSD","Kindergarten",193
"2019-2020",10,"COLLIN COUNTY",043919,"LOVEJOY ISD","TRADITIONAL ISD/CSD","Grade 1",245
"2019-2020",10,"COLLIN COUNTY",043919,"LOVEJOY ISD","TRADITIONAL ISD/CSD","Grade 2",269
"2019-2020",10,"COLLIN COUNTY",043919,"LOVEJOY ISD","TRADITIONAL ISD/CSD","Grade 3",267
"2019-2020",10,"COLLIN COUNTY",043919,"LOVEJOY ISD","TRADITIONAL ISD/CSD","Grade 4",295
"2019-2020",10,"COLLIN COUNTY",043919,"LOVEJOY ISD","TRADITIONAL ISD/CSD","Grade 5",349
"2019-2020",10,"COLLIN COUNTY",043919,"LOVEJOY ISD","TRADITIONAL ISD/CSD","Grade 6",357
"2019-2020",10,"COLLIN COUNTY",043919,"LOVEJOY ISD","TRADITIONAL ISD/CSD","Grade 7",402
"2019-2020",10,"COLLIN COUNTY",043919,"LOVEJOY ISD","TRADITIONAL ISD/CSD","Grade 8",350
"2019-2020",10,"COLLIN COUNTY",043919,"LOVEJOY ISD","TRADITIONAL ISD/CSD","Grade 9",420
"2019-2020",10,"COLLIN COUNTY",043919,"LOVEJOY ISD","TRADITIONAL ISD/CSD","Grade 10",423
"2019-2020",10,"COLLIN COUNTY",043919,"LOVEJOY ISD","TRADITIONAL ISD/CSD","Grade 11",375
"2019-2020",10,"COLLIN COUNTY",043919,"LOVEJOY ISD","TRADITIONAL ISD/CSD","Grade 12",398
"2019-2020",06,"HOUSTON COUNTY",113903,"LOVELADY ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",20
"2019-2020",06,"HOUSTON COUNTY",113903,"LOVELADY ISD","TRADITIONAL ISD/CSD","Kindergarten",32
"2019-2020",06,"HOUSTON COUNTY",113903,"LOVELADY ISD","TRADITIONAL ISD/CSD","Grade 1",34
"2019-2020",06,"HOUSTON COUNTY",113903,"LOVELADY ISD","TRADITIONAL ISD/CSD","Grade 2",24
"2019-2020",06,"HOUSTON COUNTY",113903,"LOVELADY ISD","TRADITIONAL ISD/CSD","Grade 3",38
"2019-2020",06,"HOUSTON COUNTY",113903,"LOVELADY ISD","TRADITIONAL ISD/CSD","Grade 4",44
"2019-2020",06,"HOUSTON COUNTY",113903,"LOVELADY ISD","TRADITIONAL ISD/CSD","Grade 5",36
"2019-2020",06,"HOUSTON COUNTY",113903,"LOVELADY ISD","TRADITIONAL ISD/CSD","Grade 6",45
"2019-2020",06,"HOUSTON COUNTY",113903,"LOVELADY ISD","TRADITIONAL ISD/CSD","Grade 7",39
"2019-2020",06,"HOUSTON COUNTY",113903,"LOVELADY ISD","TRADITIONAL ISD/CSD","Grade 8",49
"2019-2020",06,"HOUSTON COUNTY",113903,"LOVELADY ISD","TRADITIONAL ISD/CSD","Grade 9",37
"2019-2020",06,"HOUSTON COUNTY",113903,"LOVELADY ISD","TRADITIONAL ISD/CSD","Grade 10",43
"2019-2020",06,"HOUSTON COUNTY",113903,"LOVELADY ISD","TRADITIONAL ISD/CSD","Grade 11",30
"2019-2020",06,"HOUSTON COUNTY",113903,"LOVELADY ISD","TRADITIONAL ISD/CSD","Grade 12",36
"2019-2020",17,"LUBBOCK COUNTY",152901,"LUBBOCK ISD","TRADITIONAL ISD/CSD","Early Education",116
"2019-2020",17,"LUBBOCK COUNTY",152901,"LUBBOCK ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",1358
"2019-2020",17,"LUBBOCK COUNTY",152901,"LUBBOCK ISD","TRADITIONAL ISD/CSD","Kindergarten",2130
"2019-2020",17,"LUBBOCK COUNTY",152901,"LUBBOCK ISD","TRADITIONAL ISD/CSD","Grade 1",1988
"2019-2020",17,"LUBBOCK COUNTY",152901,"LUBBOCK ISD","TRADITIONAL ISD/CSD","Grade 2",1944
"2019-2020",17,"LUBBOCK COUNTY",152901,"LUBBOCK ISD","TRADITIONAL ISD/CSD","Grade 3",2017
"2019-2020",17,"LUBBOCK COUNTY",152901,"LUBBOCK ISD","TRADITIONAL ISD/CSD","Grade 4",2084
"2019-2020",17,"LUBBOCK COUNTY",152901,"LUBBOCK ISD","TRADITIONAL ISD/CSD","Grade 5",2185
"2019-2020",17,"LUBBOCK COUNTY",152901,"LUBBOCK ISD","TRADITIONAL ISD/CSD","Grade 6",2053
"2019-2020",17,"LUBBOCK COUNTY",152901,"LUBBOCK ISD","TRADITIONAL ISD/CSD","Grade 7",2147
"2019-2020",17,"LUBBOCK COUNTY",152901,"LUBBOCK ISD","TRADITIONAL ISD/CSD","Grade 8",1946
"2019-2020",17,"LUBBOCK COUNTY",152901,"LUBBOCK ISD","TRADITIONAL ISD/CSD","Grade 9",2075
"2019-2020",17,"LUBBOCK COUNTY",152901,"LUBBOCK ISD","TRADITIONAL ISD/CSD","Grade 10",1862
"2019-2020",17,"LUBBOCK COUNTY",152901,"LUBBOCK ISD","TRADITIONAL ISD/CSD","Grade 11",1758
"2019-2020",17,"LUBBOCK COUNTY",152901,"LUBBOCK ISD","TRADITIONAL ISD/CSD","Grade 12",1685
"2019-2020",17,"LUBBOCK COUNTY",152906,"LUBBOCK-COOPER ISD","TRADITIONAL ISD/CSD","Early Education",45
"2019-2020",17,"LUBBOCK COUNTY",152906,"LUBBOCK-COOPER ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",216
"2019-2020",17,"LUBBOCK COUNTY",152906,"LUBBOCK-COOPER ISD","TRADITIONAL ISD/CSD","Kindergarten",518
"2019-2020",17,"LUBBOCK COUNTY",152906,"LUBBOCK-COOPER ISD","TRADITIONAL ISD/CSD","Grade 1",551
"2019-2020",17,"LUBBOCK COUNTY",152906,"LUBBOCK-COOPER ISD","TRADITIONAL ISD/CSD","Grade 2",505
