"Year","Region","County Name","District Name","District Number","Charter Status","Grade Level Name","Gender Name","Gender Count"
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  3","Male",72
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  4","Female",54
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  4","Male",73
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  5","Female",62
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  5","Male",47
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  6","Female",48
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  6","Male",72
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  7","Female",62
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  7","Male",58
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  8","Female",55
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  8","Male",49
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  9","Female",48
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  9","Male",62
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade 10","Female",56
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade 10","Male",69
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade 11","Female",41
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade 11","Male",67
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade 12","Female",51
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade 12","Male",59
"2017-2018",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Pre-kindergarten","Female",82
"2017-2018",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Pre-kindergarten","Male",63
"2017-2018",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Kindergarten","Female",52
"2017-2018",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Kindergarten","Male",51
"2017-2018",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Grade  1","Female",56
"2017-2018",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Grade  1","Male",54
