"Year","Region","County Name","Grade Level Name","Enrollment by Grade Level"
"2015-2016","AL","DENTON COUNTY/ALL","Grade  5",9664
"2015-2016","AL","DENTON COUNTY/ALL","Grade  6",9635
"2015-2016","AL","DENTON COUNTY/ALL","Grade  7",9655
"2015-2016","AL","DENTON COUNTY/ALL","Grade  8",9779
"2015-2016","AL","DENTON COUNTY/ALL","Grade  9",10291
"2015-2016","AL","DENTON COUNTY/ALL","Grade 10",9840
"2015-2016","AL","DENTON COUNTY/ALL","Grade 11",8878
"2015-2016","AL","DENTON COUNTY/ALL","Grade 12",8281
"2015-2016",03,"DEWITT COUNTY","Early Education",14
"2015-2016",03,"DEWITT COUNTY","Pre-kindergarten",252
"2015-2016",03,"DEWITT COUNTY","Kindergarten",322
"2015-2016",03,"DEWITT COUNTY","Grade  1",350
"2015-2016",03,"DEWITT COUNTY","Grade  2",347
"2015-2016",03,"DEWITT COUNTY","Grade  3",322
"2015-2016",03,"DEWITT COUNTY","Grade  4",336
"2015-2016",03,"DEWITT COUNTY","Grade  5",323
"2015-2016",03,"DEWITT COUNTY","Grade  6",344
"2015-2016",03,"DEWITT COUNTY","Grade  7",349
"2015-2016",03,"DEWITT COUNTY","Grade  8",344
"2015-2016",03,"DEWITT COUNTY","Grade  9",428
"2015-2016",03,"DEWITT COUNTY","Grade 10",376
"2015-2016",03,"DEWITT COUNTY","Grade 11",292
"2015-2016",03,"DEWITT COUNTY","Grade 12",254
"2015-2016",17,"DICKENS COUNTY","Pre-kindergarten",27
"2015-2016",17,"DICKENS COUNTY","Kindergarten",29
"2015-2016",17,"DICKENS COUNTY","Grade  1",25
"2015-2016",17,"DICKENS COUNTY","Grade  2",25
"2015-2016",17,"DICKENS COUNTY","Grade  3",18
"2015-2016",17,"DICKENS COUNTY","Grade  4",23
"2015-2016",17,"DICKENS COUNTY","Grade  5",28
"2015-2016",17,"DICKENS COUNTY","Grade  6",42
"2015-2016",17,"DICKENS COUNTY","Grade  7",26
"2015-2016",17,"DICKENS COUNTY","Grade  8",35
"2015-2016",17,"DICKENS COUNTY","Grade  9",31
"2015-2016",17,"DICKENS COUNTY","Grade 10",30
"2015-2016",17,"DICKENS COUNTY","Grade 11",28
"2015-2016",17,"DICKENS COUNTY","Grade 12",19
"2015-2016",20,"DIMMIT COUNTY","Early Education",-9999999
"2015-2016",20,"DIMMIT COUNTY","Pre-kindergarten",117
"2015-2016",20,"DIMMIT COUNTY","Kindergarten",145
"2015-2016",20,"DIMMIT COUNTY","Grade  1",159
"2015-2016",20,"DIMMIT COUNTY","Grade  2",204
"2015-2016",20,"DIMMIT COUNTY","Grade  3",182
"2015-2016",20,"DIMMIT COUNTY","Grade  4",184
"2015-2016",20,"DIMMIT COUNTY","Grade  5",182
"2015-2016",20,"DIMMIT COUNTY","Grade  6",173
"2015-2016",20,"DIMMIT COUNTY","Grade  7",173
"2015-2016",20,"DIMMIT COUNTY","Grade  8",156
"2015-2016",20,"DIMMIT COUNTY","Grade  9",208
"2015-2016",20,"DIMMIT COUNTY","Grade 10",163
"2015-2016",20,"DIMMIT COUNTY","Grade 11",126
"2015-2016",20,"DIMMIT COUNTY","Grade 12",138
"2015-2016",16,"DONLEY COUNTY","Early Education",5
"2015-2016",16,"DONLEY COUNTY","Pre-kindergarten",41
"2015-2016",16,"DONLEY COUNTY","Kindergarten",43
"2015-2016",16,"DONLEY COUNTY","Grade  1",54
"2015-2016",16,"DONLEY COUNTY","Grade  2",35
"2015-2016",16,"DONLEY COUNTY","Grade  3",50
"2015-2016",16,"DONLEY COUNTY","Grade  4",52
"2015-2016",16,"DONLEY COUNTY","Grade  5",43
"2015-2016",16,"DONLEY COUNTY","Grade  6",39
"2015-2016",16,"DONLEY COUNTY","Grade  7",47
"2015-2016",16,"DONLEY COUNTY","Grade  8",30
"2015-2016",16,"DONLEY COUNTY","Grade  9",52
"2015-2016",16,"DONLEY COUNTY","Grade 10",47
"2015-2016",16,"DONLEY COUNTY","Grade 11",42
"2015-2016",16,"DONLEY COUNTY","Grade 12",39
"2015-2016",02,"DUVAL COUNTY","Early Education",-9999999
"2015-2016",02,"DUVAL COUNTY","Pre-kindergarten",109
"2015-2016",02,"DUVAL COUNTY","Kindergarten",180
"2015-2016",02,"DUVAL COUNTY","Grade  1",239
"2015-2016",02,"DUVAL COUNTY","Grade  2",197
"2015-2016",02,"DUVAL COUNTY","Grade  3",190
"2015-2016",02,"DUVAL COUNTY","Grade  4",208
"2015-2016",02,"DUVAL COUNTY","Grade  5",178
"2015-2016",02,"DUVAL COUNTY","Grade  6",203
"2015-2016",02,"DUVAL COUNTY","Grade  7",190
"2015-2016",02,"DUVAL COUNTY","Grade  8",167
"2015-2016",02,"DUVAL COUNTY","Grade  9",199
"2015-2016",02,"DUVAL COUNTY","Grade 10",196
"2015-2016",02,"DUVAL COUNTY","Grade 11",175
"2015-2016",02,"DUVAL COUNTY","Grade 12",146
"2015-2016",14,"EASTLAND COUNTY","Early Education",12
"2015-2016",14,"EASTLAND COUNTY","Pre-kindergarten",133
"2015-2016",14,"EASTLAND COUNTY","Kindergarten",210
"2015-2016",14,"EASTLAND COUNTY","Grade  1",217
"2015-2016",14,"EASTLAND COUNTY","Grade  2",195
"2015-2016",14,"EASTLAND COUNTY","Grade  3",202
"2015-2016",14,"EASTLAND COUNTY","Grade  4",229
"2015-2016",14,"EASTLAND COUNTY","Grade  5",208
"2015-2016",14,"EASTLAND COUNTY","Grade  6",223
"2015-2016",14,"EASTLAND COUNTY","Grade  7",210
"2015-2016",14,"EASTLAND COUNTY","Grade  8",223
"2015-2016",14,"EASTLAND COUNTY","Grade  9",208
"2015-2016",14,"EASTLAND COUNTY","Grade 10",216
"2015-2016",14,"EASTLAND COUNTY","Grade 11",208
"2015-2016",14,"EASTLAND COUNTY","Grade 12",183
"2015-2016",18,"ECTOR COUNTY","Early Education",72
"2015-2016",18,"ECTOR COUNTY","Pre-kindergarten",1365
"2015-2016",18,"ECTOR COUNTY","Kindergarten",2551
"2015-2016",18,"ECTOR COUNTY","Grade  1",2813
"2015-2016",18,"ECTOR COUNTY","Grade  2",2754
"2015-2016",18,"ECTOR COUNTY","Grade  3",2722
"2015-2016",18,"ECTOR COUNTY","Grade  4",2561
"2015-2016",18,"ECTOR COUNTY","Grade  5",2506
"2015-2016",18,"ECTOR COUNTY","Grade  6",2476
"2015-2016",18,"ECTOR COUNTY","Grade  7",2460
"2015-2016",18,"ECTOR COUNTY","Grade  8",2377
"2015-2016",18,"ECTOR COUNTY","Grade  9",2673
"2015-2016",18,"ECTOR COUNTY","Grade 10",2114
"2015-2016",18,"ECTOR COUNTY","Grade 11",1845
"2015-2016",18,"ECTOR COUNTY","Grade 12",1498
"2015-2016",15,"EDWARDS COUNTY","Early Education",-9999999
"2015-2016",15,"EDWARDS COUNTY","Pre-kindergarten",31
"2015-2016",15,"EDWARDS COUNTY","Kindergarten",38
"2015-2016",15,"EDWARDS COUNTY","Grade  1",54
"2015-2016",15,"EDWARDS COUNTY","Grade  2",41
"2015-2016",15,"EDWARDS COUNTY","Grade  3",39
"2015-2016",15,"EDWARDS COUNTY","Grade  4",43
"2015-2016",15,"EDWARDS COUNTY","Grade  5",48
"2015-2016",15,"EDWARDS COUNTY","Grade  6",41
"2015-2016",15,"EDWARDS COUNTY","Grade  7",37
"2015-2016",15,"EDWARDS COUNTY","Grade  8",41
"2015-2016",15,"EDWARDS COUNTY","Grade  9",35
"2015-2016",15,"EDWARDS COUNTY","Grade 10",39
"2015-2016",15,"EDWARDS COUNTY","Grade 11",43
"2015-2016",15,"EDWARDS COUNTY","Grade 12",26
"2015-2016",19,"EL PASO COUNTY","Early Education",905
"2015-2016",19,"EL PASO COUNTY","Pre-kindergarten",7615
"2015-2016",19,"EL PASO COUNTY","Kindergarten",11828
"2015-2016",19,"EL PASO COUNTY","Grade  1",12969
"2015-2016",19,"EL PASO COUNTY","Grade  2",13091
"2015-2016",19,"EL PASO COUNTY","Grade  3",13199
"2015-2016",19,"EL PASO COUNTY","Grade  4",12959
"2015-2016",19,"EL PASO COUNTY","Grade  5",12834
"2015-2016",19,"EL PASO COUNTY","Grade  6",12962
"2015-2016",19,"EL PASO COUNTY","Grade  7",12967
"2015-2016",19,"EL PASO COUNTY","Grade  8",12917
"2015-2016",19,"EL PASO COUNTY","Grade  9",15423
"2015-2016",19,"EL PASO COUNTY","Grade 10",13905
"2015-2016",19,"EL PASO COUNTY","Grade 11",12854
"2015-2016",19,"EL PASO COUNTY","Grade 12",12383
"2015-2016",10,"ELLIS COUNTY","Early Education",138
"2015-2016",10,"ELLIS COUNTY","Pre-kindergarten",1183
"2015-2016",10,"ELLIS COUNTY","Kindergarten",2519
"2015-2016",10,"ELLIS COUNTY","Grade  1",2613
"2015-2016",10,"ELLIS COUNTY","Grade  2",2695
"2015-2016",10,"ELLIS COUNTY","Grade  3",2721
"2015-2016",10,"ELLIS COUNTY","Grade  4",2732
"2015-2016",10,"ELLIS COUNTY","Grade  5",2766
"2015-2016",10,"ELLIS COUNTY","Grade  6",2776
"2015-2016",10,"ELLIS COUNTY","Grade  7",2814
"2015-2016",10,"ELLIS COUNTY","Grade  8",2818
"2015-2016",10,"ELLIS COUNTY","Grade  9",2939
"2015-2016",10,"ELLIS COUNTY","Grade 10",2825
"2015-2016",10,"ELLIS COUNTY","Grade 11",2566
"2015-2016",10,"ELLIS COUNTY","Grade 12",2301
"2015-2016",11,"ERATH COUNTY","Early Education",22
"2015-2016",11,"ERATH COUNTY","Pre-kindergarten",259
"2015-2016",11,"ERATH COUNTY","Kindergarten",422
"2015-2016",11,"ERATH COUNTY","Grade  1",438
"2015-2016",11,"ERATH COUNTY","Grade  2",426
"2015-2016",11,"ERATH COUNTY","Grade  3",474
"2015-2016",11,"ERATH COUNTY","Grade  4",478
"2015-2016",11,"ERATH COUNTY","Grade  5",420
"2015-2016",11,"ERATH COUNTY","Grade  6",419
"2015-2016",11,"ERATH COUNTY","Grade  7",445
"2015-2016",11,"ERATH COUNTY","Grade  8",467
"2015-2016",11,"ERATH COUNTY","Grade  9",2374
"2015-2016",11,"ERATH COUNTY","Grade 10",2079
"2015-2016",11,"ERATH COUNTY","Grade 11",2004
"2015-2016",11,"ERATH COUNTY","Grade 12",1572
"2015-2016",12,"FALLS COUNTY","Early Education",17
"2015-2016",12,"FALLS COUNTY","Pre-kindergarten",126
"2015-2016",12,"FALLS COUNTY","Kindergarten",167
"2015-2016",12,"FALLS COUNTY","Grade  1",167
"2015-2016",12,"FALLS COUNTY","Grade  2",171
"2015-2016",12,"FALLS COUNTY","Grade  3",173
"2015-2016",12,"FALLS COUNTY","Grade  4",182
"2015-2016",12,"FALLS COUNTY","Grade  5",152
"2015-2016",12,"FALLS COUNTY","Grade  6",166
"2015-2016",12,"FALLS COUNTY","Grade  7",152
"2015-2016",12,"FALLS COUNTY","Grade  8",148
"2015-2016",12,"FALLS COUNTY","Grade  9",167
"2015-2016",12,"FALLS COUNTY","Grade 10",152
"2015-2016",12,"FALLS COUNTY","Grade 11",110
"2015-2016",12,"FALLS COUNTY","Grade 12",142
"2015-2016",10,"FANNIN COUNTY","Early Education",15
"2015-2016",10,"FANNIN COUNTY","Pre-kindergarten",338
"2015-2016",10,"FANNIN COUNTY","Kindergarten",360
"2015-2016",10,"FANNIN COUNTY","Grade  1",365
"2015-2016",10,"FANNIN COUNTY","Grade  2",391
"2015-2016",10,"FANNIN COUNTY","Grade  3",381
"2015-2016",10,"FANNIN COUNTY","Grade  4",367
"2015-2016",10,"FANNIN COUNTY","Grade  5",406
"2015-2016",10,"FANNIN COUNTY","Grade  6",375
"2015-2016",10,"FANNIN COUNTY","Grade  7",384
"2015-2016",10,"FANNIN COUNTY","Grade  8",392
"2015-2016",10,"FANNIN COUNTY","Grade  9",408
"2015-2016",10,"FANNIN COUNTY","Grade 10",380
"2015-2016",10,"FANNIN COUNTY","Grade 11",343
"2015-2016",10,"FANNIN COUNTY","Grade 12",376
"2015-2016",13,"FAYETTE COUNTY","Early Education",17
"2015-2016",13,"FAYETTE COUNTY","Pre-kindergarten",154
"2015-2016",13,"FAYETTE COUNTY","Kindergarten",254
"2015-2016",13,"FAYETTE COUNTY","Grade  1",280
"2015-2016",13,"FAYETTE COUNTY","Grade  2",268
"2015-2016",13,"FAYETTE COUNTY","Grade  3",288
"2015-2016",13,"FAYETTE COUNTY","Grade  4",271
"2015-2016",13,"FAYETTE COUNTY","Grade  5",276
"2015-2016",13,"FAYETTE COUNTY","Grade  6",261
"2015-2016",13,"FAYETTE COUNTY","Grade  7",282
"2015-2016",13,"FAYETTE COUNTY","Grade  8",303
"2015-2016",13,"FAYETTE COUNTY","Grade  9",346
"2015-2016",13,"FAYETTE COUNTY","Grade 10",286
"2015-2016",13,"FAYETTE COUNTY","Grade 11",253
"2015-2016",13,"FAYETTE COUNTY","Grade 12",285
"2015-2016",14,"FISHER COUNTY","Pre-kindergarten",58
"2015-2016",14,"FISHER COUNTY","Kindergarten",49
"2015-2016",14,"FISHER COUNTY","Grade  1",44
"2015-2016",14,"FISHER COUNTY","Grade  2",42
"2015-2016",14,"FISHER COUNTY","Grade  3",34
"2015-2016",14,"FISHER COUNTY","Grade  4",42
"2015-2016",14,"FISHER COUNTY","Grade  5",46
"2015-2016",14,"FISHER COUNTY","Grade  6",29
"2015-2016",14,"FISHER COUNTY","Grade  7",35
"2015-2016",14,"FISHER COUNTY","Grade  8",43
"2015-2016",14,"FISHER COUNTY","Grade  9",37
"2015-2016",14,"FISHER COUNTY","Grade 10",35
"2015-2016",14,"FISHER COUNTY","Grade 11",27
"2015-2016",14,"FISHER COUNTY","Grade 12",39
"2015-2016",17,"FLOYD COUNTY","Early Education",6
"2015-2016",17,"FLOYD COUNTY","Pre-kindergarten",72
"2015-2016",17,"FLOYD COUNTY","Kindergarten",89
"2015-2016",17,"FLOYD COUNTY","Grade  1",88
"2015-2016",17,"FLOYD COUNTY","Grade  2",111
"2015-2016",17,"FLOYD COUNTY","Grade  3",102
"2015-2016",17,"FLOYD COUNTY","Grade  4",92
"2015-2016",17,"FLOYD COUNTY","Grade  5",102
"2015-2016",17,"FLOYD COUNTY","Grade  6",86
"2015-2016",17,"FLOYD COUNTY","Grade  7",102
"2015-2016",17,"FLOYD COUNTY","Grade  8",66
"2015-2016",17,"FLOYD COUNTY","Grade  9",90
"2015-2016",17,"FLOYD COUNTY","Grade 10",91
"2015-2016",17,"FLOYD COUNTY","Grade 11",83
"2015-2016",17,"FLOYD COUNTY","Grade 12",83
"2015-2016",09,"FOARD COUNTY","Pre-kindergarten",20
"2015-2016",09,"FOARD COUNTY","Kindergarten",15
"2015-2016",09,"FOARD COUNTY","Grade  1",11
"2015-2016",09,"FOARD COUNTY","Grade  2",11
"2015-2016",09,"FOARD COUNTY","Grade  3",12
"2015-2016",09,"FOARD COUNTY","Grade  4",21
"2015-2016",09,"FOARD COUNTY","Grade  5",10
"2015-2016",09,"FOARD COUNTY","Grade  6",20
"2015-2016",09,"FOARD COUNTY","Grade  7",16
"2015-2016",09,"FOARD COUNTY","Grade  8",18
"2015-2016",09,"FOARD COUNTY","Grade  9",16
"2015-2016",09,"FOARD COUNTY","Grade 10",15
"2015-2016",09,"FOARD COUNTY","Grade 11",9
"2015-2016",09,"FOARD COUNTY","Grade 12",13
"2015-2016",04,"FORT BEND COUNTY","Early Education",479
"2015-2016",04,"FORT BEND COUNTY","Pre-kindergarten",2353
"2015-2016",04,"FORT BEND COUNTY","Kindergarten",7203
"2015-2016",04,"FORT BEND COUNTY","Grade  1",8056
"2015-2016",04,"FORT BEND COUNTY","Grade  2",8176
"2015-2016",04,"FORT BEND COUNTY","Grade  3",8166
"2015-2016",04,"FORT BEND COUNTY","Grade  4",8122
"2015-2016",04,"FORT BEND COUNTY","Grade  5",8119
"2015-2016",04,"FORT BEND COUNTY","Grade  6",8304
"2015-2016",04,"FORT BEND COUNTY","Grade  7",8468
"2015-2016",04,"FORT BEND COUNTY","Grade  8",8370
"2015-2016",04,"FORT BEND COUNTY","Grade  9",9455
"2015-2016",04,"FORT BEND COUNTY","Grade 10",8514
"2015-2016",04,"FORT BEND COUNTY","Grade 11",7984
"2015-2016",04,"FORT BEND COUNTY","Grade 12",7464
"2015-2016",08,"FRANKLIN COUNTY","Early Education",-9999999
"2015-2016",08,"FRANKLIN COUNTY","Pre-kindergarten",51
"2015-2016",08,"FRANKLIN COUNTY","Kindergarten",132
"2015-2016",08,"FRANKLIN COUNTY","Grade  1",125
"2015-2016",08,"FRANKLIN COUNTY","Grade  2",133
"2015-2016",08,"FRANKLIN COUNTY","Grade  3",123
"2015-2016",08,"FRANKLIN COUNTY","Grade  4",130
"2015-2016",08,"FRANKLIN COUNTY","Grade  5",141
"2015-2016",08,"FRANKLIN COUNTY","Grade  6",136
"2015-2016",08,"FRANKLIN COUNTY","Grade  7",105
"2015-2016",08,"FRANKLIN COUNTY","Grade  8",127
"2015-2016",08,"FRANKLIN COUNTY","Grade  9",138
"2015-2016",08,"FRANKLIN COUNTY","Grade 10",114
"2015-2016",08,"FRANKLIN COUNTY","Grade 11",104
"2015-2016",08,"FRANKLIN COUNTY","Grade 12",93
"2015-2016",12,"FREESTONE COUNTY","Early Education",8
"2015-2016",12,"FREESTONE COUNTY","Pre-kindergarten",147
"2015-2016",12,"FREESTONE COUNTY","Kindergarten",260
"2015-2016",12,"FREESTONE COUNTY","Grade  1",288
"2015-2016",12,"FREESTONE COUNTY","Grade  2",284
"2015-2016",12,"FREESTONE COUNTY","Grade  3",302
"2015-2016",12,"FREESTONE COUNTY","Grade  4",296
"2015-2016",12,"FREESTONE COUNTY","Grade  5",265
"2015-2016",12,"FREESTONE COUNTY","Grade  6",276
"2015-2016",12,"FREESTONE COUNTY","Grade  7",282
"2015-2016",12,"FREESTONE COUNTY","Grade  8",275
"2015-2016",12,"FREESTONE COUNTY","Grade  9",298
"2015-2016",12,"FREESTONE COUNTY","Grade 10",315
"2015-2016",12,"FREESTONE COUNTY","Grade 11",261
"2015-2016",12,"FREESTONE COUNTY","Grade 12",222
"2015-2016",20,"FRIO COUNTY","Early Education",10
"2015-2016",20,"FRIO COUNTY","Pre-kindergarten",166
"2015-2016",20,"FRIO COUNTY","Kindergarten",215
"2015-2016",20,"FRIO COUNTY","Grade  1",237
"2015-2016",20,"FRIO COUNTY","Grade  2",291
"2015-2016",20,"FRIO COUNTY","Grade  3",224
"2015-2016",20,"FRIO COUNTY","Grade  4",252
"2015-2016",20,"FRIO COUNTY","Grade  5",246
"2015-2016",20,"FRIO COUNTY","Grade  6",223
"2015-2016",20,"FRIO COUNTY","Grade  7",225
"2015-2016",20,"FRIO COUNTY","Grade  8",258
"2015-2016",20,"FRIO COUNTY","Grade  9",299
"2015-2016",20,"FRIO COUNTY","Grade 10",246
"2015-2016",20,"FRIO COUNTY","Grade 11",205
"2015-2016",20,"FRIO COUNTY","Grade 12",189
"2015-2016",17,"GAINES COUNTY","Early Education",7
"2015-2016",17,"GAINES COUNTY","Pre-kindergarten",164
"2015-2016",17,"GAINES COUNTY","Kindergarten",289
"2015-2016",17,"GAINES COUNTY","Grade  1",292
"2015-2016",17,"GAINES COUNTY","Grade  2",284
"2015-2016",17,"GAINES COUNTY","Grade  3",273
"2015-2016",17,"GAINES COUNTY","Grade  4",279
"2015-2016",17,"GAINES COUNTY","Grade  5",271
"2015-2016",17,"GAINES COUNTY","Grade  6",267
"2015-2016",17,"GAINES COUNTY","Grade  7",277
"2015-2016",17,"GAINES COUNTY","Grade  8",263
"2015-2016",17,"GAINES COUNTY","Grade  9",275
"2015-2016",17,"GAINES COUNTY","Grade 10",230
"2015-2016",17,"GAINES COUNTY","Grade 11",206
"2015-2016",17,"GAINES COUNTY","Grade 12",193
"2015-2016",04,"GALVESTON COUNTY/04","Early Education",565
"2015-2016",04,"GALVESTON COUNTY/04","Pre-kindergarten",3114
"2015-2016",04,"GALVESTON COUNTY/04","Kindergarten",5662
"2015-2016",04,"GALVESTON COUNTY/04","Grade  1",6041
"2015-2016",04,"GALVESTON COUNTY/04","Grade  2",6076
"2015-2016",04,"GALVESTON COUNTY/04","Grade  3",6157
"2015-2016",04,"GALVESTON COUNTY/04","Grade  4",6023
"2015-2016",04,"GALVESTON COUNTY/04","Grade  5",5885
"2015-2016",04,"GALVESTON COUNTY/04","Grade  6",6124
"2015-2016",04,"GALVESTON COUNTY/04","Grade  7",6220
"2015-2016",04,"GALVESTON COUNTY/04","Grade  8",6100
"2015-2016",04,"GALVESTON COUNTY/04","Grade  9",6697
"2015-2016",04,"GALVESTON COUNTY/04","Grade 10",6246
"2015-2016",04,"GALVESTON COUNTY/04","Grade 11",5906
"2015-2016",04,"GALVESTON COUNTY/04","Grade 12",5437
"2015-2016",05,"GALVESTON COUNTY/05","Early Education",-9999999
"2015-2016",05,"GALVESTON COUNTY/05","Pre-kindergarten",5
"2015-2016",05,"GALVESTON COUNTY/05","Kindergarten",6
"2015-2016",05,"GALVESTON COUNTY/05","Grade  1",-9999999
"2015-2016",05,"GALVESTON COUNTY/05","Grade  2",8
"2015-2016",05,"GALVESTON COUNTY/05","Grade  3",6
"2015-2016",05,"GALVESTON COUNTY/05","Grade  4",10
"2015-2016",05,"GALVESTON COUNTY/05","Grade  5",-9999999
"2015-2016",05,"GALVESTON COUNTY/05","Grade  6",15
"2015-2016",05,"GALVESTON COUNTY/05","Grade  7",7
"2015-2016",05,"GALVESTON COUNTY/05","Grade  8",15
"2015-2016",05,"GALVESTON COUNTY/05","Grade  9",15
"2015-2016",05,"GALVESTON COUNTY/05","Grade 10",13
"2015-2016",05,"GALVESTON COUNTY/05","Grade 11",16
"2015-2016",05,"GALVESTON COUNTY/05","Grade 12",18
"2015-2016","AL","GALVESTON COUNTY/ALL","Early Education",567
"2015-2016","AL","GALVESTON COUNTY/ALL","Pre-kindergarten",3119
"2015-2016","AL","GALVESTON COUNTY/ALL","Kindergarten",5668
"2015-2016","AL","GALVESTON COUNTY/ALL","Grade  1",6044
"2015-2016","AL","GALVESTON COUNTY/ALL","Grade  2",6084
"2015-2016","AL","GALVESTON COUNTY/ALL","Grade  3",6163
"2015-2016","AL","GALVESTON COUNTY/ALL","Grade  4",6033
"2015-2016","AL","GALVESTON COUNTY/ALL","Grade  5",5889
"2015-2016","AL","GALVESTON COUNTY/ALL","Grade  6",6139
"2015-2016","AL","GALVESTON COUNTY/ALL","Grade  7",6227
"2015-2016","AL","GALVESTON COUNTY/ALL","Grade  8",6115
"2015-2016","AL","GALVESTON COUNTY/ALL","Grade  9",6712
"2015-2016","AL","GALVESTON COUNTY/ALL","Grade 10",6259
"2015-2016","AL","GALVESTON COUNTY/ALL","Grade 11",5922
"2015-2016","AL","GALVESTON COUNTY/ALL","Grade 12",5455
"2015-2016",17,"GARZA COUNTY","Early Education",-9999999
"2015-2016",17,"GARZA COUNTY","Pre-kindergarten",51
"2015-2016",17,"GARZA COUNTY","Kindergarten",55
"2015-2016",17,"GARZA COUNTY","Grade  1",89
"2015-2016",17,"GARZA COUNTY","Grade  2",83
"2015-2016",17,"GARZA COUNTY","Grade  3",88
"2015-2016",17,"GARZA COUNTY","Grade  4",65
"2015-2016",17,"GARZA COUNTY","Grade  5",58
"2015-2016",17,"GARZA COUNTY","Grade  6",69
"2015-2016",17,"GARZA COUNTY","Grade  7",90
"2015-2016",17,"GARZA COUNTY","Grade  8",65
"2015-2016",17,"GARZA COUNTY","Grade  9",103
"2015-2016",17,"GARZA COUNTY","Grade 10",95
"2015-2016",17,"GARZA COUNTY","Grade 11",74
"2015-2016",17,"GARZA COUNTY","Grade 12",66
"2015-2016",13,"GILLESPIE COUNTY","Early Education",15
"2015-2016",13,"GILLESPIE COUNTY","Pre-kindergarten",143
"2015-2016",13,"GILLESPIE COUNTY","Kindergarten",256
"2015-2016",13,"GILLESPIE COUNTY","Grade  1",273
"2015-2016",13,"GILLESPIE COUNTY","Grade  2",274
"2015-2016",13,"GILLESPIE COUNTY","Grade  3",276
"2015-2016",13,"GILLESPIE COUNTY","Grade  4",250
"2015-2016",13,"GILLESPIE COUNTY","Grade  5",280
"2015-2016",13,"GILLESPIE COUNTY","Grade  6",273
"2015-2016",13,"GILLESPIE COUNTY","Grade  7",283
"2015-2016",13,"GILLESPIE COUNTY","Grade  8",253
"2015-2016",13,"GILLESPIE COUNTY","Grade  9",321
"2015-2016",13,"GILLESPIE COUNTY","Grade 10",300
"2015-2016",13,"GILLESPIE COUNTY","Grade 11",283
"2015-2016",13,"GILLESPIE COUNTY","Grade 12",290
"2015-2016",18,"GLASSCOCK COUNTY","Pre-kindergarten",11
"2015-2016",18,"GLASSCOCK COUNTY","Kindergarten",18
"2015-2016",18,"GLASSCOCK COUNTY","Grade  1",27
"2015-2016",18,"GLASSCOCK COUNTY","Grade  2",25
"2015-2016",18,"GLASSCOCK COUNTY","Grade  3",20
"2015-2016",18,"GLASSCOCK COUNTY","Grade  4",25
"2015-2016",18,"GLASSCOCK COUNTY","Grade  5",31
"2015-2016",18,"GLASSCOCK COUNTY","Grade  6",10
"2015-2016",18,"GLASSCOCK COUNTY","Grade  7",24
"2015-2016",18,"GLASSCOCK COUNTY","Grade  8",26
"2015-2016",18,"GLASSCOCK COUNTY","Grade  9",22
"2015-2016",18,"GLASSCOCK COUNTY","Grade 10",26
"2015-2016",18,"GLASSCOCK COUNTY","Grade 11",20
"2015-2016",18,"GLASSCOCK COUNTY","Grade 12",27
"2015-2016",03,"GOLIAD COUNTY","Early Education",25
"2015-2016",03,"GOLIAD COUNTY","Pre-kindergarten",38
"2015-2016",03,"GOLIAD COUNTY","Kindergarten",88
"2015-2016",03,"GOLIAD COUNTY","Grade  1",107
"2015-2016",03,"GOLIAD COUNTY","Grade  2",100
"2015-2016",03,"GOLIAD COUNTY","Grade  3",115
"2015-2016",03,"GOLIAD COUNTY","Grade  4",87
"2015-2016",03,"GOLIAD COUNTY","Grade  5",89
"2015-2016",03,"GOLIAD COUNTY","Grade  6",101
"2015-2016",03,"GOLIAD COUNTY","Grade  7",111
"2015-2016",03,"GOLIAD COUNTY","Grade  8",100
"2015-2016",03,"GOLIAD COUNTY","Grade  9",116
"2015-2016",03,"GOLIAD COUNTY","Grade 10",91
"2015-2016",03,"GOLIAD COUNTY","Grade 11",107
"2015-2016",03,"GOLIAD COUNTY","Grade 12",93
"2015-2016",13,"GONZALES COUNTY","Early Education",10
"2015-2016",13,"GONZALES COUNTY","Pre-kindergarten",270
"2015-2016",13,"GONZALES COUNTY","Kindergarten",305
"2015-2016",13,"GONZALES COUNTY","Grade  1",317
"2015-2016",13,"GONZALES COUNTY","Grade  2",313
"2015-2016",13,"GONZALES COUNTY","Grade  3",311
"2015-2016",13,"GONZALES COUNTY","Grade  4",351
"2015-2016",13,"GONZALES COUNTY","Grade  5",330
"2015-2016",13,"GONZALES COUNTY","Grade  6",336
"2015-2016",13,"GONZALES COUNTY","Grade  7",322
"2015-2016",13,"GONZALES COUNTY","Grade  8",305
"2015-2016",13,"GONZALES COUNTY","Grade  9",315
"2015-2016",13,"GONZALES COUNTY","Grade 10",289
"2015-2016",13,"GONZALES COUNTY","Grade 11",283
"2015-2016",13,"GONZALES COUNTY","Grade 12",202
"2015-2016",16,"GRAY COUNTY","Early Education",9
"2015-2016",16,"GRAY COUNTY","Pre-kindergarten",234
"2015-2016",16,"GRAY COUNTY","Kindergarten",299
"2015-2016",16,"GRAY COUNTY","Grade  1",341
"2015-2016",16,"GRAY COUNTY","Grade  2",352
"2015-2016",16,"GRAY COUNTY","Grade  3",318
"2015-2016",16,"GRAY COUNTY","Grade  4",313
"2015-2016",16,"GRAY COUNTY","Grade  5",314
"2015-2016",16,"GRAY COUNTY","Grade  6",290
