"Year","Region","Grade Level","Grade Level Name","Enrollment by Grade Level"
"2017-2018",07,03,"Kindergarten",12041
"2017-2018",07,04,"Grade  1",12566
"2017-2018",07,05,"Grade  2",12549
"2017-2018",07,06,"Grade  3",12677
"2017-2018",07,07,"Grade  4",12843
"2017-2018",07,08,"Grade  5",13188
"2017-2018",07,09,"Grade  6",12639
"2017-2018",07,10,"Grade  7",12802
"2017-2018",07,11,"Grade  8",12482
"2017-2018",07,12,"Grade  9",12989
"2017-2018",07,13,"Grade 10",12330
"2017-2018",07,14,"Grade 11",11647
"2017-2018",07,15,"Grade 12",10767
"2017-2018",08,01,"Early Education",245
"2017-2018",08,02,"Pre-kindergarten",3360
"2017-2018",08,03,"Kindergarten",4089
"2017-2018",08,04,"Grade  1",4089
"2017-2018",08,05,"Grade  2",4029
"2017-2018",08,06,"Grade  3",4112
"2017-2018",08,07,"Grade  4",4232
"2017-2018",08,08,"Grade  5",4238
"2017-2018",08,09,"Grade  6",4090
"2017-2018",08,10,"Grade  7",4108
"2017-2018",08,11,"Grade  8",4080
"2017-2018",08,12,"Grade  9",4154
"2017-2018",08,13,"Grade 10",3950
"2017-2018",08,14,"Grade 11",3786
"2017-2018",08,15,"Grade 12",3597
"2017-2018",09,01,"Early Education",169
"2017-2018",09,02,"Pre-kindergarten",2019
"2017-2018",09,03,"Kindergarten",2744
"2017-2018",09,04,"Grade  1",2693
"2017-2018",09,05,"Grade  2",2722
"2017-2018",09,06,"Grade  3",2875
"2017-2018",09,07,"Grade  4",2890
"2017-2018",09,08,"Grade  5",2842
"2017-2018",09,09,"Grade  6",2763
"2017-2018",09,10,"Grade  7",2720
"2017-2018",09,11,"Grade  8",2701
"2017-2018",09,12,"Grade  9",2697
"2017-2018",09,13,"Grade 10",2714
"2017-2018",09,14,"Grade 11",2563
"2017-2018",09,15,"Grade 12",2457
"2017-2018",10,01,"Early Education",4114
"2017-2018",10,02,"Pre-kindergarten",33570
"2017-2018",10,03,"Kindergarten",60171
"2017-2018",10,04,"Grade  1",62153
"2017-2018",10,05,"Grade  2",63610
"2017-2018",10,06,"Grade  3",66272
"2017-2018",10,07,"Grade  4",67603
"2017-2018",10,08,"Grade  5",67691
"2017-2018",10,09,"Grade  6",65667
"2017-2018",10,10,"Grade  7",65201
"2017-2018",10,11,"Grade  8",63719
"2017-2018",10,12,"Grade  9",68797
"2017-2018",10,13,"Grade 10",64022
"2017-2018",10,14,"Grade 11",60070
"2017-2018",10,15,"Grade 12",54634
"2017-2018",11,01,"Early Education",2674
"2017-2018",11,02,"Pre-kindergarten",20661
"2017-2018",11,03,"Kindergarten",40073
"2017-2018",11,04,"Grade  1",41155
"2017-2018",11,05,"Grade  2",42107
"2017-2018",11,06,"Grade  3",44002
"2017-2018",11,07,"Grade  4",45086
"2017-2018",11,08,"Grade  5",45059
"2017-2018",11,09,"Grade  6",44319
"2017-2018",11,10,"Grade  7",44198
"2017-2018",11,11,"Grade  8",44078
"2017-2018",11,12,"Grade  9",49545
"2017-2018",11,13,"Grade 10",45548
"2017-2018",11,14,"Grade 11",42934
"2017-2018",11,15,"Grade 12",39647
"2017-2018",12,01,"Early Education",540
"2017-2018",12,02,"Pre-kindergarten",8787
"2017-2018",12,03,"Kindergarten",12541
"2017-2018",12,04,"Grade  1",13177
"2017-2018",12,05,"Grade  2",13082
"2017-2018",12,06,"Grade  3",13378
"2017-2018",12,07,"Grade  4",13302
"2017-2018",12,08,"Grade  5",13574
"2017-2018",12,09,"Grade  6",13036
"2017-2018",12,10,"Grade  7",12913
"2017-2018",12,11,"Grade  8",12553
"2017-2018",12,12,"Grade  9",13714
"2017-2018",12,13,"Grade 10",12097
"2017-2018",12,14,"Grade 11",11351
"2017-2018",12,15,"Grade 12",10521
"2017-2018",13,01,"Early Education",2146
"2017-2018",13,02,"Pre-kindergarten",14120
"2017-2018",13,03,"Kindergarten",27370
"2017-2018",13,04,"Grade  1",28643
"2017-2018",13,05,"Grade  2",28783
"2017-2018",13,06,"Grade  3",29841
"2017-2018",13,07,"Grade  4",30558
"2017-2018",13,08,"Grade  5",30610
"2017-2018",13,09,"Grade  6",29799
"2017-2018",13,10,"Grade  7",29417
"2017-2018",13,11,"Grade  8",29458
"2017-2018",13,12,"Grade  9",31600
"2017-2018",13,13,"Grade 10",29214
"2017-2018",13,14,"Grade 11",26623
"2017-2018",13,15,"Grade 12",25135
"2017-2018",14,01,"Early Education",427
"2017-2018",14,02,"Pre-kindergarten",2347
"2017-2018",14,03,"Kindergarten",4459
"2017-2018",14,04,"Grade  1",4508
"2017-2018",14,05,"Grade  2",4521
"2017-2018",14,06,"Grade  3",4536
"2017-2018",14,07,"Grade  4",4686
"2017-2018",14,08,"Grade  5",4719
"2017-2018",14,09,"Grade  6",4924
"2017-2018",14,10,"Grade  7",5028
"2017-2018",14,11,"Grade  8",4834
"2017-2018",14,12,"Grade  9",4056
"2017-2018",14,13,"Grade 10",3517
"2017-2018",14,14,"Grade 11",3249
"2017-2018",14,15,"Grade 12",3032
"2017-2018",15,01,"Early Education",685
"2017-2018",15,02,"Pre-kindergarten",1845
"2017-2018",15,03,"Kindergarten",3515
"2017-2018",15,04,"Grade  1",3654
"2017-2018",15,05,"Grade  2",3750
"2017-2018",15,06,"Grade  3",3924
"2017-2018",15,07,"Grade  4",4051
"2017-2018",15,08,"Grade  5",3865
"2017-2018",15,09,"Grade  6",3740
"2017-2018",15,10,"Grade  7",3726
"2017-2018",15,11,"Grade  8",3769
"2017-2018",15,12,"Grade  9",3728
"2017-2018",15,13,"Grade 10",3529
"2017-2018",15,14,"Grade 11",3437
"2017-2018",15,15,"Grade 12",3189
"2017-2018",16,01,"Early Education",353
"2017-2018",16,02,"Pre-kindergarten",4341
"2017-2018",16,03,"Kindergarten",6128
"2017-2018",16,04,"Grade  1",6302
"2017-2018",16,05,"Grade  2",6266
"2017-2018",16,06,"Grade  3",6609
"2017-2018",16,07,"Grade  4",6567
"2017-2018",16,08,"Grade  5",6630
"2017-2018",16,09,"Grade  6",6236
"2017-2018",16,10,"Grade  7",6396
"2017-2018",16,11,"Grade  8",6324
"2017-2018",16,12,"Grade  9",6429
"2017-2018",16,13,"Grade 10",6048
"2017-2018",16,14,"Grade 11",5650
"2017-2018",16,15,"Grade 12",5183
"2017-2018",17,01,"Early Education",399
"2017-2018",17,02,"Pre-kindergarten",3998
"2017-2018",17,03,"Kindergarten",6052
"2017-2018",17,04,"Grade  1",6190
"2017-2018",17,05,"Grade  2",6554
"2017-2018",17,06,"Grade  3",6661
"2017-2018",17,07,"Grade  4",6596
"2017-2018",17,08,"Grade  5",6839
"2017-2018",17,09,"Grade  6",6069
"2017-2018",17,10,"Grade  7",6156
"2017-2018",17,11,"Grade  8",6047
"2017-2018",17,12,"Grade  9",6293
"2017-2018",17,13,"Grade 10",5764
"2017-2018",17,14,"Grade 11",5555
"2017-2018",17,15,"Grade 12",5189
"2017-2018",18,01,"Early Education",274
"2017-2018",18,02,"Pre-kindergarten",3437
"2017-2018",18,03,"Kindergarten",7227
"2017-2018",18,04,"Grade  1",7034
"2017-2018",18,05,"Grade  2",7056
"2017-2018",18,06,"Grade  3",7437
"2017-2018",18,07,"Grade  4",7383
"2017-2018",18,08,"Grade  5",7351
"2017-2018",18,09,"Grade  6",6672
"2017-2018",18,10,"Grade  7",6808
"2017-2018",18,11,"Grade  8",6572
"2017-2018",18,12,"Grade  9",7302
"2017-2018",18,13,"Grade 10",6169
"2017-2018",18,14,"Grade 11",5653
"2017-2018",18,15,"Grade 12",4682
"2017-2018",19,01,"Early Education",695
"2017-2018",19,02,"Pre-kindergarten",8388
"2017-2018",19,03,"Kindergarten",11566
"2017-2018",19,04,"Grade  1",11991
"2017-2018",19,05,"Grade  2",12176
"2017-2018",19,06,"Grade  3",12613
"2017-2018",19,07,"Grade  4",12988
"2017-2018",19,08,"Grade  5",13179
"2017-2018",19,09,"Grade  6",13076
"2017-2018",19,10,"Grade  7",13104
"2017-2018",19,11,"Grade  8",13362
"2017-2018",19,12,"Grade  9",14918
"2017-2018",19,13,"Grade 10",13999
"2017-2018",19,14,"Grade 11",13388
"2017-2018",19,15,"Grade 12",12742
"2017-2018",20,01,"Early Education",2291
"2017-2018",20,02,"Pre-kindergarten",20268
"2017-2018",20,03,"Kindergarten",32085
"2017-2018",20,04,"Grade  1",33443
"2017-2018",20,05,"Grade  2",34221
"2017-2018",20,06,"Grade  3",35801
"2017-2018",20,07,"Grade  4",36666
"2017-2018",20,08,"Grade  5",36909
"2017-2018",20,09,"Grade  6",35136
"2017-2018",20,10,"Grade  7",35460
"2017-2018",20,11,"Grade  8",35708
"2017-2018",20,12,"Grade  9",38616
"2017-2018",20,13,"Grade 10",35564
"2017-2018",20,14,"Grade 11",33259
"2017-2018",20,15,"Grade 12",30500

STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH ""-9999999"" IN COMPLIANCE WITH FERPA.

