"Year","Region","Grade Level","Grade Level Name","Enrollment by Grade Level"
"2016-2017",12,11,"Grade  8",12707
"2016-2017",12,12,"Grade  9",13448
"2016-2017",12,13,"Grade 10",12214
"2016-2017",12,14,"Grade 11",10956
"2016-2017",12,15,"Grade 12",9997
"2016-2017",13,01,"Early Education",1989
"2016-2017",13,02,"Pre-kindergarten",13620
"2016-2017",13,03,"Kindergarten",27591
"2016-2017",13,04,"Grade  1",28476
"2016-2017",13,05,"Grade  2",29439
"2016-2017",13,06,"Grade  3",30190
"2016-2017",13,07,"Grade  4",30154
"2016-2017",13,08,"Grade  5",29682
"2016-2017",13,09,"Grade  6",29015
"2016-2017",13,10,"Grade  7",29171
"2016-2017",13,11,"Grade  8",28767
"2016-2017",13,12,"Grade  9",31154
"2016-2017",13,13,"Grade 10",28464
"2016-2017",13,14,"Grade 11",25965
"2016-2017",13,15,"Grade 12",24214
"2016-2017",14,01,"Early Education",425
"2016-2017",14,02,"Pre-kindergarten",2426
"2016-2017",14,03,"Kindergarten",4481
"2016-2017",14,04,"Grade  1",4705
"2016-2017",14,05,"Grade  2",4639
"2016-2017",14,06,"Grade  3",4971
"2016-2017",14,07,"Grade  4",4963
"2016-2017",14,08,"Grade  5",4957
"2016-2017",14,09,"Grade  6",5052
"2016-2017",14,10,"Grade  7",4966
"2016-2017",14,11,"Grade  8",4917
"2016-2017",14,12,"Grade  9",3912
"2016-2017",14,13,"Grade 10",3498
"2016-2017",14,14,"Grade 11",3310
"2016-2017",14,15,"Grade 12",2984
"2016-2017",15,01,"Early Education",641
"2016-2017",15,02,"Pre-kindergarten",1785
"2016-2017",15,03,"Kindergarten",3578
"2016-2017",15,04,"Grade  1",3781
"2016-2017",15,05,"Grade  2",3910
"2016-2017",15,06,"Grade  3",4035
"2016-2017",15,07,"Grade  4",3817
"2016-2017",15,08,"Grade  5",3742
"2016-2017",15,09,"Grade  6",3753
"2016-2017",15,10,"Grade  7",3703
"2016-2017",15,11,"Grade  8",3663
"2016-2017",15,12,"Grade  9",3638
"2016-2017",15,13,"Grade 10",3659
"2016-2017",15,14,"Grade 11",3355
"2016-2017",15,15,"Grade 12",3236
"2016-2017",16,01,"Early Education",391
"2016-2017",16,02,"Pre-kindergarten",4308
"2016-2017",16,03,"Kindergarten",6219
"2016-2017",16,04,"Grade  1",6401
"2016-2017",16,05,"Grade  2",6654
"2016-2017",16,06,"Grade  3",6661
"2016-2017",16,07,"Grade  4",6650
"2016-2017",16,08,"Grade  5",6341
"2016-2017",16,09,"Grade  6",6458
"2016-2017",16,10,"Grade  7",6367
"2016-2017",16,11,"Grade  8",6253
"2016-2017",16,12,"Grade  9",6567
"2016-2017",16,13,"Grade 10",6054
"2016-2017",16,14,"Grade 11",5580
"2016-2017",16,15,"Grade 12",5489
"2016-2017",17,01,"Early Education",434
"2016-2017",17,02,"Pre-kindergarten",3900
"2016-2017",17,03,"Kindergarten",6128
"2016-2017",17,04,"Grade  1",6702
"2016-2017",17,05,"Grade  2",6771
"2016-2017",17,06,"Grade  3",6679
"2016-2017",17,07,"Grade  4",6905
"2016-2017",17,08,"Grade  5",6119
"2016-2017",17,09,"Grade  6",6201
"2016-2017",17,10,"Grade  7",6114
"2016-2017",17,11,"Grade  8",6150
"2016-2017",17,12,"Grade  9",6144
"2016-2017",17,13,"Grade 10",5967
"2016-2017",17,14,"Grade 11",5411
"2016-2017",17,15,"Grade 12",5081
"2016-2017",18,01,"Early Education",263
"2016-2017",18,02,"Pre-kindergarten",3407
"2016-2017",18,03,"Kindergarten",6672
"2016-2017",18,04,"Grade  1",6974
"2016-2017",18,05,"Grade  2",7304
"2016-2017",18,06,"Grade  3",7232
"2016-2017",18,07,"Grade  4",7123
"2016-2017",18,08,"Grade  5",6634
"2016-2017",18,09,"Grade  6",6690
"2016-2017",18,10,"Grade  7",6569
"2016-2017",18,11,"Grade  8",6442
"2016-2017",18,12,"Grade  9",6982
"2016-2017",18,13,"Grade 10",6175
"2016-2017",18,14,"Grade 11",5222
"2016-2017",18,15,"Grade 12",4711
"2016-2017",19,01,"Early Education",721
"2016-2017",19,02,"Pre-kindergarten",8317
"2016-2017",19,03,"Kindergarten",11540
"2016-2017",19,04,"Grade  1",12405
"2016-2017",19,05,"Grade  2",12749
"2016-2017",19,06,"Grade  3",13039
"2016-2017",19,07,"Grade  4",13186
"2016-2017",19,08,"Grade  5",13006
"2016-2017",19,09,"Grade  6",12922
"2016-2017",19,10,"Grade  7",13240
"2016-2017",19,11,"Grade  8",12979
"2016-2017",19,12,"Grade  9",15074
"2016-2017",19,13,"Grade 10",14155
"2016-2017",19,14,"Grade 11",13103
"2016-2017",19,15,"Grade 12",12574
"2016-2017",20,01,"Early Education",2135
"2016-2017",20,02,"Pre-kindergarten",19752
"2016-2017",20,03,"Kindergarten",32330
"2016-2017",20,04,"Grade  1",34575
"2016-2017",20,05,"Grade  2",35694
"2016-2017",20,06,"Grade  3",36549
"2016-2017",20,07,"Grade  4",36507
"2016-2017",20,08,"Grade  5",35810
"2016-2017",20,09,"Grade  6",35302
"2016-2017",20,10,"Grade  7",35550
"2016-2017",20,11,"Grade  8",34893
"2016-2017",20,12,"Grade  9",39209
"2016-2017",20,13,"Grade 10",35903
"2016-2017",20,14,"Grade 11",33179
"2016-2017",20,15,"Grade 12",29798

STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH ""-9999999"" IN COMPLIANCE WITH FERPA.

