year,leaid,fips,grade,race,sex,enrollment
2012,100005,1,4,99,2,178
2012,100005,1,4,99,99,355
2012,100005,1,5,1,1,90
2012,100005,1,5,1,2,92
2012,100005,1,5,1,99,182
2012,100005,1,5,2,1,1
2012,100005,1,5,2,2,2
2012,100005,1,5,2,99,3
2012,100005,1,5,3,1,52
2012,100005,1,5,3,2,62
2012,100005,1,5,3,99,114
2012,100005,1,5,4,1,0
2012,100005,1,5,4,2,1
2012,100005,1,5,4,99,1
2012,100005,1,5,5,1,1
2012,100005,1,5,5,2,0
2012,100005,1,5,5,99,1
2012,100005,1,5,6,1,0
2012,100005,1,5,6,2,0
2012,100005,1,5,6,99,0
2012,100005,1,5,7,1,4
2012,100005,1,5,7,2,4
2012,100005,1,5,7,99,8
2012,100005,1,5,99,1,148
2012,100005,1,5,99,2,161
2012,100005,1,5,99,99,309
2012,100005,1,6,1,1,86
2012,100005,1,6,1,2,94
2012,100005,1,6,1,99,180
2012,100005,1,6,2,1,3
2012,100005,1,6,2,2,6
2012,100005,1,6,2,99,9
2012,100005,1,6,3,1,59
2012,100005,1,6,3,2,60
2012,100005,1,6,3,99,119
2012,100005,1,6,4,1,1
2012,100005,1,6,4,2,1
2012,100005,1,6,4,99,2
2012,100005,1,6,5,1,0
2012,100005,1,6,5,2,0
2012,100005,1,6,5,99,0
2012,100005,1,6,6,1,0
2012,100005,1,6,6,2,0
2012,100005,1,6,6,99,0
2012,100005,1,6,7,1,3
2012,100005,1,6,7,2,2
2012,100005,1,6,7,99,5
2012,100005,1,6,99,1,152
2012,100005,1,6,99,2,163
2012,100005,1,6,99,99,315
2012,100005,1,7,1,1,88
2012,100005,1,7,1,2,102
2012,100005,1,7,1,99,190
2012,100005,1,7,2,1,0
2012,100005,1,7,2,2,2
2012,100005,1,7,2,99,2
2012,100005,1,7,3,1,59
2012,100005,1,7,3,2,53
2012,100005,1,7,3,99,112
2012,100005,1,7,4,1,2
2012,100005,1,7,4,2,0
2012,100005,1,7,4,99,2
2012,100005,1,7,5,1,0
2012,100005,1,7,5,2,0
2012,100005,1,7,5,99,0
2012,100005,1,7,6,1,0
2012,100005,1,7,6,2,0
2012,100005,1,7,6,99,0
2012,100005,1,7,7,1,1
2012,100005,1,7,7,2,4
2012,100005,1,7,7,99,5
