"YEAR","REGION","COUNTY NAME","GRADE","ENROLLMENT"
"2018-2019",20,"BANDERA COUNTY","Grade 6",187
"2018-2019",20,"BANDERA COUNTY","Grade 7",210
"2018-2019",20,"BANDERA COUNTY","Grade 8",194
"2018-2019",20,"BANDERA COUNTY","Grade 9",231
"2018-2019",20,"BANDERA COUNTY","Grade 10",156
"2018-2019",20,"BANDERA COUNTY","Grade 11",186
"2018-2019",20,"BANDERA COUNTY","Grade 12",161
"2018-2019",13,"BASTROP COUNTY","Early Education",82
"2018-2019",13,"BASTROP COUNTY","Pre-kindergarten",712
"2018-2019",13,"BASTROP COUNTY","Kindergarten",1145
"2018-2019",13,"BASTROP COUNTY","Grade 1",1134
"2018-2019",13,"BASTROP COUNTY","Grade 2",1260
"2018-2019",13,"BASTROP COUNTY","Grade 3",1207
"2018-2019",13,"BASTROP COUNTY","Grade 4",1324
"2018-2019",13,"BASTROP COUNTY","Grade 5",1355
"2018-2019",13,"BASTROP COUNTY","Grade 6",1451
"2018-2019",13,"BASTROP COUNTY","Grade 7",1415
"2018-2019",13,"BASTROP COUNTY","Grade 8",1317
"2018-2019",13,"BASTROP COUNTY","Grade 9",1490
"2018-2019",13,"BASTROP COUNTY","Grade 10",1379
"2018-2019",13,"BASTROP COUNTY","Grade 11",1282
"2018-2019",13,"BASTROP COUNTY","Grade 12",1169
"2018-2019",09,"BAYLOR COUNTY","Pre-kindergarten",16
"2018-2019",09,"BAYLOR COUNTY","Kindergarten",54
"2018-2019",09,"BAYLOR COUNTY","Grade 1",52
"2018-2019",09,"BAYLOR COUNTY","Grade 2",43
"2018-2019",09,"BAYLOR COUNTY","Grade 3",46
"2018-2019",09,"BAYLOR COUNTY","Grade 4",43
"2018-2019",09,"BAYLOR COUNTY","Grade 5",46
"2018-2019",09,"BAYLOR COUNTY","Grade 6",37
"2018-2019",09,"BAYLOR COUNTY","Grade 7",46
"2018-2019",09,"BAYLOR COUNTY","Grade 8",47
"2018-2019",09,"BAYLOR COUNTY","Grade 9",38
"2018-2019",09,"BAYLOR COUNTY","Grade 10",42
"2018-2019",09,"BAYLOR COUNTY","Grade 11",37
"2018-2019",09,"BAYLOR COUNTY","Grade 12",35
"2018-2019",02,"BEE COUNTY","Early Education",27
"2018-2019",02,"BEE COUNTY","Pre-kindergarten",374
"2018-2019",02,"BEE COUNTY","Kindergarten",379
"2018-2019",02,"BEE COUNTY","Grade 1",385
"2018-2019",02,"BEE COUNTY","Grade 2",373
"2018-2019",02,"BEE COUNTY","Grade 3",353
"2018-2019",02,"BEE COUNTY","Grade 4",388
"2018-2019",02,"BEE COUNTY","Grade 5",432
"2018-2019",02,"BEE COUNTY","Grade 6",380
"2018-2019",02,"BEE COUNTY","Grade 7",396
"2018-2019",02,"BEE COUNTY","Grade 8",406
"2018-2019",02,"BEE COUNTY","Grade 9",391
"2018-2019",02,"BEE COUNTY","Grade 10",365
"2018-2019",02,"BEE COUNTY","Grade 11",334
"2018-2019",02,"BEE COUNTY","Grade 12",349
"2018-2019",12,"BELL COUNTY","Early Education",282
"2018-2019",13,"BELL COUNTY","Early Education",-999
"2018-2019",12,"BELL COUNTY","Pre-kindergarten",4504
"2018-2019",13,"BELL COUNTY","Pre-kindergarten",23
"2018-2019",12,"BELL COUNTY","Kindergarten",5748
"2018-2019",13,"BELL COUNTY","Kindergarten",26
"2018-2019",12,"BELL COUNTY","Grade 1",5881
"2018-2019",13,"BELL COUNTY","Grade 1",26
"2018-2019",12,"BELL COUNTY","Grade 2",5663
"2018-2019",13,"BELL COUNTY","Grade 2",22
"2018-2019",12,"BELL COUNTY","Grade 3",5582
"2018-2019",13,"BELL COUNTY","Grade 3",-999
"2018-2019",12,"BELL COUNTY","Grade 4",5703
"2018-2019",13,"BELL COUNTY","Grade 4",22
"2018-2019",12,"BELL COUNTY","Grade 5",5651
"2018-2019",13,"BELL COUNTY","Grade 5",25
"2018-2019",12,"BELL COUNTY","Grade 6",5724
"2018-2019",13,"BELL COUNTY","Grade 6",35
"2018-2019",12,"BELL COUNTY","Grade 7",5415
"2018-2019",13,"BELL COUNTY","Grade 7",23
"2018-2019",12,"BELL COUNTY","Grade 8",5244
"2018-2019",13,"BELL COUNTY","Grade 8",26
"2018-2019",12,"BELL COUNTY","Grade 9",5560
"2018-2019",13,"BELL COUNTY","Grade 9",25
"2018-2019",20,"BELL COUNTY","Grade 9",379
"2018-2019",12,"BELL COUNTY","Grade 10",5000
"2018-2019",13,"BELL COUNTY","Grade 10",22
"2018-2019",20,"BELL COUNTY","Grade 10",589
"2018-2019",12,"BELL COUNTY","Grade 11",4516
"2018-2019",13,"BELL COUNTY","Grade 11",24
"2018-2019",20,"BELL COUNTY","Grade 11",528
"2018-2019",12,"BELL COUNTY","Grade 12",4315
"2018-2019",13,"BELL COUNTY","Grade 12",22
"2018-2019",20,"BELL COUNTY","Grade 12",456
"2018-2019",20,"BEXAR COUNTY","Early Education",1702
"2018-2019",20,"BEXAR COUNTY","Pre-kindergarten",16546
"2018-2019",20,"BEXAR COUNTY","Kindergarten",23596
"2018-2019",20,"BEXAR COUNTY","Grade 1",24601
"2018-2019",20,"BEXAR COUNTY","Grade 2",25005
"2018-2019",20,"BEXAR COUNTY","Grade 3",25766
"2018-2019",20,"BEXAR COUNTY","Grade 4",26895
"2018-2019",20,"BEXAR COUNTY","Grade 5",27548
"2018-2019",20,"BEXAR COUNTY","Grade 6",26897
"2018-2019",20,"BEXAR COUNTY","Grade 7",25692
"2018-2019",20,"BEXAR COUNTY","Grade 8",25973
"2018-2019",20,"BEXAR COUNTY","Grade 9",28963
"2018-2019",20,"BEXAR COUNTY","Grade 10",25502
"2018-2019",20,"BEXAR COUNTY","Grade 11",23585
"2018-2019",20,"BEXAR COUNTY","Grade 12",21691
"2018-2019",13,"BLANCO COUNTY","Early Education",-999
"2018-2019",13,"BLANCO COUNTY","Pre-kindergarten",-999
"2018-2019",13,"BLANCO COUNTY","Kindergarten",100
"2018-2019",13,"BLANCO COUNTY","Grade 1",97
"2018-2019",13,"BLANCO COUNTY","Grade 2",104
"2018-2019",13,"BLANCO COUNTY","Grade 3",106
"2018-2019",13,"BLANCO COUNTY","Grade 4",114
"2018-2019",13,"BLANCO COUNTY","Grade 5",125
"2018-2019",13,"BLANCO COUNTY","Grade 6",140
"2018-2019",13,"BLANCO COUNTY","Grade 7",138
"2018-2019",13,"BLANCO COUNTY","Grade 8",149
"2018-2019",13,"BLANCO COUNTY","Grade 9",139
"2018-2019",13,"BLANCO COUNTY","Grade 10",125
"2018-2019",13,"BLANCO COUNTY","Grade 11",141
"2018-2019",13,"BLANCO COUNTY","Grade 12",142
"2018-2019",17,"BORDEN COUNTY","Kindergarten",15
"2018-2019",17,"BORDEN COUNTY","Grade 1",9
"2018-2019",17,"BORDEN COUNTY","Grade 2",8
"2018-2019",17,"BORDEN COUNTY","Grade 3",17
"2018-2019",17,"BORDEN COUNTY","Grade 4",17
"2018-2019",17,"BORDEN COUNTY","Grade 5",17
"2018-2019",17,"BORDEN COUNTY","Grade 6",16
"2018-2019",17,"BORDEN COUNTY","Grade 7",22
"2018-2019",17,"BORDEN COUNTY","Grade 8",15
"2018-2019",17,"BORDEN COUNTY","Grade 9",14
"2018-2019",17,"BORDEN COUNTY","Grade 10",22
"2018-2019",17,"BORDEN COUNTY","Grade 11",23
"2018-2019",17,"BORDEN COUNTY","Grade 12",19
"2018-2019",12,"BOSQUE COUNTY","Early Education",16
"2018-2019",12,"BOSQUE COUNTY","Pre-kindergarten",135
"2018-2019",12,"BOSQUE COUNTY","Kindergarten",207
"2018-2019",12,"BOSQUE COUNTY","Grade 1",209
"2018-2019",12,"BOSQUE COUNTY","Grade 2",180
"2018-2019",12,"BOSQUE COUNTY","Grade 3",210
"2018-2019",12,"BOSQUE COUNTY","Grade 4",218
"2018-2019",12,"BOSQUE COUNTY","Grade 5",246
"2018-2019",12,"BOSQUE COUNTY","Grade 6",235
"2018-2019",12,"BOSQUE COUNTY","Grade 7",209
"2018-2019",12,"BOSQUE COUNTY","Grade 8",232
"2018-2019",12,"BOSQUE COUNTY","Grade 9",218
"2018-2019",12,"BOSQUE COUNTY","Grade 10",210
"2018-2019",12,"BOSQUE COUNTY","Grade 11",222
"2018-2019",12,"BOSQUE COUNTY","Grade 12",175
"2018-2019",08,"BOWIE COUNTY","Early Education",57
"2018-2019",08,"BOWIE COUNTY","Pre-kindergarten",1215
"2018-2019",08,"BOWIE COUNTY","Kindergarten",1322
"2018-2019",08,"BOWIE COUNTY","Grade 1",1358
"2018-2019",08,"BOWIE COUNTY","Grade 2",1297
"2018-2019",08,"BOWIE COUNTY","Grade 3",1255
"2018-2019",08,"BOWIE COUNTY","Grade 4",1318
"2018-2019",08,"BOWIE COUNTY","Grade 5",1277
"2018-2019",08,"BOWIE COUNTY","Grade 6",1363
"2018-2019",08,"BOWIE COUNTY","Grade 7",1277
"2018-2019",08,"BOWIE COUNTY","Grade 8",1277
"2018-2019",08,"BOWIE COUNTY","Grade 9",1328
"2018-2019",08,"BOWIE COUNTY","Grade 10",1199
"2018-2019",08,"BOWIE COUNTY","Grade 11",1167
"2018-2019",08,"BOWIE COUNTY","Grade 12",1141
"2018-2019",04,"BRAZORIA COUNTY","Early Education",397
"2018-2019",04,"BRAZORIA COUNTY","Pre-kindergarten",1877
"2018-2019",04,"BRAZORIA COUNTY","Kindergarten",4929
"2018-2019",04,"BRAZORIA COUNTY","Grade 1",5227
"2018-2019",04,"BRAZORIA COUNTY","Grade 2",5240
"2018-2019",04,"BRAZORIA COUNTY","Grade 3",5527
"2018-2019",04,"BRAZORIA COUNTY","Grade 4",5596
"2018-2019",04,"BRAZORIA COUNTY","Grade 5",5739
"2018-2019",04,"BRAZORIA COUNTY","Grade 6",5593
"2018-2019",04,"BRAZORIA COUNTY","Grade 7",5603
"2018-2019",04,"BRAZORIA COUNTY","Grade 8",5432
"2018-2019",04,"BRAZORIA COUNTY","Grade 9",5832
"2018-2019",04,"BRAZORIA COUNTY","Grade 10",5597
"2018-2019",04,"BRAZORIA COUNTY","Grade 11",5364
"2018-2019",04,"BRAZORIA COUNTY","Grade 12",4754
"2018-2019",06,"BRAZOS COUNTY","Early Education",209
"2018-2019",06,"BRAZOS COUNTY","Pre-kindergarten",1078
"2018-2019",06,"BRAZOS COUNTY","Kindergarten",2305
"2018-2019",06,"BRAZOS COUNTY","Grade 1",2342
"2018-2019",06,"BRAZOS COUNTY","Grade 2",2283
"2018-2019",06,"BRAZOS COUNTY","Grade 3",2371
"2018-2019",06,"BRAZOS COUNTY","Grade 4",2420
"2018-2019",06,"BRAZOS COUNTY","Grade 5",2456
"2018-2019",06,"BRAZOS COUNTY","Grade 6",2291
"2018-2019",06,"BRAZOS COUNTY","Grade 7",2172
"2018-2019",06,"BRAZOS COUNTY","Grade 8",2153
"2018-2019",06,"BRAZOS COUNTY","Grade 9",2453
"2018-2019",06,"BRAZOS COUNTY","Grade 10",2170
"2018-2019",06,"BRAZOS COUNTY","Grade 11",2021
"2018-2019",06,"BRAZOS COUNTY","Grade 12",1871
"2018-2019",18,"BREWSTER COUNTY","Early Education",-999
"2018-2019",18,"BREWSTER COUNTY","Pre-kindergarten",-999
"2018-2019",18,"BREWSTER COUNTY","Kindergarten",69
"2018-2019",18,"BREWSTER COUNTY","Grade 1",89
"2018-2019",18,"BREWSTER COUNTY","Grade 2",74
"2018-2019",18,"BREWSTER COUNTY","Grade 3",91
"2018-2019",18,"BREWSTER COUNTY","Grade 4",79
"2018-2019",18,"BREWSTER COUNTY","Grade 5",88
"2018-2019",18,"BREWSTER COUNTY","Grade 6",92
"2018-2019",18,"BREWSTER COUNTY","Grade 7",108
"2018-2019",18,"BREWSTER COUNTY","Grade 8",79
"2018-2019",18,"BREWSTER COUNTY","Grade 9",101
"2018-2019",18,"BREWSTER COUNTY","Grade 10",84
"2018-2019",18,"BREWSTER COUNTY","Grade 11",81
"2018-2019",18,"BREWSTER COUNTY","Grade 12",87
"2018-2019",16,"BRISCOE COUNTY","Pre-kindergarten",-999
"2018-2019",16,"BRISCOE COUNTY","Kindergarten",-999
"2018-2019",16,"BRISCOE COUNTY","Grade 1",15
"2018-2019",16,"BRISCOE COUNTY","Grade 2",17
"2018-2019",16,"BRISCOE COUNTY","Grade 3",14
"2018-2019",16,"BRISCOE COUNTY","Grade 4",14
"2018-2019",16,"BRISCOE COUNTY","Grade 5",17
"2018-2019",16,"BRISCOE COUNTY","Grade 6",12
"2018-2019",16,"BRISCOE COUNTY","Grade 7",21
"2018-2019",16,"BRISCOE COUNTY","Grade 8",11
"2018-2019",16,"BRISCOE COUNTY","Grade 9",10
"2018-2019",16,"BRISCOE COUNTY","Grade 10",14
"2018-2019",16,"BRISCOE COUNTY","Grade 11",11
"2018-2019",16,"BRISCOE COUNTY","Grade 12",18
"2018-2019",02,"BROOKS COUNTY","Early Education",-999
"2018-2019",02,"BROOKS COUNTY","Pre-kindergarten",148
"2018-2019",02,"BROOKS COUNTY","Kindergarten",94
"2018-2019",02,"BROOKS COUNTY","Grade 1",131
"2018-2019",02,"BROOKS COUNTY","Grade 2",113
"2018-2019",02,"BROOKS COUNTY","Grade 3",101
"2018-2019",02,"BROOKS COUNTY","Grade 4",105
"2018-2019",02,"BROOKS COUNTY","Grade 5",126
"2018-2019",02,"BROOKS COUNTY","Grade 6",122
"2018-2019",02,"BROOKS COUNTY","Grade 7",132
"2018-2019",02,"BROOKS COUNTY","Grade 8",95
"2018-2019",02,"BROOKS COUNTY","Grade 9",121
"2018-2019",02,"BROOKS COUNTY","Grade 10",95
"2018-2019",02,"BROOKS COUNTY","Grade 11",-999
"2018-2019",02,"BROOKS COUNTY","Grade 12",94
"2018-2019",15,"BROWN COUNTY","Early Education",19
"2018-2019",15,"BROWN COUNTY","Pre-kindergarten",324
"2018-2019",15,"BROWN COUNTY","Kindergarten",446
"2018-2019",15,"BROWN COUNTY","Grade 1",466
"2018-2019",15,"BROWN COUNTY","Grade 2",449
"2018-2019",15,"BROWN COUNTY","Grade 3",472
"2018-2019",15,"BROWN COUNTY","Grade 4",480
"2018-2019",15,"BROWN COUNTY","Grade 5",506
"2018-2019",15,"BROWN COUNTY","Grade 6",499
"2018-2019",15,"BROWN COUNTY","Grade 7",473
"2018-2019",15,"BROWN COUNTY","Grade 8",490
"2018-2019",15,"BROWN COUNTY","Grade 9",535
"2018-2019",15,"BROWN COUNTY","Grade 10",469
"2018-2019",15,"BROWN COUNTY","Grade 11",458
"2018-2019",15,"BROWN COUNTY","Grade 12",479
"2018-2019",06,"BURLESON COUNTY","Early Education",-999
"2018-2019",06,"BURLESON COUNTY","Pre-kindergarten",-999
"2018-2019",06,"BURLESON COUNTY","Kindergarten",200
"2018-2019",06,"BURLESON COUNTY","Grade 1",187
"2018-2019",06,"BURLESON COUNTY","Grade 2",192
"2018-2019",06,"BURLESON COUNTY","Grade 3",200
"2018-2019",06,"BURLESON COUNTY","Grade 4",210
"2018-2019",06,"BURLESON COUNTY","Grade 5",214
"2018-2019",06,"BURLESON COUNTY","Grade 6",224
"2018-2019",06,"BURLESON COUNTY","Grade 7",191
"2018-2019",06,"BURLESON COUNTY","Grade 8",224
"2018-2019",06,"BURLESON COUNTY","Grade 9",218
"2018-2019",06,"BURLESON COUNTY","Grade 10",199
"2018-2019",06,"BURLESON COUNTY","Grade 11",176
"2018-2019",06,"BURLESON COUNTY","Grade 12",201
"2018-2019",13,"BURNET COUNTY","Early Education",35
"2018-2019",13,"BURNET COUNTY","Pre-kindergarten",371
"2018-2019",13,"BURNET COUNTY","Kindergarten",489
"2018-2019",13,"BURNET COUNTY","Grade 1",496
"2018-2019",13,"BURNET COUNTY","Grade 2",510
"2018-2019",13,"BURNET COUNTY","Grade 3",520
"2018-2019",13,"BURNET COUNTY","Grade 4",538
"2018-2019",13,"BURNET COUNTY","Grade 5",576
"2018-2019",13,"BURNET COUNTY","Grade 6",558
"2018-2019",13,"BURNET COUNTY","Grade 7",605
"2018-2019",13,"BURNET COUNTY","Grade 8",576
"2018-2019",13,"BURNET COUNTY","Grade 9",609
"2018-2019",13,"BURNET COUNTY","Grade 10",564
"2018-2019",13,"BURNET COUNTY","Grade 11",538
"2018-2019",13,"BURNET COUNTY","Grade 12",486
"2018-2019",13,"CALDWELL COUNTY","Early Education",43
"2018-2019",13,"CALDWELL COUNTY","Pre-kindergarten",396
"2018-2019",13,"CALDWELL COUNTY","Kindergarten",494
"2018-2019",13,"CALDWELL COUNTY","Grade 1",500
"2018-2019",13,"CALDWELL COUNTY","Grade 2",546
"2018-2019",13,"CALDWELL COUNTY","Grade 3",549
"2018-2019",13,"CALDWELL COUNTY","Grade 4",590
"2018-2019",13,"CALDWELL COUNTY","Grade 5",611
"2018-2019",13,"CALDWELL COUNTY","Grade 6",617
"2018-2019",13,"CALDWELL COUNTY","Grade 7",628
"2018-2019",13,"CALDWELL COUNTY","Grade 8",600
"2018-2019",13,"CALDWELL COUNTY","Grade 9",639
"2018-2019",13,"CALDWELL COUNTY","Grade 10",550
"2018-2019",13,"CALDWELL COUNTY","Grade 11",482
"2018-2019",13,"CALDWELL COUNTY","Grade 12",492
"2018-2019",03,"CALHOUN COUNTY","Early Education",14
"2018-2019",03,"CALHOUN COUNTY","Pre-kindergarten",174
"2018-2019",03,"CALHOUN COUNTY","Kindergarten",273
"2018-2019",03,"CALHOUN COUNTY","Grade 1",283
"2018-2019",03,"CALHOUN COUNTY","Grade 2",275
"2018-2019",03,"CALHOUN COUNTY","Grade 3",291
"2018-2019",03,"CALHOUN COUNTY","Grade 4",253
"2018-2019",03,"CALHOUN COUNTY","Grade 5",288
"2018-2019",03,"CALHOUN COUNTY","Grade 6",307
"2018-2019",03,"CALHOUN COUNTY","Grade 7",294
"2018-2019",03,"CALHOUN COUNTY","Grade 8",243
"2018-2019",03,"CALHOUN COUNTY","Grade 9",300
"2018-2019",03,"CALHOUN COUNTY","Grade 10",304
"2018-2019",03,"CALHOUN COUNTY","Grade 11",307
"2018-2019",03,"CALHOUN COUNTY","Grade 12",240
"2018-2019",14,"CALLAHAN COUNTY","Early Education",-999
"2018-2019",14,"CALLAHAN COUNTY","Pre-kindergarten",-999
"2018-2019",14,"CALLAHAN COUNTY","Kindergarten",203
"2018-2019",14,"CALLAHAN COUNTY","Grade 1",172
"2018-2019",14,"CALLAHAN COUNTY","Grade 2",162
"2018-2019",14,"CALLAHAN COUNTY","Grade 3",193
"2018-2019",14,"CALLAHAN COUNTY","Grade 4",177
"2018-2019",14,"CALLAHAN COUNTY","Grade 5",196
"2018-2019",14,"CALLAHAN COUNTY","Grade 6",212
"2018-2019",14,"CALLAHAN COUNTY","Grade 7",193
"2018-2019",14,"CALLAHAN COUNTY","Grade 8",193
"2018-2019",14,"CALLAHAN COUNTY","Grade 9",190
"2018-2019",14,"CALLAHAN COUNTY","Grade 10",174
"2018-2019",14,"CALLAHAN COUNTY","Grade 11",177
"2018-2019",14,"CALLAHAN COUNTY","Grade 12",157
