"Year","Region","County Name","District Name","District Number","Charter Status","Grade Level Name","Enrollment by Grade Level"
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade 10",80
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade 11",73
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade 12",68
"2016-2017",04,"HARRIS COUNTY","A+ UNLIMITED POTENTIAL",101871,"OPEN ENROLLMENT CHARTER","Grade  6",46
"2016-2017",04,"HARRIS COUNTY","A+ UNLIMITED POTENTIAL",101871,"OPEN ENROLLMENT CHARTER","Grade  7",28
"2016-2017",04,"HARRIS COUNTY","A+ UNLIMITED POTENTIAL",101871,"OPEN ENROLLMENT CHARTER","Grade  8",20
"2016-2017",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Early Education",-9999999
"2016-2017",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Pre-kindergarten",17
"2016-2017",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Kindergarten",20
"2016-2017",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  1",18
"2016-2017",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  2",19
"2016-2017",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  3",12
"2016-2017",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  4",22
"2016-2017",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  5",19
"2016-2017",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  6",21
"2016-2017",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  7",26
"2016-2017",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  8",18
"2016-2017",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  9",27
"2016-2017",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade 10",25
"2016-2017",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade 11",20
"2016-2017",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade 12",19
"2016-2017",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Early Education",-9999999
"2016-2017",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Pre-kindergarten",32
"2016-2017",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Kindergarten",50
"2016-2017",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  1",59
"2016-2017",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  2",54
"2016-2017",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  3",50
"2016-2017",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  4",66
"2016-2017",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  5",62
"2016-2017",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  6",56
"2016-2017",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  7",61
"2016-2017",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  8",67
"2016-2017",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  9",69
"2016-2017",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade 10",63
"2016-2017",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade 11",42
"2016-2017",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade 12",62
"2016-2017",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Early Education",178
"2016-2017",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Pre-kindergarten",833
"2016-2017",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Kindergarten",1327
"2016-2017",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  1",1338
"2016-2017",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  2",1287
"2016-2017",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  3",1342
"2016-2017",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  4",1339
"2016-2017",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  5",1273
"2016-2017",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  6",1250
"2016-2017",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  7",1248
"2016-2017",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  8",1171
"2016-2017",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  9",1345
"2016-2017",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade 10",1109
"2016-2017",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade 11",1039
"2016-2017",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade 12",951
"2016-2017",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade  5",-9999999
"2016-2017",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade  6",28
"2016-2017",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade  7",41
"2016-2017",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade  8",63
"2016-2017",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade  9",228
"2016-2017",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade 10",83
"2016-2017",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade 11",25
"2016-2017",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade 12",-9999999
"2016-2017",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Early Education",9
"2016-2017",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Pre-kindergarten",30
"2016-2017",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Kindergarten",106
"2016-2017",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  1",125
"2016-2017",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  2",137
"2016-2017",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  3",125
"2016-2017",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  4",98
"2016-2017",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  5",109
"2016-2017",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  6",113
"2016-2017",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  7",100
"2016-2017",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  8",119
"2016-2017",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  9",128
"2016-2017",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade 10",111
"2016-2017",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade 11",105
"2016-2017",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade 12",108
"2016-2017",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Pre-kindergarten",167
"2016-2017",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Kindergarten",118
"2016-2017",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Grade  1",122
"2016-2017",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Grade  2",123
"2016-2017",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Grade  3",106
"2016-2017",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Grade  4",79
"2016-2017",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Grade  5",46
"2016-2017",10,"DALLAS COUNTY","ACADEMY OF DALLAS",057810,"OPEN ENROLLMENT CHARTER","Pre-kindergarten",166
"2016-2017",10,"DALLAS COUNTY","ACADEMY OF DALLAS",057810,"OPEN ENROLLMENT CHARTER","Kindergarten",58
"2016-2017",10,"DALLAS COUNTY","ACADEMY OF DALLAS",057810,"OPEN ENROLLMENT CHARTER","Grade  1",39
"2016-2017",10,"DALLAS COUNTY","ACADEMY OF DALLAS",057810,"OPEN ENROLLMENT CHARTER","Grade  2",21
"2016-2017",10,"DALLAS COUNTY","ACADEMY OF DALLAS",057810,"OPEN ENROLLMENT CHARTER","Grade  3",23
"2016-2017",10,"DALLAS COUNTY","ACADEMY OF DALLAS",057810,"OPEN ENROLLMENT CHARTER","Grade  4",35
"2016-2017",10,"DALLAS COUNTY","ACADEMY OF DALLAS",057810,"OPEN ENROLLMENT CHARTER","Grade  5",24
"2016-2017",10,"DALLAS COUNTY","ACADEMY OF DALLAS",057810,"OPEN ENROLLMENT CHARTER","Grade  6",38
"2016-2017",10,"DALLAS COUNTY","ACADEMY OF DALLAS",057810,"OPEN ENROLLMENT CHARTER","Grade  7",38
"2016-2017",10,"DALLAS COUNTY","ACADEMY OF DALLAS",057810,"OPEN ENROLLMENT CHARTER","Grade  8",34
"2016-2017",04,"HARRIS COUNTY","ACCELERATED INTERMEDIATE ACADEMY",101849,"OPEN ENROLLMENT CHARTER","Pre-kindergarten",33
"2016-2017",04,"HARRIS COUNTY","ACCELERATED INTERMEDIATE ACADEMY",101849,"OPEN ENROLLMENT CHARTER","Kindergarten",42
"2016-2017",04,"HARRIS COUNTY","ACCELERATED INTERMEDIATE ACADEMY",101849,"OPEN ENROLLMENT CHARTER","Grade  1",44
"2016-2017",04,"HARRIS COUNTY","ACCELERATED INTERMEDIATE ACADEMY",101849,"OPEN ENROLLMENT CHARTER","Grade  2",46
"2016-2017",04,"HARRIS COUNTY","ACCELERATED INTERMEDIATE ACADEMY",101849,"OPEN ENROLLMENT CHARTER","Grade  3",27
"2016-2017",04,"HARRIS COUNTY","ACCELERATED INTERMEDIATE ACADEMY",101849,"OPEN ENROLLMENT CHARTER","Grade  4",34
"2016-2017",04,"HARRIS COUNTY","ACCELERATED INTERMEDIATE ACADEMY",101849,"OPEN ENROLLMENT CHARTER","Grade  5",30
"2016-2017",04,"HARRIS COUNTY","ACCELERATED INTERMEDIATE ACADEMY",101849,"OPEN ENROLLMENT CHARTER","Grade  6",18
"2016-2017",04,"HARRIS COUNTY","ACCELERATED INTERMEDIATE ACADEMY",101849,"OPEN ENROLLMENT CHARTER","Grade  7",9
"2016-2017",16,"OLDHAM COUNTY","ADRIAN ISD",180903,"TRADITIONAL ISD/CSD","Pre-kindergarten",-9999999
"2016-2017",16,"OLDHAM COUNTY","ADRIAN ISD",180903,"TRADITIONAL ISD/CSD","Kindergarten",5
"2016-2017",16,"OLDHAM COUNTY","ADRIAN ISD",180903,"TRADITIONAL ISD/CSD","Grade  1",6
"2016-2017",16,"OLDHAM COUNTY","ADRIAN ISD",180903,"TRADITIONAL ISD/CSD","Grade  2",8
"2016-2017",16,"OLDHAM COUNTY","ADRIAN ISD",180903,"TRADITIONAL ISD/CSD","Grade  3",8
"2016-2017",16,"OLDHAM COUNTY","ADRIAN ISD",180903,"TRADITIONAL ISD/CSD","Grade  4",7
"2016-2017",16,"OLDHAM COUNTY","ADRIAN ISD",180903,"TRADITIONAL ISD/CSD","Grade  5",7
"2016-2017",16,"OLDHAM COUNTY","ADRIAN ISD",180903,"TRADITIONAL ISD/CSD","Grade  6",15
"2016-2017",16,"OLDHAM COUNTY","ADRIAN ISD",180903,"TRADITIONAL ISD/CSD","Grade  7",14
"2016-2017",16,"OLDHAM COUNTY","ADRIAN ISD",180903,"TRADITIONAL ISD/CSD","Grade  8",17
"2016-2017",16,"OLDHAM COUNTY","ADRIAN ISD",180903,"TRADITIONAL ISD/CSD","Grade  9",17
"2016-2017",16,"OLDHAM COUNTY","ADRIAN ISD",180903,"TRADITIONAL ISD/CSD","Grade 10",11
"2016-2017",16,"OLDHAM COUNTY","ADRIAN ISD",180903,"TRADITIONAL ISD/CSD","Grade 11",16
"2016-2017",16,"OLDHAM COUNTY","ADRIAN ISD",180903,"TRADITIONAL ISD/CSD","Grade 12",5
"2016-2017",10,"DALLAS COUNTY","ADVANTAGE ACADEMY",057806,"OPEN ENROLLMENT CHARTER","Pre-kindergarten",121
"2016-2017",10,"DALLAS COUNTY","ADVANTAGE ACADEMY",057806,"OPEN ENROLLMENT CHARTER","Kindergarten",144
"2016-2017",10,"DALLAS COUNTY","ADVANTAGE ACADEMY",057806,"OPEN ENROLLMENT CHARTER","Grade  1",157
"2016-2017",10,"DALLAS COUNTY","ADVANTAGE ACADEMY",057806,"OPEN ENROLLMENT CHARTER","Grade  2",153
"2016-2017",10,"DALLAS COUNTY","ADVANTAGE ACADEMY",057806,"OPEN ENROLLMENT CHARTER","Grade  3",161
"2016-2017",10,"DALLAS COUNTY","ADVANTAGE ACADEMY",057806,"OPEN ENROLLMENT CHARTER","Grade  4",194
"2016-2017",10,"DALLAS COUNTY","ADVANTAGE ACADEMY",057806,"OPEN ENROLLMENT CHARTER","Grade  5",123
"2016-2017",10,"DALLAS COUNTY","ADVANTAGE ACADEMY",057806,"OPEN ENROLLMENT CHARTER","Grade  6",162
"2016-2017",10,"DALLAS COUNTY","ADVANTAGE ACADEMY",057806,"OPEN ENROLLMENT CHARTER","Grade  7",160
"2016-2017",10,"DALLAS COUNTY","ADVANTAGE ACADEMY",057806,"OPEN ENROLLMENT CHARTER","Grade  8",125
"2016-2017",10,"DALLAS COUNTY","ADVANTAGE ACADEMY",057806,"OPEN ENROLLMENT CHARTER","Grade  9",39
"2016-2017",10,"DALLAS COUNTY","ADVANTAGE ACADEMY",057806,"OPEN ENROLLMENT CHARTER","Grade 10",44
"2016-2017",10,"DALLAS COUNTY","ADVANTAGE ACADEMY",057806,"OPEN ENROLLMENT CHARTER","Grade 11",38
"2016-2017",10,"DALLAS COUNTY","ADVANTAGE ACADEMY",057806,"OPEN ENROLLMENT CHARTER","Grade 12",29
"2016-2017",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"TRADITIONAL ISD/CSD","Early Education",-9999999
"2016-2017",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"TRADITIONAL ISD/CSD","Pre-kindergarten",13
"2016-2017",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"TRADITIONAL ISD/CSD","Kindergarten",19
"2016-2017",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"TRADITIONAL ISD/CSD","Grade  1",24
"2016-2017",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"TRADITIONAL ISD/CSD","Grade  2",22
"2016-2017",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"TRADITIONAL ISD/CSD","Grade  3",31
"2016-2017",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"TRADITIONAL ISD/CSD","Grade  4",24
"2016-2017",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"TRADITIONAL ISD/CSD","Grade  5",19
"2016-2017",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"TRADITIONAL ISD/CSD","Grade  6",30
"2016-2017",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"TRADITIONAL ISD/CSD","Grade  7",31
"2016-2017",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"TRADITIONAL ISD/CSD","Grade  8",34
"2016-2017",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"TRADITIONAL ISD/CSD","Grade  9",40
"2016-2017",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"TRADITIONAL ISD/CSD","Grade 10",32
"2016-2017",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"TRADITIONAL ISD/CSD","Grade 11",14
"2016-2017",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"TRADITIONAL ISD/CSD","Grade 12",24
"2016-2017",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"TRADITIONAL ISD/CSD","Early Education",29
"2016-2017",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"TRADITIONAL ISD/CSD","Pre-kindergarten",54
"2016-2017",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"TRADITIONAL ISD/CSD","Kindergarten",302
"2016-2017",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"TRADITIONAL ISD/CSD","Grade  1",344
"2016-2017",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"TRADITIONAL ISD/CSD","Grade  2",331
"2016-2017",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"TRADITIONAL ISD/CSD","Grade  3",343
"2016-2017",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"TRADITIONAL ISD/CSD","Grade  4",372
"2016-2017",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"TRADITIONAL ISD/CSD","Grade  5",341
"2016-2017",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"TRADITIONAL ISD/CSD","Grade  6",366
"2016-2017",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"TRADITIONAL ISD/CSD","Grade  7",386
"2016-2017",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"TRADITIONAL ISD/CSD","Grade  8",391
"2016-2017",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"TRADITIONAL ISD/CSD","Grade  9",435
"2016-2017",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"TRADITIONAL ISD/CSD","Grade 10",375
"2016-2017",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"TRADITIONAL ISD/CSD","Grade 11",392
"2016-2017",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"TRADITIONAL ISD/CSD","Grade 12",396
"2016-2017",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"TRADITIONAL ISD/CSD","Early Education",-9999999
"2016-2017",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"TRADITIONAL ISD/CSD","Pre-kindergarten",38
"2016-2017",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"TRADITIONAL ISD/CSD","Kindergarten",62
"2016-2017",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"TRADITIONAL ISD/CSD","Grade  1",71
"2016-2017",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"TRADITIONAL ISD/CSD","Grade  2",80
"2016-2017",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"TRADITIONAL ISD/CSD","Grade  3",67
"2016-2017",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"TRADITIONAL ISD/CSD","Grade  4",65
"2016-2017",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"TRADITIONAL ISD/CSD","Grade  5",65
"2016-2017",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"TRADITIONAL ISD/CSD","Grade  6",67
"2016-2017",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"TRADITIONAL ISD/CSD","Grade  7",66
"2016-2017",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"TRADITIONAL ISD/CSD","Grade  8",70
"2016-2017",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"TRADITIONAL ISD/CSD","Grade  9",61
"2016-2017",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"TRADITIONAL ISD/CSD","Grade 10",52
"2016-2017",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"TRADITIONAL ISD/CSD","Grade 11",62
"2016-2017",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"TRADITIONAL ISD/CSD","Grade 12",53
"2016-2017",14,"SHACKELFORD COUNTY","ALBANY ISD",209901,"TRADITIONAL ISD/CSD","Early Education",-9999999
"2016-2017",14,"SHACKELFORD COUNTY","ALBANY ISD",209901,"TRADITIONAL ISD/CSD","Pre-kindergarten",30
"2016-2017",14,"SHACKELFORD COUNTY","ALBANY ISD",209901,"TRADITIONAL ISD/CSD","Kindergarten",40
"2016-2017",14,"SHACKELFORD COUNTY","ALBANY ISD",209901,"TRADITIONAL ISD/CSD","Grade  1",36
"2016-2017",14,"SHACKELFORD COUNTY","ALBANY ISD",209901,"TRADITIONAL ISD/CSD","Grade  2",40
"2016-2017",14,"SHACKELFORD COUNTY","ALBANY ISD",209901,"TRADITIONAL ISD/CSD","Grade  3",29
"2016-2017",14,"SHACKELFORD COUNTY","ALBANY ISD",209901,"TRADITIONAL ISD/CSD","Grade  4",35
"2016-2017",14,"SHACKELFORD COUNTY","ALBANY ISD",209901,"TRADITIONAL ISD/CSD","Grade  5",43
"2016-2017",14,"SHACKELFORD COUNTY","ALBANY ISD",209901,"TRADITIONAL ISD/CSD","Grade  6",36
"2016-2017",14,"SHACKELFORD COUNTY","ALBANY ISD",209901,"TRADITIONAL ISD/CSD","Grade  7",31
"2016-2017",14,"SHACKELFORD COUNTY","ALBANY ISD",209901,"TRADITIONAL ISD/CSD","Grade  8",34
"2016-2017",14,"SHACKELFORD COUNTY","ALBANY ISD",209901,"TRADITIONAL ISD/CSD","Grade  9",46
"2016-2017",14,"SHACKELFORD COUNTY","ALBANY ISD",209901,"TRADITIONAL ISD/CSD","Grade 10",32
"2016-2017",14,"SHACKELFORD COUNTY","ALBANY ISD",209901,"TRADITIONAL ISD/CSD","Grade 11",49
"2016-2017",14,"SHACKELFORD COUNTY","ALBANY ISD",209901,"TRADITIONAL ISD/CSD","Grade 12",34
"2016-2017",04,"HARRIS COUNTY","ALDINE ISD",101902,"TRADITIONAL ISD/CSD","Early Education",271
"2016-2017",04,"HARRIS COUNTY","ALDINE ISD",101902,"TRADITIONAL ISD/CSD","Pre-kindergarten",4134
"2016-2017",04,"HARRIS COUNTY","ALDINE ISD",101902,"TRADITIONAL ISD/CSD","Kindergarten",4995
"2016-2017",04,"HARRIS COUNTY","ALDINE ISD",101902,"TRADITIONAL ISD/CSD","Grade  1",5713
"2016-2017",04,"HARRIS COUNTY","ALDINE ISD",101902,"TRADITIONAL ISD/CSD","Grade  2",5864
"2016-2017",04,"HARRIS COUNTY","ALDINE ISD",101902,"TRADITIONAL ISD/CSD","Grade  3",5635
"2016-2017",04,"HARRIS COUNTY","ALDINE ISD",101902,"TRADITIONAL ISD/CSD","Grade  4",5397
"2016-2017",04,"HARRIS COUNTY","ALDINE ISD",101902,"TRADITIONAL ISD/CSD","Grade  5",5112
"2016-2017",04,"HARRIS COUNTY","ALDINE ISD",101902,"TRADITIONAL ISD/CSD","Grade  6",4782
