"Year","Region","County Name","Grade Level Name","Enrollment by Grade Level"
"2017-2018",17,"BAILEY COUNTY","Grade 10",91
"2017-2018",17,"BAILEY COUNTY","Grade 11",105
"2017-2018",17,"BAILEY COUNTY","Grade 12",93
"2017-2018",20,"BANDERA COUNTY","Early Education",25
"2017-2018",20,"BANDERA COUNTY","Pre-kindergarten",127
"2017-2018",20,"BANDERA COUNTY","Kindergarten",165
"2017-2018",20,"BANDERA COUNTY","Grade  1",185
"2017-2018",20,"BANDERA COUNTY","Grade  2",171
"2017-2018",20,"BANDERA COUNTY","Grade  3",196
"2017-2018",20,"BANDERA COUNTY","Grade  4",204
"2017-2018",20,"BANDERA COUNTY","Grade  5",197
"2017-2018",20,"BANDERA COUNTY","Grade  6",191
"2017-2018",20,"BANDERA COUNTY","Grade  7",197
"2017-2018",20,"BANDERA COUNTY","Grade  8",196
"2017-2018",20,"BANDERA COUNTY","Grade  9",192
"2017-2018",20,"BANDERA COUNTY","Grade 10",198
"2017-2018",20,"BANDERA COUNTY","Grade 11",193
"2017-2018",20,"BANDERA COUNTY","Grade 12",168
"2017-2018",13,"BASTROP COUNTY","Early Education",71
"2017-2018",13,"BASTROP COUNTY","Pre-kindergarten",698
"2017-2018",13,"BASTROP COUNTY","Kindergarten",1085
"2017-2018",13,"BASTROP COUNTY","Grade  1",1220
"2017-2018",13,"BASTROP COUNTY","Grade  2",1171
"2017-2018",13,"BASTROP COUNTY","Grade  3",1282
"2017-2018",13,"BASTROP COUNTY","Grade  4",1335
"2017-2018",13,"BASTROP COUNTY","Grade  5",1408
"2017-2018",13,"BASTROP COUNTY","Grade  6",1347
"2017-2018",13,"BASTROP COUNTY","Grade  7",1263
"2017-2018",13,"BASTROP COUNTY","Grade  8",1278
"2017-2018",13,"BASTROP COUNTY","Grade  9",1458
"2017-2018",13,"BASTROP COUNTY","Grade 10",1342
"2017-2018",13,"BASTROP COUNTY","Grade 11",1251
"2017-2018",13,"BASTROP COUNTY","Grade 12",1124
"2017-2018",09,"BAYLOR COUNTY","Early Education",-9999999
"2017-2018",09,"BAYLOR COUNTY","Pre-kindergarten",21
"2017-2018",09,"BAYLOR COUNTY","Kindergarten",47
"2017-2018",09,"BAYLOR COUNTY","Grade  1",41
"2017-2018",09,"BAYLOR COUNTY","Grade  2",44
"2017-2018",09,"BAYLOR COUNTY","Grade  3",45
"2017-2018",09,"BAYLOR COUNTY","Grade  4",40
"2017-2018",09,"BAYLOR COUNTY","Grade  5",35
"2017-2018",09,"BAYLOR COUNTY","Grade  6",47
"2017-2018",09,"BAYLOR COUNTY","Grade  7",53
"2017-2018",09,"BAYLOR COUNTY","Grade  8",41
"2017-2018",09,"BAYLOR COUNTY","Grade  9",47
"2017-2018",09,"BAYLOR COUNTY","Grade 10",39
"2017-2018",09,"BAYLOR COUNTY","Grade 11",39
"2017-2018",09,"BAYLOR COUNTY","Grade 12",37
"2017-2018",02,"BEE COUNTY","Early Education",28
"2017-2018",02,"BEE COUNTY","Pre-kindergarten",363
"2017-2018",02,"BEE COUNTY","Kindergarten",391
"2017-2018",02,"BEE COUNTY","Grade  1",380
"2017-2018",02,"BEE COUNTY","Grade  2",360
"2017-2018",02,"BEE COUNTY","Grade  3",399
"2017-2018",02,"BEE COUNTY","Grade  4",432
"2017-2018",02,"BEE COUNTY","Grade  5",379
"2017-2018",02,"BEE COUNTY","Grade  6",383
"2017-2018",02,"BEE COUNTY","Grade  7",407
"2017-2018",02,"BEE COUNTY","Grade  8",358
"2017-2018",02,"BEE COUNTY","Grade  9",401
"2017-2018",02,"BEE COUNTY","Grade 10",375
"2017-2018",02,"BEE COUNTY","Grade 11",374
"2017-2018",02,"BEE COUNTY","Grade 12",308
"2017-2018",12,"BELL COUNTY/12","Early Education",249
"2017-2018",12,"BELL COUNTY/12","Pre-kindergarten",4439
"2017-2018",12,"BELL COUNTY/12","Kindergarten",5565
"2017-2018",12,"BELL COUNTY/12","Grade  1",5842
"2017-2018",12,"BELL COUNTY/12","Grade  2",5637
"2017-2018",12,"BELL COUNTY/12","Grade  3",5740
"2017-2018",12,"BELL COUNTY/12","Grade  4",5693
"2017-2018",12,"BELL COUNTY/12","Grade  5",5733
"2017-2018",12,"BELL COUNTY/12","Grade  6",5386
"2017-2018",12,"BELL COUNTY/12","Grade  7",5180
"2017-2018",12,"BELL COUNTY/12","Grade  8",4959
"2017-2018",12,"BELL COUNTY/12","Grade  9",5696
"2017-2018",12,"BELL COUNTY/12","Grade 10",4827
"2017-2018",12,"BELL COUNTY/12","Grade 11",4501
"2017-2018",12,"BELL COUNTY/12","Grade 12",4145
"2017-2018",13,"BELL COUNTY/13","Pre-kindergarten",23
"2017-2018",13,"BELL COUNTY/13","Kindergarten",26
"2017-2018",13,"BELL COUNTY/13","Grade  1",24
"2017-2018",13,"BELL COUNTY/13","Grade  2",23
"2017-2018",13,"BELL COUNTY/13","Grade  3",20
"2017-2018",13,"BELL COUNTY/13","Grade  4",26
"2017-2018",13,"BELL COUNTY/13","Grade  5",35
"2017-2018",13,"BELL COUNTY/13","Grade  6",23
"2017-2018",13,"BELL COUNTY/13","Grade  7",25
"2017-2018",13,"BELL COUNTY/13","Grade  8",23
"2017-2018",13,"BELL COUNTY/13","Grade  9",23
"2017-2018",13,"BELL COUNTY/13","Grade 10",22
"2017-2018",13,"BELL COUNTY/13","Grade 11",24
"2017-2018",13,"BELL COUNTY/13","Grade 12",25
"2017-2018",20,"BELL COUNTY/20","Grade  9",416
"2017-2018",20,"BELL COUNTY/20","Grade 10",683
"2017-2018",20,"BELL COUNTY/20","Grade 11",628
"2017-2018",20,"BELL COUNTY/20","Grade 12",497
"2017-2018","AL","BELL COUNTY/ALL","Early Education",249
"2017-2018","AL","BELL COUNTY/ALL","Pre-kindergarten",4462
"2017-2018","AL","BELL COUNTY/ALL","Kindergarten",5591
"2017-2018","AL","BELL COUNTY/ALL","Grade  1",5866
"2017-2018","AL","BELL COUNTY/ALL","Grade  2",5660
"2017-2018","AL","BELL COUNTY/ALL","Grade  3",5760
"2017-2018","AL","BELL COUNTY/ALL","Grade  4",5719
"2017-2018","AL","BELL COUNTY/ALL","Grade  5",5768
"2017-2018","AL","BELL COUNTY/ALL","Grade  6",5409
"2017-2018","AL","BELL COUNTY/ALL","Grade  7",5205
"2017-2018","AL","BELL COUNTY/ALL","Grade  8",4982
"2017-2018","AL","BELL COUNTY/ALL","Grade  9",6135
"2017-2018","AL","BELL COUNTY/ALL","Grade 10",5532
"2017-2018","AL","BELL COUNTY/ALL","Grade 11",5153
"2017-2018","AL","BELL COUNTY/ALL","Grade 12",4667
"2017-2018",20,"BEXAR COUNTY","Early Education",1644
"2017-2018",20,"BEXAR COUNTY","Pre-kindergarten",16344
"2017-2018",20,"BEXAR COUNTY","Kindergarten",23999
"2017-2018",20,"BEXAR COUNTY","Grade  1",25158
"2017-2018",20,"BEXAR COUNTY","Grade  2",25856
"2017-2018",20,"BEXAR COUNTY","Grade  3",27009
"2017-2018",20,"BEXAR COUNTY","Grade  4",27625
"2017-2018",20,"BEXAR COUNTY","Grade  5",27967
"2017-2018",20,"BEXAR COUNTY","Grade  6",26268
"2017-2018",20,"BEXAR COUNTY","Grade  7",26437
"2017-2018",20,"BEXAR COUNTY","Grade  8",26413
"2017-2018",20,"BEXAR COUNTY","Grade  9",28750
"2017-2018",20,"BEXAR COUNTY","Grade 10",25606
"2017-2018",20,"BEXAR COUNTY","Grade 11",23811
"2017-2018",20,"BEXAR COUNTY","Grade 12",21941
"2017-2018",13,"BLANCO COUNTY","Early Education",8
"2017-2018",13,"BLANCO COUNTY","Pre-kindergarten",33
"2017-2018",13,"BLANCO COUNTY","Kindergarten",87
"2017-2018",13,"BLANCO COUNTY","Grade  1",102
"2017-2018",13,"BLANCO COUNTY","Grade  2",104
"2017-2018",13,"BLANCO COUNTY","Grade  3",115
"2017-2018",13,"BLANCO COUNTY","Grade  4",120
"2017-2018",13,"BLANCO COUNTY","Grade  5",138
"2017-2018",13,"BLANCO COUNTY","Grade  6",131
"2017-2018",13,"BLANCO COUNTY","Grade  7",151
"2017-2018",13,"BLANCO COUNTY","Grade  8",143
"2017-2018",13,"BLANCO COUNTY","Grade  9",136
"2017-2018",13,"BLANCO COUNTY","Grade 10",152
"2017-2018",13,"BLANCO COUNTY","Grade 11",132
"2017-2018",13,"BLANCO COUNTY","Grade 12",138
"2017-2018",17,"BORDEN COUNTY","Kindergarten",7
"2017-2018",17,"BORDEN COUNTY","Grade  1",13
"2017-2018",17,"BORDEN COUNTY","Grade  2",20
"2017-2018",17,"BORDEN COUNTY","Grade  3",19
"2017-2018",17,"BORDEN COUNTY","Grade  4",19
"2017-2018",17,"BORDEN COUNTY","Grade  5",16
"2017-2018",17,"BORDEN COUNTY","Grade  6",23
"2017-2018",17,"BORDEN COUNTY","Grade  7",16
"2017-2018",17,"BORDEN COUNTY","Grade  8",16
"2017-2018",17,"BORDEN COUNTY","Grade  9",24
"2017-2018",17,"BORDEN COUNTY","Grade 10",23
"2017-2018",17,"BORDEN COUNTY","Grade 11",22
"2017-2018",17,"BORDEN COUNTY","Grade 12",15
"2017-2018",12,"BOSQUE COUNTY","Early Education",10
"2017-2018",12,"BOSQUE COUNTY","Pre-kindergarten",147
"2017-2018",12,"BOSQUE COUNTY","Kindergarten",190
"2017-2018",12,"BOSQUE COUNTY","Grade  1",190
"2017-2018",12,"BOSQUE COUNTY","Grade  2",214
"2017-2018",12,"BOSQUE COUNTY","Grade  3",221
"2017-2018",12,"BOSQUE COUNTY","Grade  4",240
"2017-2018",12,"BOSQUE COUNTY","Grade  5",232
"2017-2018",12,"BOSQUE COUNTY","Grade  6",208
"2017-2018",12,"BOSQUE COUNTY","Grade  7",218
"2017-2018",12,"BOSQUE COUNTY","Grade  8",210
"2017-2018",12,"BOSQUE COUNTY","Grade  9",213
"2017-2018",12,"BOSQUE COUNTY","Grade 10",247
"2017-2018",12,"BOSQUE COUNTY","Grade 11",184
"2017-2018",12,"BOSQUE COUNTY","Grade 12",223
"2017-2018",08,"BOWIE COUNTY","Early Education",57
"2017-2018",08,"BOWIE COUNTY","Pre-kindergarten",1220
"2017-2018",08,"BOWIE COUNTY","Kindergarten",1374
"2017-2018",08,"BOWIE COUNTY","Grade  1",1332
"2017-2018",08,"BOWIE COUNTY","Grade  2",1273
"2017-2018",08,"BOWIE COUNTY","Grade  3",1333
"2017-2018",08,"BOWIE COUNTY","Grade  4",1272
"2017-2018",08,"BOWIE COUNTY","Grade  5",1366
"2017-2018",08,"BOWIE COUNTY","Grade  6",1276
"2017-2018",08,"BOWIE COUNTY","Grade  7",1282
"2017-2018",08,"BOWIE COUNTY","Grade  8",1260
"2017-2018",08,"BOWIE COUNTY","Grade  9",1299
"2017-2018",08,"BOWIE COUNTY","Grade 10",1231
"2017-2018",08,"BOWIE COUNTY","Grade 11",1187
"2017-2018",08,"BOWIE COUNTY","Grade 12",1126
"2017-2018",04,"BRAZORIA COUNTY","Early Education",337
"2017-2018",04,"BRAZORIA COUNTY","Pre-kindergarten",1866
"2017-2018",04,"BRAZORIA COUNTY","Kindergarten",4939
"2017-2018",04,"BRAZORIA COUNTY","Grade  1",5157
"2017-2018",04,"BRAZORIA COUNTY","Grade  2",5440
"2017-2018",04,"BRAZORIA COUNTY","Grade  3",5504
"2017-2018",04,"BRAZORIA COUNTY","Grade  4",5639
"2017-2018",04,"BRAZORIA COUNTY","Grade  5",5425
"2017-2018",04,"BRAZORIA COUNTY","Grade  6",5483
"2017-2018",04,"BRAZORIA COUNTY","Grade  7",5401
"2017-2018",04,"BRAZORIA COUNTY","Grade  8",5345
"2017-2018",04,"BRAZORIA COUNTY","Grade  9",5838
"2017-2018",04,"BRAZORIA COUNTY","Grade 10",5511
"2017-2018",04,"BRAZORIA COUNTY","Grade 11",5138
"2017-2018",04,"BRAZORIA COUNTY","Grade 12",4743
"2017-2018",06,"BRAZOS COUNTY","Early Education",148
"2017-2018",06,"BRAZOS COUNTY","Pre-kindergarten",1019
"2017-2018",06,"BRAZOS COUNTY","Kindergarten",2404
"2017-2018",06,"BRAZOS COUNTY","Grade  1",2412
"2017-2018",06,"BRAZOS COUNTY","Grade  2",2465
"2017-2018",06,"BRAZOS COUNTY","Grade  3",2447
"2017-2018",06,"BRAZOS COUNTY","Grade  4",2521
"2017-2018",06,"BRAZOS COUNTY","Grade  5",2371
"2017-2018",06,"BRAZOS COUNTY","Grade  6",2212
"2017-2018",06,"BRAZOS COUNTY","Grade  7",2225
"2017-2018",06,"BRAZOS COUNTY","Grade  8",2063
"2017-2018",06,"BRAZOS COUNTY","Grade  9",2409
"2017-2018",06,"BRAZOS COUNTY","Grade 10",2186
"2017-2018",06,"BRAZOS COUNTY","Grade 11",2017
"2017-2018",06,"BRAZOS COUNTY","Grade 12",1875
"2017-2018",18,"BREWSTER COUNTY","Early Education",13
"2017-2018",18,"BREWSTER COUNTY","Pre-kindergarten",57
"2017-2018",18,"BREWSTER COUNTY","Kindergarten",93
"2017-2018",18,"BREWSTER COUNTY","Grade  1",88
"2017-2018",18,"BREWSTER COUNTY","Grade  2",97
"2017-2018",18,"BREWSTER COUNTY","Grade  3",88
"2017-2018",18,"BREWSTER COUNTY","Grade  4",91
"2017-2018",18,"BREWSTER COUNTY","Grade  5",93
"2017-2018",18,"BREWSTER COUNTY","Grade  6",105
"2017-2018",18,"BREWSTER COUNTY","Grade  7",80
"2017-2018",18,"BREWSTER COUNTY","Grade  8",106
"2017-2018",18,"BREWSTER COUNTY","Grade  9",104
"2017-2018",18,"BREWSTER COUNTY","Grade 10",89
"2017-2018",18,"BREWSTER COUNTY","Grade 11",84
"2017-2018",18,"BREWSTER COUNTY","Grade 12",96
"2017-2018",16,"BRISCOE COUNTY","Pre-kindergarten",8
"2017-2018",16,"BRISCOE COUNTY","Kindergarten",15
"2017-2018",16,"BRISCOE COUNTY","Grade  1",17
"2017-2018",16,"BRISCOE COUNTY","Grade  2",14
"2017-2018",16,"BRISCOE COUNTY","Grade  3",14
"2017-2018",16,"BRISCOE COUNTY","Grade  4",18
"2017-2018",16,"BRISCOE COUNTY","Grade  5",14
"2017-2018",16,"BRISCOE COUNTY","Grade  6",23
"2017-2018",16,"BRISCOE COUNTY","Grade  7",12
"2017-2018",16,"BRISCOE COUNTY","Grade  8",12
"2017-2018",16,"BRISCOE COUNTY","Grade  9",16
"2017-2018",16,"BRISCOE COUNTY","Grade 10",12
"2017-2018",16,"BRISCOE COUNTY","Grade 11",18
"2017-2018",16,"BRISCOE COUNTY","Grade 12",14
"2017-2018",02,"BROOKS COUNTY","Early Education",7
"2017-2018",02,"BROOKS COUNTY","Pre-kindergarten",122
"2017-2018",02,"BROOKS COUNTY","Kindergarten",130
"2017-2018",02,"BROOKS COUNTY","Grade  1",124
"2017-2018",02,"BROOKS COUNTY","Grade  2",107
"2017-2018",02,"BROOKS COUNTY","Grade  3",109
"2017-2018",02,"BROOKS COUNTY","Grade  4",126
"2017-2018",02,"BROOKS COUNTY","Grade  5",119
"2017-2018",02,"BROOKS COUNTY","Grade  6",123
"2017-2018",02,"BROOKS COUNTY","Grade  7",106
"2017-2018",02,"BROOKS COUNTY","Grade  8",111
"2017-2018",02,"BROOKS COUNTY","Grade  9",121
"2017-2018",02,"BROOKS COUNTY","Grade 10",85
"2017-2018",02,"BROOKS COUNTY","Grade 11",103
"2017-2018",02,"BROOKS COUNTY","Grade 12",96
"2017-2018",15,"BROWN COUNTY","Early Education",17
"2017-2018",15,"BROWN COUNTY","Pre-kindergarten",356
"2017-2018",15,"BROWN COUNTY","Kindergarten",469
"2017-2018",15,"BROWN COUNTY","Grade  1",456
"2017-2018",15,"BROWN COUNTY","Grade  2",472
"2017-2018",15,"BROWN COUNTY","Grade  3",484
"2017-2018",15,"BROWN COUNTY","Grade  4",512
"2017-2018",15,"BROWN COUNTY","Grade  5",495
"2017-2018",15,"BROWN COUNTY","Grade  6",479
"2017-2018",15,"BROWN COUNTY","Grade  7",488
"2017-2018",15,"BROWN COUNTY","Grade  8",501
"2017-2018",15,"BROWN COUNTY","Grade  9",530
"2017-2018",15,"BROWN COUNTY","Grade 10",475
"2017-2018",15,"BROWN COUNTY","Grade 11",505
"2017-2018",15,"BROWN COUNTY","Grade 12",427
"2017-2018",06,"BURLESON COUNTY","Early Education",-9999999
"2017-2018",06,"BURLESON COUNTY","Pre-kindergarten",154
"2017-2018",06,"BURLESON COUNTY","Kindergarten",178
"2017-2018",06,"BURLESON COUNTY","Grade  1",207
"2017-2018",06,"BURLESON COUNTY","Grade  2",192
"2017-2018",06,"BURLESON COUNTY","Grade  3",219
"2017-2018",06,"BURLESON COUNTY","Grade  4",222
"2017-2018",06,"BURLESON COUNTY","Grade  5",213
"2017-2018",06,"BURLESON COUNTY","Grade  6",197
"2017-2018",06,"BURLESON COUNTY","Grade  7",224
"2017-2018",06,"BURLESON COUNTY","Grade  8",201
"2017-2018",06,"BURLESON COUNTY","Grade  9",203
"2017-2018",06,"BURLESON COUNTY","Grade 10",186
"2017-2018",06,"BURLESON COUNTY","Grade 11",209
"2017-2018",06,"BURLESON COUNTY","Grade 12",196
"2017-2018",13,"BURNET COUNTY","Early Education",38
"2017-2018",13,"BURNET COUNTY","Pre-kindergarten",339
"2017-2018",13,"BURNET COUNTY","Kindergarten",476
"2017-2018",13,"BURNET COUNTY","Grade  1",511
"2017-2018",13,"BURNET COUNTY","Grade  2",527
"2017-2018",13,"BURNET COUNTY","Grade  3",549
"2017-2018",13,"BURNET COUNTY","Grade  4",567
"2017-2018",13,"BURNET COUNTY","Grade  5",550
"2017-2018",13,"BURNET COUNTY","Grade  6",599
"2017-2018",13,"BURNET COUNTY","Grade  7",574
"2017-2018",13,"BURNET COUNTY","Grade  8",540
"2017-2018",13,"BURNET COUNTY","Grade  9",578
"2017-2018",13,"BURNET COUNTY","Grade 10",600
"2017-2018",13,"BURNET COUNTY","Grade 11",516
"2017-2018",13,"BURNET COUNTY","Grade 12",469
"2017-2018",13,"CALDWELL COUNTY","Early Education",38
"2017-2018",13,"CALDWELL COUNTY","Pre-kindergarten",380
"2017-2018",13,"CALDWELL COUNTY","Kindergarten",486
"2017-2018",13,"CALDWELL COUNTY","Grade  1",519
"2017-2018",13,"CALDWELL COUNTY","Grade  2",538
"2017-2018",13,"CALDWELL COUNTY","Grade  3",580
"2017-2018",13,"CALDWELL COUNTY","Grade  4",576
"2017-2018",13,"CALDWELL COUNTY","Grade  5",607
"2017-2018",13,"CALDWELL COUNTY","Grade  6",623
"2017-2018",13,"CALDWELL COUNTY","Grade  7",579
"2017-2018",13,"CALDWELL COUNTY","Grade  8",572
"2017-2018",13,"CALDWELL COUNTY","Grade  9",612
"2017-2018",13,"CALDWELL COUNTY","Grade 10",514
"2017-2018",13,"CALDWELL COUNTY","Grade 11",499
"2017-2018",13,"CALDWELL COUNTY","Grade 12",433
"2017-2018",03,"CALHOUN COUNTY","Early Education",10
"2017-2018",03,"CALHOUN COUNTY","Pre-kindergarten",179
"2017-2018",03,"CALHOUN COUNTY","Kindergarten",279
"2017-2018",03,"CALHOUN COUNTY","Grade  1",295
"2017-2018",03,"CALHOUN COUNTY","Grade  2",292
"2017-2018",03,"CALHOUN COUNTY","Grade  3",261
"2017-2018",03,"CALHOUN COUNTY","Grade  4",284
"2017-2018",03,"CALHOUN COUNTY","Grade  5",308
"2017-2018",03,"CALHOUN COUNTY","Grade  6",302
"2017-2018",03,"CALHOUN COUNTY","Grade  7",241
"2017-2018",03,"CALHOUN COUNTY","Grade  8",291
"2017-2018",03,"CALHOUN COUNTY","Grade  9",320
"2017-2018",03,"CALHOUN COUNTY","Grade 10",338
"2017-2018",03,"CALHOUN COUNTY","Grade 11",269
